Altersgruppe;2020_10;2020_11;2020_12;2020_13;2020_14;2020_15;2020_16;2020_17;2020_18;2020_19;2020_20;2020_21;2020_22;2020_23;2020_24;2020_25;2020_26;2020_27;2020_28;2020_29;2020_30;2020_31;2020_32;2020_33;2020_34;2020_35;2020_36;2020_37;2020_38;2020_39;2020_40;2020_41;2020_42;2020_43;2020_44;2020_45;2020_46;2020_47;2020_48;2020_49;2020_50;2020_51;2020_52;2020_53;2021_1;2021_2;2021_3;2021_4;2021_5;2021_6;2021_7;2021_8;2021_9;2021_10;2021_11;2021_12;2021_13;2021_14;2021_15;2021_16;2021_17;2021_18;2021_19;2021_20;2021_21;2021_22;2021_23;2021_24;2021_25;2021_26;2021_27;2021_28;2021_29;2021_30;2021_31;2021_32;2021_33;2021_34;2021_35;2021_36;2021_37;2021_38;2021_39;2021_40;2021_41
Gesamt;899;6432;22386;33967;36051;27131;17327;12344;7423;6233;4759;3597;3204;2351;2341;4190;3155;2685;2423;3025;3924;4831;6057;7951;9595;8827;8614;9760;12288;13062;15922;26111;42062;74872;111017;125725;127779;128354;123157;128354;156285;174705;138953;123073;145439;118894;95517;78127;64556;50808;52387;56349;58370;71309;92579;116267;110099;118261;142059;144757;124791;100984;70821;52690;29868;20671;14027;7265;4817;4351;5565;9089;12619;15490;20392;32045;49593;66287;74649;71622;61399;53567;56410;57797;64723
90+;1;13;102;424;1170;1243;849;582;284;205;141;103;72;42;46;37;28;24;14;27;17;39;28;25;18;28;24;45;74;94;119;182;437;887;1462;1720;2310;3063;3516;4193;5401;5970;5237;4979;5403;5019;3942;2874;1932;1298;1063;827;610;609;637;661;623;717;791;796;636;541;408;277;160;129;65;44;10;6;17;20;25;56;66;127;139;226;336;351;393;335;326;397;523
85 - 89;6;38;218;735;1451;1421;924;681;324;262;179;125;85;51;51;47;33;28;20;25;34;41;39;56;23;33;25;85;101;121;165;307;575;1151;1786;2283;2831;3375;4093;4597;5908;6936;5822;5584;6066;5557;4440;3323;2577;1650;1461;1203;964;938;1110;1260;1193;1071;1201;1176;990;855;620;433;236;158;90;50;41;26;30;41;50;65;85;147;221;332;437;508;518;453;530;584;716
80 - 84;12;84;468;1279;1964;1719;1175;818;452;298;246;154;113;76;61;62;51;49;37;37;51;90;70;81;64;50;60;132;196;212;315;471;857;1839;2835;3434;3797;4359;4770;5446;7073;8255;7406;6866;7666;6687;5331;4192;3142;2291;1994;1778;1550;1637;1795;2128;1893;1960;2219;2024;1594;1364;921;693;382;209;155;63;40;38;46;49;75;110;174;230;296;475;676;825;790;662;904;984;1150
75 - 79;24;113;571;1402;1788;1314;855;588;349;274;174;105;82;58;46;65;58;40;40;44;57;71;55;71;67;69;75;147;180;233;308;504;903;1630;2644;3053;3283;3381;3484;3967;5003;5936;5102;4637;5216;4308;3408;2815;2198;1701;1714;1570;1364;1425;1894;2222;2175;2352;2707;2488;2121;1664;1140;773;408;251;155;58;50;46;45;48;64;100;122;227;287;412;541;593;565;564;711;736;951
70 - 74;11;146;620;1328;1412;1042;631;423;274;207;128;94;80;47;40;57;40;37;57;62;63;89;91;79;97;92;105;151;260;267;351;584;934;1805;2881;3187;3305;3354;3190;3480;4386;5155;4446;4128;4838;3664;3052;2480;2062;1577;1599;1644;1554;1808;2376;2840;2902;3143;3611;3371;2878;2301;1593;1081;583;341;215;112;71;67;59;67;101;168;172;298;392;617;740;820;756;692;860;1021;1142
65 - 69;25;236;884;1647;1688;1115;657;501;265;209;146;122;106;60;51;69;66;62;62;71;84;86;121;110;122;129;127;224;289;305;450;687;1282;2264;3551;4264;4014;4154;4132;4118;5171;6351;5586;4977;5729;4416;3623;3128;2537;1914;2042;2120;1994;2302;3191;3899;3966;4308;4912;4628;3973;3290;2318;1617;770;592;319;135;103;77;92;114;159;240;283;405;593;812;996;1107;1049;984;1090;1385;1563
60 - 64;63;429;1597;2523;2779;1787;1085;673;405;332;240;175;169;106;91;121;106;111;94;110;152;151;204;193;237;243;249;339;489;542;681;1273;2122;3959;5987;6854;6927;7299;7004;7654;9432;11037;9180;8264;9282;7551;6237;5123;4214;3187;3248;3515;3420;4120;5308;6572;6406;6875;7599;7757;6793;5531;3731;2650;1343;851;558;283;154;155;168;235;294;397;475;713;979;1485;1834;1878;1710;1643;1812;2147;2530
55 - 59;76;749;2587;3593;3665;2603;1565;1060;598;509;359;263;237;142;133;193;196;156;116;178;242;288;308;325;431;357;394;554;760;867;1107;1873;3002;5757;8972;10167;10293;10258;9876;10383;13044;15004;12392;11092;12323;10031;8336;7010;5808;4508;4604;4839;4637;5713;7264;9093;8947;9680;10667;11021;9924;7816;5325;3575;1929;1256;794;364;244;230;244;367;545;580;785;1245;1802;2401;2712;2890;2599;2490;2758;3024;3564
50 - 54;133;980;3088;3999;3700;2606;1561;987;599;521;373;251;241;150;146;328;258;186;171;208;292;352;415;472;559;538;549;669;899;995;1203;2269;3580;6421;9767;10963;10997;10842;10331;10553;13260;14919;11982;10529;12103;9813;8180;6675;5304;4312;4499;4751;4947;5904;7534;9351;9124;9954;11113;11644;10144;8016;5477;3773;2054;1353;823;440;298;226;289;453;622;821;973;1642;2535;3332;3723;3693;3325;2894;3295;3464;4165
45 - 49;99;748;2098;2916;2710;1915;1172;785;468;448;332;254;214;162;144;384;269;217;182;233;334;386;456;574;693;606;613;696;877;897;1202;2036;3121;5820;8399;9478;9286;9673;9057;9237;11097;12445;9744;8553;9793;7955;6489;5305;4489;3552;3773;4049;4290;5188;6516;8160;7997;8772;10167;10669;9025;7443;5080;3586;2078;1307;872;471;274;260;332;437;689;910;1176;1950;3100;4106;4629;4540;3791;3334;3498;3797;4294
40 - 44;85;566;1797;2322;2308;1674;1019;698;454;403;357;241;212;175;158;461;266;216;188;251;321;433;489;639;717;659;647;685;844;862;1051;1869;2905;5308;7882;8876;8996;9245;8808;8815;10904;11990;9511;8031;9547;7557;6233;5120;4276;3463;3591;4134;4274;5346;6982;9084;8324;9280;10728;10825;9573;7732;5333;3982;2205;1596;1077;530;355;269;345;505;734;988;1445;2353;3755;5182;5694;5421;4450;3902;4203;4387;4998
35 - 39;67;548;1752;2384;2203;1650;982;761;463;424;351;274;242;155;194;388;296;224;203;253;358;383;515;642;760;716;645;699;905;1008;1153;1823;3099;5387;8083;8958;9191;9196;8718;9147;10993;12229;9522;8080;10147;8005;6342;5195;4460;3593;3708;4182;4574;5760;7587;9461;8986;9483;11268;11280;10018;7969;5624;4221;2412;1691;1100;546;362;339;380;647;906;1167;1591;2447;3767;5264;5997;5797;4818;4237;4536;4715;5294
30 - 34;69;536;2049;2635;2418;1743;1206;900;562;486;394;315;269;207;223;420;324;259;259;300;382;423;516;709;945;859;937;940;1206;1303;1522;2359;3858;6716;9574;10475;10483;10084;9365;9472;11523;13028;10047;9194;11601;9047;7017;5764;4909;3904;4114;4528;4892;6016;7895;9870;9512;10136;12015;11855;10454;8277;5869;4538;2746;1750;1184;631;417;428;581;869;1307;1513;2076;3046;4382;5976;6582;6223;5098;4604;4767;4796;5323
25 - 29;76;549;1995;2689;2485;1935;1287;995;681;522;391;346;314;222;242;399;321;314;229;309;410;510;604;839;1193;1222;1163;1226;1480;1436;1746;2686;4472;7324;10344;11149;10684;9917;8997;9149;10780;12106;9430;8423;10776;8537;6393;5337;4487;3659;3908;4151;4266;5467;7013;8401;8378;9213;10900;10793;9218;7452;5177;3944;2456;1599;1108;619;464;494;788;1327;1733;1952;2403;3591;5023;6323;6287;6058;4895;4113;4247;4282;4881
20 - 24;70;321;1446;2269;2241;1727;1226;957;592;505;419;313;288;227;251;383;254;256;234;300;377;521;747;1159;1545;1329;1247;1284;1514;1584;1735;2790;4386;7566;10409;11729;11029;10201;8940;9179;10791;12096;9070;8587;10890;8538;6434;5240;4377;3664;3946;4199;4401;5423;6903;8553;8506;9800;11551;11268;9622;7833;5585;4180;2413;1734;1202;626;439;553;885;1505;2089;2330;2791;4427;5785;6881;6836;6224;4954;4119;4083;4146;4933
