Altersgruppe;2020_10;2020_11;2020_12;2020_13;2020_14;2020_15;2020_16;2020_17;2020_18;2020_19;2020_20;2020_21;2020_22;2020_23;2020_24;2020_25;2020_26;2020_27;2020_28;2020_29;2020_30;2020_31;2020_32;2020_33;2020_34;2020_35;2020_36;2020_37;2020_38;2020_39;2020_40;2020_41;2020_42;2020_43;2020_44;2020_45;2020_46;2020_47;2020_48;2020_49;2020_50;2020_51;2020_52;2020_53;2021_1;2021_2;2021_3;2021_4;2021_5;2021_6;2021_7;2021_8;2021_9;2021_10;2021_11;2021_12;2021_13;2021_14;2021_15;2021_16;2021_17;2021_18;2021_19;2021_20;2021_21;2021_22;2021_23;2021_24;2021_25;2021_26;2021_27;2021_28;2021_29;2021_30;2021_31;2021_32;2021_33;2021_34;2021_35;2021_36;2021_37;2021_38;2021_39;2021_40;2021_41;2021_42;2021_43;2021_44;2021_45
Gesamt;899;6431;22388;33965;36049;27131;17326;12348;7427;6235;4758;3597;3204;2351;2342;4190;3155;2686;2422;3025;3926;4833;6058;7952;9594;8827;8612;9760;12289;13062;15925;26111;42061;74868;111020;125728;127794;128367;123154;128352;156291;174703;138948;123062;145443;118881;95518;78123;64552;50803;52383;56347;58372;71310;92582;116271;110095;118274;142056;144754;124791;100988;70816;52698;29874;20676;14032;7269;4819;4358;5572;9100;12628;15497;20410;32058;49617;66327;74676;71650;61437;53594;56451;57926;65226;97382;136782;177524;266831
90+;1;13;102;424;1170;1243;849;582;284;205;141;103;72;42;46;37;28;24;14;27;17;39;29;25;18;28;24;45;74;94;119;182;437;887;1462;1720;2310;3063;3516;4193;5401;5968;5236;4980;5401;5017;3943;2873;1933;1297;1062;826;610;608;638;661;623;717;791;797;636;541;408;278;160;129;65;44;10;6;17;20;25;56;66;127;138;227;335;351;393;334;325;397;523;888;1167;1662;1880
85 - 89;6;38;218;735;1451;1421;924;681;324;262;179;125;85;51;51;47;33;28;20;25;34;41;39;56;23;33;25;85;101;121;165;307;575;1151;1786;2282;2831;3376;4091;4596;5906;6938;5819;5583;6067;5553;4440;3322;2578;1649;1462;1203;964;938;1110;1260;1193;1070;1200;1177;990;855;619;434;236;158;90;50;41;26;30;41;50;65;85;147;221;332;437;507;519;451;530;587;723;1317;1670;2300;2889
80 - 84;12;84;469;1278;1964;1719;1175;818;452;298;246;154;113;76;61;62;51;49;37;37;51;90;70;81;64;50;60;132;196;212;315;471;857;1839;2836;3434;3797;4359;4771;5444;7073;8254;7405;6864;7670;6684;5329;4192;3141;2291;1994;1777;1550;1637;1794;2130;1893;1960;2219;2023;1594;1365;921;693;382;209;155;63;40;38;46;49;75;110;174;230;296;475;676;824;791;662;903;986;1155;1960;2953;3947;5299
75 - 79;24;113;571;1402;1788;1314;855;588;349;274;174;105;82;58;46;65;58;40;40;44;57;71;55;71;67;69;75;147;180;233;308;504;903;1631;2645;3054;3282;3381;3482;3968;5002;5935;5103;4637;5214;4310;3408;2814;2196;1700;1714;1570;1364;1425;1894;2222;2175;2352;2706;2489;2121;1662;1140;774;409;251;155;58;50;46;45;48;64;100;122;227;287;411;543;592;565;563;712;739;957;1624;2488;3230;4759
70 - 74;11;146;620;1328;1411;1042;631;423;274;207;128;94;80;47;40;57;40;37;57;62;63;89;91;79;97;92;105;151;260;267;351;584;934;1805;2881;3187;3304;3354;3189;3479;4385;5157;4444;4128;4838;3664;3052;2480;2062;1575;1599;1644;1555;1807;2376;2840;2901;3144;3611;3370;2877;2303;1592;1081;583;342;213;114;71;67;59;67;102;168;172;298;392;618;738;819;756;692;859;1021;1155;2004;3163;4509;6321
65 - 69;25;236;884;1647;1687;1115;657;501;265;209;146;122;106;60;51;69;66;62;62;71;84;86;121;110;122;129;127;224;289;305;450;687;1282;2264;3551;4264;4014;4154;4132;4117;5172;6349;5586;4977;5729;4416;3624;3129;2537;1914;2041;2120;1994;2302;3191;3900;3964;4308;4913;4629;3972;3292;2319;1616;771;592;319;134;103;77;93;114;159;241;283;404;592;812;995;1107;1050;984;1092;1388;1572;2590;3901;5471;8145
60 - 64;63;428;1597;2523;2780;1787;1085;672;405;332;239;175;168;106;91;121;106;112;94;110;152;151;204;193;237;243;249;339;489;542;681;1273;2122;3960;5987;6853;6928;7298;7004;7654;9434;11037;9180;8261;9284;7552;6237;5123;4215;3186;3246;3515;3419;4120;5309;6573;6404;6875;7598;7756;6795;5530;3731;2649;1345;850;558;283;154;155;168;235;294;397;476;713;979;1485;1837;1881;1709;1641;1815;2150;2551;4254;6178;8871;12772
55 - 59;76;749;2587;3593;3664;2603;1564;1061;598;509;359;263;237;142;133;193;196;156;116;178;242;288;308;325;431;357;394;554;760;867;1107;1873;3003;5757;8972;10166;10295;10260;9876;10385;13047;15004;12389;11093;12322;10032;8336;7010;5807;4508;4605;4840;4637;5712;7266;9094;8947;9680;10666;11020;9926;7816;5322;3577;1928;1256;794;364;244;230;245;367;545;580;787;1247;1802;2399;2715;2890;2602;2491;2761;3030;3599;5947;8546;11999;17288
50 - 54;133;980;3088;3999;3701;2606;1561;987;599;521;373;251;241;150;147;328;258;186;171;208;292;352;415;472;559;538;549;669;899;995;1203;2269;3580;6421;9767;10964;10998;10842;10333;10552;13260;14919;11982;10529;12104;9810;8177;6675;5306;4311;4498;4752;4947;5905;7534;9352;9125;9954;11113;11641;10146;8013;5478;3774;2055;1353;824;440;298;226;289;454;622;821;975;1643;2537;3336;3725;3693;3325;2894;3299;3470;4206;6565;9169;12756;18484
45 - 49;99;748;2098;2916;2710;1915;1172;785;469;448;332;254;214;162;144;384;269;217;182;233;334;386;456;575;693;606;612;695;877;897;1202;2036;3122;5820;8399;9478;9287;9675;9057;9238;11097;12445;9746;8551;9794;7954;6490;5302;4487;3552;3773;4048;4292;5187;6516;8161;7998;8773;10168;10668;9026;7443;5079;3587;2078;1307;873;471;274;260;332;437;689;910;1178;1951;3104;4110;4627;4540;3790;3338;3500;3806;4331;6589;9023;12113;17784
