Altersgruppe;2020_10;2020_11;2020_12;2020_13;2020_14;2020_15;2020_16;2020_17;2020_18;2020_19;2020_20;2020_21;2020_22;2020_23;2020_24;2020_25;2020_26;2020_27;2020_28;2020_29;2020_30;2020_31;2020_32;2020_33;2020_34;2020_35;2020_36;2020_37;2020_38;2020_39;2020_40;2020_41;2020_42;2020_43;2020_44;2020_45;2020_46;2020_47;2020_48;2020_49;2020_50;2020_51;2020_52;2020_53;2021_1;2021_2;2021_3;2021_4;2021_5;2021_6;2021_7;2021_8;2021_9;2021_10;2021_11;2021_12;2021_13;2021_14;2021_15;2021_16;2021_17;2021_18;2021_19;2021_20;2021_21;2021_22;2021_23;2021_24;2021_25;2021_26;2021_27;2021_28;2021_29;2021_30;2021_31;2021_32;2021_33;2021_34;2021_35;2021_36;2021_37;2021_38;2021_39;2021_40;2021_41;2021_42;2021_43;2021_44;2021_45;2021_46;2021_47;2021_48
Gesamt;899;6431;22389;33967;36052;27128;17325;12350;7428;6234;4757;3598;3204;2353;2342;4191;3155;2686;2422;3026;3928;4834;6059;7954;9597;8827;8612;9760;12290;13063;15925;26117;42064;74871;111012;125730;127798;128386;123161;128360;156290;174714;138943;123057;145441;118876;95517;78126;64558;50804;52388;56352;58368;71321;92583;116277;110103;118275;142058;144755;124797;100978;70807;52689;29879;20684;14036;7273;4825;4358;5577;9102;12628;15504;20410;32063;49622;66346;74677;71661;61454;53605;56465;57971;65268;97560;136895;177772;271042;351239;402687;385001
90+;1;13;102;424;1170;1243;849;582;284;204;141;103;72;42;46;37;28;24;14;27;17;39;29;25;18;28;24;45;74;94;119;182;437;887;1462;1720;2311;3063;3516;4193;5401;5968;5236;4980;5401;5017;3943;2873;1933;1297;1062;826;610;608;638;661;623;717;791;797;636;541;408;278;160;129;65;44;10;6;17;21;25;56;65;127;138;227;335;351;392;334;325;397;523;889;1164;1658;1901;2357;2674;2433
85 - 89;6;38;218;735;1451;1421;924;681;324;262;179;125;85;51;51;47;33;28;20;25;34;41;39;56;23;33;25;85;101;121;165;307;575;1151;1785;2282;2831;3377;4092;4596;5907;6937;5818;5583;6067;5553;4440;3323;2578;1649;1462;1204;964;938;1110;1261;1193;1071;1200;1177;990;855;619;434;236;158;90;50;41;26;30;41;50;65;85;147;221;332;437;506;520;452;530;587;723;1319;1674;2307;2964;3840;4232;3697
80 - 84;12;84;469;1278;1964;1718;1175;818;452;298;246;154;113;76;61;62;51;49;37;37;51;90;70;81;64;50;60;132;196;212;315;471;857;1839;2837;3434;3797;4359;4771;5444;7073;8254;7406;6863;7670;6683;5329;4192;3141;2290;1994;1776;1550;1638;1794;2130;1893;1960;2219;2023;1594;1365;921;693;382;209;155;63;40;38;46;49;75;110;174;230;296;475;676;824;791;662;902;985;1154;1961;2955;3942;5375;6712;7470;6372
75 - 79;24;113;571;1402;1788;1314;855;588;349;274;174;105;82;58;46;65;58;40;40;44;57;71;55;71;67;69;75;147;180;233;308;504;903;1631;2645;3054;3282;3381;3482;3967;5002;5935;5103;4636;5213;4309;3409;2814;2196;1700;1714;1570;1364;1425;1894;2222;2175;2352;2706;2489;2122;1659;1140;775;409;251;155;58;50;46;45;48;64;100;122;227;287;413;543;593;565;562;712;738;957;1625;2486;3236;4848;6283;6990;6079
70 - 74;11;146;620;1329;1411;1042;631;423;274;207;128;94;80;47;40;57;40;37;57;62;63;89;91;79;97;92;105;151;260;267;351;584;934;1805;2881;3187;3304;3355;3189;3479;4385;5158;4444;4128;4837;3664;3052;2480;2063;1575;1599;1644;1555;1807;2376;2840;2901;3144;3611;3370;2877;2303;1592;1081;583;342;213;114;71;67;59;67;102;168;172;298;392;619;738;819;756;693;859;1022;1155;2006;3166;4506;6467;8715;9504;8596
65 - 69;25;236;885;1647;1687;1115;657;501;265;209;146;122;106;60;51;69;66;62;62;71;84;86;121;110;122;129;127;224;290;305;450;687;1282;2263;3551;4264;4014;4155;4131;4117;5171;6349;5586;4975;5730;4416;3624;3129;2537;1914;2041;2120;1994;2302;3191;3900;3964;4308;4913;4629;3972;3292;2319;1616;771;592;319;134;103;76;93;114;159;241;283;404;592;811;995;1107;1049;984;1092;1388;1572;2594;3903;5484;8273;11010;12658;11982
60 - 64;63;428;1597;2523;2780;1787;1085;672;405;332;239;175;168;107;91;121;106;112;94;110;152;151;204;193;237;243;249;339;489;542;682;1272;2122;3962;5987;6852;6928;7295;7003;7655;9434;11037;9180;8261;9283;7552;6234;5123;4215;3187;3246;3515;3419;4121;5309;6574;6406;6875;7599;7756;6796;5531;3731;2648;1346;850;558;283;154;155;168;235;294;397;477;713;979;1484;1837;1881;1709;1643;1816;2150;2552;4264;6183;8883;12952;17080;20129;19010
55 - 59;76;749;2587;3593;3664;2603;1564;1061;598;509;359;263;237;142;133;193;196;156;116;178;242;288;308;325;431;357;394;554;760;867;1107;1874;3003;5758;8970;10166;10295;10263;9877;10385;13046;15002;12388;11093;12321;10031;8336;7010;5808;4509;4605;4840;4636;5712;7266;9093;8948;9680;10667;11022;9926;7816;5321;3577;1929;1256;794;364;244;230;245;367;545;581;785;1247;1803;2398;2715;2890;2603;2491;2761;3030;3599;5948;8555;11998;17546;23368;27266;25672
50 - 54;133;980;3088;3999;3701;2606;1561;987;599;521;373;251;241;150;147;328;258;186;171;208;292;352;415;472;559;538;549;669;899;995;1202;2269;3579;6421;9766;10966;10997;10843;10332;10552;13261;14918;11981;10529;12107;9809;8177;6676;5306;4310;4499;4753;4946;5906;7533;9350;9125;9954;11113;11640;10144;8014;5480;3773;2055;1353;824;441;298;226;290;454;623;821;976;1643;2537;3338;3724;3694;3326;2895;3301;3471;4208;6572;9174;12762;18809;25004;28471;26767
