Altersgruppe;2020_10;2020_11;2020_12;2020_13;2020_14;2020_15;2020_16;2020_17;2020_18;2020_19;2020_20;2020_21;2020_22;2020_23;2020_24;2020_25;2020_26;2020_27;2020_28;2020_29;2020_30;2020_31;2020_32;2020_33;2020_34;2020_35;2020_36;2020_37;2020_38;2020_39;2020_40;2020_41;2020_42;2020_43;2020_44;2020_45;2020_46;2020_47;2020_48;2020_49;2020_50;2020_51;2020_52;2020_53;2021_1;2021_2;2021_3;2021_4;2021_5;2021_6;2021_7;2021_8;2021_9;2021_10;2021_11;2021_12;2021_13;2021_14;2021_15;2021_16;2021_17;2021_18;2021_19;2021_20;2021_21;2021_22;2021_23;2021_24;2021_25;2021_26;2021_27;2021_28;2021_29;2021_30;2021_31;2021_32;2021_33;2021_34;2021_35;2021_36;2021_37;2021_38;2021_39;2021_40;2021_41;2021_42;2021_43;2021_44;2021_45;2021_46;2021_47;2021_48;2021_49
Gesamt;899;6431;22389;33968;36051;27129;17325;12349;7427;6234;4757;3598;3204;2353;2342;4190;3155;2686;2421;3025;3928;4834;6058;7952;9596;8827;8613;9759;12290;13064;15925;26115;42060;74866;111009;125728;127797;128377;123159;128359;156287;174707;138939;123053;145437;118874;95513;78125;64554;50802;52387;56343;58368;71318;92581;116269;110102;118274;142056;144745;124793;100976;70801;52687;29881;20680;14036;7272;4826;4358;5576;9099;12623;15504;20412;32067;49625;66342;74676;71662;61454;53608;56461;57980;65300;97603;136971;177824;271229;351611;403165;388179;336072
90+;1;13;102;424;1170;1243;849;582;284;204;141;103;72;42;46;37;28;24;14;27;17;39;29;25;18;28;24;45;74;94;119;182;437;887;1462;1721;2312;3063;3517;4193;5401;5968;5236;4980;5403;5017;3942;2873;1933;1297;1062;826;610;608;638;661;623;717;791;797;636;541;408;278;160;129;65;44;10;6;17;20;25;56;65;127;138;227;334;350;392;334;325;396;523;888;1164;1658;1901;2354;2659;2422;2317
85 - 89;6;38;218;735;1451;1421;924;681;324;262;179;125;85;51;51;47;33;28;20;25;34;41;39;56;23;33;25;85;101;121;165;307;575;1151;1785;2282;2831;3376;4092;4596;5906;6937;5818;5583;6064;5553;4440;3322;2578;1649;1462;1204;964;938;1110;1261;1193;1071;1200;1177;990;855;619;434;236;158;90;50;41;26;30;41;50;65;85;147;221;332;437;507;519;452;530;587;722;1321;1676;2307;2966;3848;4236;3721;3371
80 - 84;12;84;469;1278;1964;1718;1175;818;452;298;246;154;113;76;61;62;51;49;37;37;51;90;70;81;64;50;60;132;196;212;315;471;857;1839;2837;3434;3797;4359;4771;5444;7073;8254;7405;6863;7668;6683;5330;4192;3140;2289;1994;1776;1550;1638;1794;2129;1893;1959;2219;2023;1595;1365;921;693;382;209;155;63;40;38;46;49;74;110;175;230;296;474;676;823;791;662;902;985;1155;1962;2956;3941;5377;6722;7463;6410;5070
75 - 79;24;113;571;1403;1788;1314;855;588;349;274;174;105;82;58;46;65;58;40;40;44;57;71;55;71;67;69;75;147;180;233;308;504;903;1631;2645;3054;3282;3381;3482;3967;5002;5935;5103;4636;5214;4308;3408;2814;2196;1700;1714;1570;1364;1425;1894;2222;2175;2353;2706;2489;2121;1659;1139;775;409;251;155;58;50;46;45;48;64;100;122;227;287;413;543;593;565;562;712;738;960;1624;2487;3236;4856;6288;7000;6126;4921
70 - 74;11;146;620;1329;1411;1042;631;422;274;207;128;94;80;47;40;57;40;37;56;62;63;89;91;79;97;92;105;151;260;267;351;584;934;1805;2881;3187;3304;3355;3189;3479;4385;5159;4444;4128;4836;3664;3052;2480;2063;1575;1599;1644;1555;1807;2376;2840;2901;3143;3611;3369;2877;2302;1592;1081;583;342;213;114;71;68;59;67;102;168;172;298;392;619;738;818;756;693;859;1022;1156;2007;3166;4508;6472;8723;9510;8668;7120
65 - 69;25;236;885;1647;1687;1115;657;501;265;209;146;122;106;60;51;69;66;62;62;71;84;86;121;110;122;129;127;224;290;305;450;687;1282;2263;3552;4264;4014;4155;4131;4117;5171;6349;5586;4975;5730;4416;3624;3129;2537;1914;2041;2120;1995;2302;3191;3900;3965;4309;4913;4629;3972;3292;2319;1616;771;592;319;134;103;76;93;114;159;241;283;404;592;811;996;1108;1049;985;1092;1388;1573;2593;3903;5486;8276;11020;12651;12094;10117
60 - 64;63;428;1597;2523;2780;1787;1085;672;405;332;239;175;168;107;91;121;106;112;94;110;152;151;204;193;237;243;249;339;489;542;682;1272;2122;3960;5987;6853;6928;7295;7003;7656;9434;11036;9180;8259;9282;7552;6234;5123;4215;3187;3246;3515;3418;4121;5309;6574;6405;6874;7599;7755;6796;5530;3731;2648;1346;850;558;283;154;155;168;235;294;397;477;713;979;1484;1837;1881;1708;1644;1815;2151;2555;4267;6186;8884;12954;17091;20135;19195;16316
55 - 59;76;749;2587;3593;3664;2603;1564;1061;598;509;359;263;237;142;133;193;196;156;116;178;242;288;308;325;431;357;394;554;760;867;1107;1874;3003;5757;8970;10164;10297;10263;9877;10386;13048;15001;12388;11093;12320;10031;8336;7010;5807;4509;4605;4839;4636;5712;7267;9093;8949;9681;10667;11020;9925;7816;5321;3576;1929;1256;794;364;244;230;245;367;545;581;785;1247;1803;2398;2715;2890;2603;2491;2761;3030;3604;5957;8557;12009;17551;23401;27293;25902;21555
50 - 54;133;980;3088;3999;3701;2606;1561;987;599;521;373;251;241;150;147;328;258;186;171;208;292;352;415;472;559;538;549;669;899;995;1202;2269;3579;6421;9765;10966;10996;10843;10331;10552;13259;14918;11981;10529;12107;9809;8177;6676;5306;4310;4499;4752;4947;5905;7532;9349;9125;9954;11113;11640;10144;8014;5479;3773;2055;1353;824;441;298;226;290;454;623;821;976;1643;2538;3338;3725;3694;3326;2895;3299;3471;4208;6576;9181;12770;18821;25020;28510;26987;22179
