Altersgruppe;2020_10;2020_11;2020_12;2020_13;2020_14;2020_15;2020_16;2020_17;2020_18;2020_19;2020_20;2020_21;2020_22;2020_23;2020_24;2020_25;2020_26;2020_27;2020_28;2020_29;2020_30;2020_31;2020_32;2020_33;2020_34;2020_35;2020_36;2020_37;2020_38;2020_39;2020_40;2020_41;2020_42;2020_43;2020_44;2020_45;2020_46;2020_47;2020_48;2020_49;2020_50;2020_51;2020_52;2020_53;2021_1;2021_2;2021_3;2021_4;2021_5;2021_6;2021_7;2021_8;2021_9;2021_10;2021_11;2021_12;2021_13;2021_14;2021_15;2021_16;2021_17;2021_18;2021_19;2021_20;2021_21;2021_22;2021_23;2021_24;2021_25;2021_26;2021_27;2021_28;2021_29;2021_30;2021_31;2021_32;2021_33;2021_34;2021_35;2021_36;2021_37;2021_38;2021_39;2021_40;2021_41;2021_42;2021_43;2021_44;2021_45;2021_46;2021_47;2021_48;2021_49;2021_50;2021_51;2021_52
Gesamt;899;6430;22387;33968;36052;27131;17325;12349;7427;6234;4757;3597;3204;2353;2342;4190;3155;2688;2421;3026;3927;4833;6057;7952;9597;8827;8612;9759;12291;13064;15925;26118;42061;74865;111007;125724;127791;128370;123156;128360;156293;174709;138939;123101;145438;118876;95513;78122;64553;50802;52390;56341;58368;71319;92577;116260;110102;118269;142049;144737;124784;100973;70793;52685;29882;20681;14036;7275;4830;4360;5575;9100;12626;15503;20415;32064;49624;66349;74679;71668;61453;53603;56466;57975;65323;97687;137020;177909;271410;351771;403361;388267;337933;273491;193931;205957
90+;1;13;102;424;1170;1243;849;582;284;204;141;103;72;42;46;37;28;24;14;27;17;39;29;25;18;28;24;45;74;94;119;182;437;887;1462;1721;2312;3063;3516;4193;5401;5969;5236;4981;5403;5017;3942;2873;1933;1297;1062;827;610;608;638;661;623;717;791;796;636;541;407;278;160;129;66;44;10;6;17;20;25;56;65;127;138;227;334;350;392;331;325;395;523;888;1161;1652;1899;2348;2656;2419;2306;1877;1189;1099
85 - 89;6;38;218;735;1451;1421;924;681;324;262;179;125;85;51;51;47;33;28;20;25;34;41;38;56;23;33;25;85;101;121;165;307;575;1151;1785;2281;2831;3376;4092;4596;5906;6937;5818;5584;6065;5553;4440;3323;2577;1649;1462;1204;964;938;1110;1261;1193;1071;1200;1177;990;855;619;434;236;158;90;50;41;26;30;41;50;65;85;146;220;332;437;507;519;452;530;587;722;1322;1678;2310;2969;3848;4230;3714;3401;2715;1762;1598
80 - 84;12;84;469;1278;1964;1718;1175;818;452;298;246;154;113;76;61;62;51;49;37;37;51;90;70;81;64;50;60;132;196;212;315;471;857;1839;2837;3434;3797;4359;4771;5444;7073;8254;7407;6863;7668;6683;5330;4192;3140;2289;1994;1775;1550;1638;1793;2128;1893;1959;2218;2023;1595;1365;921;693;382;209;155;63;40;38;46;49;74;110;175;230;296;474;676;823;791;663;903;985;1154;1960;2955;3945;5385;6726;7460;6410;5071;4035;2595;2519
75 - 79;24;113;571;1403;1787;1315;856;588;349;274;174;105;82;58;46;65;58;40;40;44;57;71;55;71;67;69;75;147;180;233;308;504;903;1631;2645;3054;3281;3381;3482;3967;5002;5935;5102;4636;5213;4308;3408;2814;2195;1700;1714;1570;1364;1423;1894;2222;2175;2353;2706;2489;2121;1659;1139;775;409;251;155;58;50;46;45;48;64;100;122;227;287;413;543;593;565;562;713;738;960;1626;2489;3236;4862;6291;7002;6107;4946;3603;2265;2292
70 - 74;11;146;620;1329;1411;1042;631;422;274;207;128;94;80;47;40;57;40;37;56;62;63;89;91;79;97;92;105;151;260;267;351;584;934;1804;2881;3187;3304;3355;3190;3479;4385;5159;4443;4128;4835;3664;3052;2480;2063;1575;1599;1644;1555;1806;2376;2840;2901;3144;3612;3369;2877;2302;1593;1081;583;342;213;114;71;68;59;68;102;168;172;298;392;619;738;817;756;692;858;1021;1158;2008;3166;4512;6474;8730;9506;8669;7164;5113;3398;3469
65 - 69;25;236;885;1647;1687;1115;657;501;265;209;146;121;106;60;51;69;66;62;62;71;84;86;121;110;122;129;127;224;290;305;450;687;1282;2263;3552;4264;4014;4155;4131;4116;5170;6349;5586;4977;5730;4417;3624;3128;2536;1914;2040;2120;1995;2302;3191;3900;3965;4308;4912;4630;3972;3292;2318;1617;771;592;319;134;103;76;93;114;159;241;284;404;591;811;996;1108;1049;984;1094;1389;1574;2593;3903;5490;8278;11032;12649;12092;10182;7553;5048;5210
60 - 64;63;428;1597;2523;2780;1787;1085;672;405;332;239;175;168;107;91;121;106;112;94;110;152;151;204;193;237;243;249;339;489;542;682;1271;2122;3960;5987;6853;6927;7295;7003;7656;9434;11036;9180;8262;9282;7552;6234;5124;4215;3187;3246;3515;3417;4121;5309;6574;6405;6874;7599;7753;6795;5530;3731;2647;1347;850;558;283;154;155;168;235;294;397;477;713;979;1484;1837;1881;1708;1644;1815;2152;2558;4274;6187;8888;12966;17090;20140;19216;16406;12211;8242;8867
55 - 59;76;749;2587;3593;3664;2603;1564;1061;598;509;359;263;237;142;133;193;196;157;116;178;242;288;308;325;431;357;394;554;760;867;1107;1874;3003;5757;8970;10165;10298;10263;9877;10385;13049;15001;12390;11094;12319;10031;8337;7010;5807;4509;4605;4840;4635;5712;7268;9092;8949;9681;10666;11020;9925;7814;5321;3578;1929;1255;794;364;244;230;245;367;545;581;785;1248;1804;2398;2716;2892;2603;2488;2761;3028;3607;5962;8562;12021;17559;23407;27292;25906;21662;16641;11382;13015
50 - 54;133;980;3088;3999;3701;2606;1561;987;599;521;373;251;241;150;147;328;258;186;171;208;292;352;415;472;559;538;549;669;899;995;1202;2269;3579;6421;9765;10967;10995;10842;10329;10552;13260;14919;11980;10533;12108;9808;8176;6675;5306;4310;4499;4751;4946;5908;7532;9349;9124;9955;11114;11638;10144;8014;5476;3772;2055;1353;824;441;299;226;290;454;624;821;977;1643;2537;3338;3725;3694;3327;2895;3300;3473;4207;6583;9183;12785;18829;25033;28524;26994;22303;17632;12046;13975
