Altersgruppe;2021_1;2021_2;2021_3;2021_4;2021_5;2021_6;2021_7;2021_8;2021_9;2021_10;2021_11;2021_12;2021_13;2021_14;2021_15;2021_16;2021_17;2021_18;2021_19;2021_20;2021_21;2021_22;2021_23;2021_24;2021_25;2021_26;2021_27;2021_28;2021_29;2021_30;2021_31;2021_32;2021_33;2021_34;2021_35;2021_36;2021_37;2021_38;2021_39;2021_40;2021_41;2021_42;2021_43;2021_44;2021_45;2021_46;2021_47;2021_48;2021_49;2021_50;2021_51;2021_52;2022_1
Gesamt;145475;118874;95510;78121;64553;50799;52390;56339;58369;71319;92579;116258;110102;118269;142048;144736;124779;100970;70793;52685;29882;20680;14038;7276;4831;4361;5575;9100;12626;15505;20414;32064;49626;66349;74680;71665;61452;53605;56467;57983;65327;97696;137024;177908;271373;351755;403382;388277;338141;273597;193938;208283;332352
90+;5403;5016;3942;2873;1933;1297;1062;827;610;608;638;661;623;717;791;796;636;541;407;278;160;129;66;44;10;6;17;20;25;56;65;127;138;227;334;350;392;331;325;395;523;888;1162;1650;1899;2342;2649;2415;2306;1870;1181;1099;1422
85 - 89;6065;5553;4440;3322;2577;1649;1461;1204;964;938;1110;1261;1194;1071;1200;1177;990;855;619;434;236;158;90;50;41;26;30;41;50;65;85;146;220;332;437;507;519;452;530;587;722;1322;1679;2309;2971;3846;4230;3712;3401;2714;1758;1605;1952
80 - 84;7669;6683;5330;4192;3140;2289;1994;1775;1550;1638;1793;2128;1893;1959;2218;2023;1594;1365;921;693;382;209;155;63;40;38;46;49;74;110;175;230;296;474;676;823;791;663;903;985;1154;1960;2956;3947;5386;6727;7460;6411;5070;4034;2585;2531;3220
75 - 79;5213;4308;3408;2814;2195;1700;1714;1570;1364;1423;1894;2222;2175;2353;2706;2489;2120;1659;1139;775;409;251;155;58;50;46;45;48;64;100;122;227;287;413;543;593;565;562;713;738;961;1627;2489;3237;4860;6295;7004;6103;4946;3604;2261;2318;2941
70 - 74;4835;3664;3052;2480;2063;1575;1599;1643;1555;1806;2376;2840;2901;3144;3611;3369;2878;2302;1593;1081;583;342;213;114;71;68;59;68;102;168;172;298;392;619;738;817;756;692;858;1021;1159;2008;3166;4513;6474;8725;9511;8670;7169;5112;3392;3510;4522
65 - 69;5730;4417;3624;3127;2536;1914;2040;2121;1995;2302;3191;3900;3965;4308;4911;4629;3972;3292;2318;1617;771;592;319;134;103;76;93;114;159;241;284;404;591;811;996;1108;1049;984;1094;1389;1575;2593;3903;5489;8276;11030;12655;12092;10188;7552;5047;5270;6786
60 - 64;9285;7551;6234;5124;4215;3187;3246;3515;3418;4121;5309;6574;6405;6874;7599;7754;6795;5530;3731;2647;1346;850;558;282;154;155;168;235;294;397;477;713;979;1484;1836;1881;1708;1644;1815;2152;2558;4274;6187;8889;12963;17087;20143;19213;16415;12210;8241;8944;11815
55 - 59;12321;10031;8337;7010;5806;4509;4605;4839;4634;5712;7267;9092;8949;9681;10666;11019;9924;7814;5322;3578;1929;1255;795;364;244;230;245;367;545;581;785;1248;1804;2398;2716;2892;2603;2487;2761;3028;3605;5962;8564;12017;17558;23412;27287;25908;21671;16637;11381;13161;18679
50 - 54;12110;9808;8177;6675;5306;4309;4499;4751;4946;5908;7532;9349;9124;9955;11113;11638;10144;8014;5476;3772;2055;1353;824;441;299;227;290;454;624;821;977;1643;2537;3338;3725;3694;3326;2895;3300;3473;4207;6585;9182;12787;18831;25035;28529;26996;22314;17638;12049;14140;21693
45 - 49;9796;7956;6490;5301;4488;3552;3774;4045;4292;5189;6516;8162;7998;8770;10167;10667;9026;7444;5077;3584;2079;1307;873;471;274;260;333;437;689;910;1179;1953;3105;4117;4629;4541;3790;3337;3499;3813;4336;6602;9038;12132;18111;23471;27121;26226;22136;17282;12086;13151;20774
40 - 44;9556;7555;6230;5121;4275;3463;3591;4133;4276;5346;6982;9086;8326;9280;10727;10826;9572;7729;5333;3978;2204;1597;1076;530;356;272;345;508;733;991;1445;2355;3759;5190;5694;5426;4457;3911;4202;4394;5044;7605;10602;13866;21116;27953;33176;32505;27857;22322;15480;16422;24110
35 - 39;10149;8007;6341;5199;4462;3591;3708;4181;4574;5762;7587;9462;8983;9484;11268;11275;10016;7967;5619;4223;2414;1692;1100;546;365;339;381;647;908;1168;1596;2445;3770;5268;6003;5803;4823;4246;4543;4722;5349;7646;10568;14180;21170;28119;33606;33337;29356;24081;17280;18569;26811
30 - 34;11604;9043;7016;5760;4909;3905;4112;4526;4892;6018;7894;9866;9510;10139;12013;11855;10452;8273;5866;4534;2744;1751;1185;633;418;428;584;870;1307;1511;2079;3053;4386;5982;6583;6229;5104;4606;4775;4807;5362;8040;10763;13935;20279;26823;30930;30022;26954;22178;16950;19964;32407
25 - 29;10777;8537;6391;5334;4485;3659;3910;4151;4263;5467;7013;8400;8378;9215;10902;10793;9217;7451;5175;3946;2457;1598;1108;620;463;495;789;1331;1735;1954;2404;3595;5029;6327;6294;6067;4896;4115;4247;4292;4916;7238;9383;11970;17200;21488;23005;22203;19441;16333;13779;19159;36986
20 - 24;10890;8538;6433;5240;4377;3664;3946;4199;4401;5423;6902;8551;8508;9800;11548;11266;9617;7830;5589;4179;2414;1736;1202;626;439;553;884;1504;2090;2329;2794;4426;5792;6885;6833;6223;4961;4124;4089;4159;4960;7248;9388;11863;17035;20448;22327;21117;18096;15536;13141;19817;40285
15 - 19;6384;5388;4200;3472;2918;2378;2619;3071;3210;4106;5538;7184;6609;7551;10818;10338;8656;7052;4938;3883;2239;1719;1232;683;444;414;581;1288;1614;1844;2371;3509;5571;6980;7782;6855;5651;4628;4580;4550;4896;6960;9841;11774;18437;21820;25104;24254;20471;16874;12029;14604;29718
10 - 14;3332;2714;2231;1880;1727;1409;1572;1877;2311;2870;4181;5730;4850;5179;7658;8736;7174;6126;4565;3762;2164;1582;1322;667;453;313;297;534;783;1005;1492;2609;5365;6925;8415;7741;7320;6292;6666;6513;6850;8983;13431;15538;27365;35195;40315;38414;33994;27956;18365;14287;21062
5 - 9;2395;2195;1904;1643;1602;1391;1551;2004;2729;3680;4763;6699;5194;4700;6997;8418;6872;5570;4113;3414;1877;1528;1147;567;349;242;208;325;479;728;1153;1842;3722;5599;7010;6597;5888;5287;5353;5093;5120;7427;11124;13300;24234;32161;36617;36340;33896;28539;19224;13238;17824
0 - 4;1902;1854;1695;1528;1512;1347;1377;1886;2371;2992;4050;5023;4466;4025;5087;5574;5058;4111;2963;2298;1410;1024;614;381;257;173;180;258;347;522;756;1234;1868;2958;3414;3496;2834;2332;2204;1857;2015;2711;3554;4439;7086;9599;11470;12120;12215;10829;7555;6345;8974
