Altersgruppe;2020_10;2020_11;2020_12;2020_13;2020_14;2020_15;2020_16;2020_17;2020_18;2020_19;2020_20;2020_21;2020_22;2020_23;2020_24;2020_25;2020_26;2020_27;2020_28;2020_29;2020_30;2020_31;2020_32;2020_33;2020_34;2020_35;2020_36;2020_37;2020_38;2020_39;2020_40;2020_41;2020_42;2020_43;2020_44;2020_45;2020_46;2020_47;2020_48;2020_49;2020_50;2020_51;2020_52;2020_53;2021_1;2021_2;2021_3;2021_4;2021_5;2021_6;2021_7;2021_8;2021_9;2021_10;2021_11;2021_12;2021_13;2021_14;2021_15;2021_16;2021_17;2021_18;2021_19;2021_20;2021_21;2021_22;2021_23;2021_24;2021_25;2021_26;2021_27;2021_28;2021_29;2021_30;2021_31;2021_32;2021_33;2021_34;2021_35;2021_36;2021_37;2021_38;2021_39;2021_40;2021_41;2021_42;2021_43;2021_44;2021_45;2021_46;2021_47;2021_48;2021_49;2021_50;2021_51;2021_52;2022_1;2022_2
Gesamt;899;6430;22385;33970;36052;27130;17323;12349;7427;6234;4756;3598;3204;2354;2342;4190;3156;2687;2421;3028;3927;4833;6057;7952;9596;8827;8613;9758;12291;13064;15923;26120;42062;74865;111008;125724;127783;128372;123152;128353;156299;174698;138928;123089;145480;118900;95514;78122;64555;50795;52392;56339;58368;71320;92579;116258;110105;118264;142049;144736;124781;100970;70794;52686;29883;20679;14043;7277;4834;4362;5575;9102;12625;15505;20414;32062;49622;66350;74680;71666;61451;53605;56468;57991;65337;97699;137023;177925;271363;351746;403397;388291;338198;273620;193977;208569;337543;473440
90+;1;13;102;424;1170;1243;848;582;284;204;141;103;72;42;46;37;28;24;14;27;17;39;29;25;18;28;24;45;74;94;119;182;437;887;1462;1722;2312;3063;3516;4193;5401;5969;5236;4981;5402;5016;3943;2873;1933;1297;1061;827;610;608;638;661;623;717;791;795;636;541;407;278;160;129;66;44;11;6;17;20;25;56;65;127;138;227;334;350;392;331;325;395;523;888;1160;1650;1899;2340;2638;2412;2306;1867;1182;1094;1426;1612
85 - 89;6;38;218;735;1451;1421;924;681;324;262;179;125;85;51;51;47;33;28;20;25;34;41;38;56;23;33;25;85;101;121;165;307;575;1151;1785;2280;2831;3377;4093;4596;5906;6937;5818;5585;6066;5553;4440;3323;2576;1648;1461;1204;964;938;1110;1261;1194;1072;1200;1177;990;855;619;434;236;158;90;50;41;26;30;41;50;65;85;146;220;332;437;507;519;452;530;588;722;1322;1679;2309;2971;3844;4229;3712;3400;2710;1758;1605;1966;2078
80 - 84;12;84;469;1278;1964;1718;1175;818;452;298;246;154;113;76;61;62;51;49;37;37;51;90;70;81;64;50;60;132;196;212;315;471;857;1839;2837;3434;3797;4359;4771;5444;7073;8254;7407;6864;7669;6681;5330;4192;3140;2289;1994;1775;1550;1637;1793;2129;1894;1957;2218;2023;1595;1365;921;693;382;208;155;63;41;38;46;49;74;110;175;230;296;474;676;823;791;663;903;985;1154;1960;2955;3946;5386;6725;7460;6415;5071;4038;2585;2532;3245;3309
75 - 79;24;113;571;1403;1787;1315;855;587;349;274;174;105;82;58;46;65;58;40;40;44;57;71;55;71;67;69;75;147;180;233;308;504;903;1631;2645;3056;3281;3381;3482;3967;5002;5934;5102;4636;5212;4308;3408;2813;2195;1700;1714;1570;1363;1423;1894;2222;2175;2353;2706;2489;2120;1659;1139;775;409;251;155;58;50;46;45;48;64;100;122;227;287;413;543;593;565;562;713;738;961;1627;2490;3237;4861;6296;7006;6103;4944;3605;2261;2319;2970;2972
70 - 74;11;146;620;1329;1411;1042;631;422;274;207;128;94;80;47;40;57;40;37;56;62;63;89;91;79;97;92;105;151;260;267;351;584;934;1805;2881;3187;3304;3355;3190;3479;4385;5159;4442;4131;4835;3664;3052;2480;2063;1574;1599;1643;1555;1806;2376;2840;2901;3144;3611;3369;2878;2302;1593;1081;583;342;213;114;71;68;59;68;102;168;172;298;392;619;738;817;756;692;858;1021;1159;2008;3166;4514;6473;8727;9513;8669;7171;5113;3390;3517;4578;4704
65 - 69;25;236;885;1647;1687;1115;657;501;265;209;146;122;106;60;51;69;66;62;62;71;84;86;121;110;122;129;127;224;290;305;450;687;1282;2263;3552;4264;4014;4155;4131;4116;5170;6350;5586;4976;5730;4418;3624;3127;2536;1914;2040;2121;1995;2302;3191;3900;3965;4308;4910;4628;3971;3292;2318;1617;771;592;319;134;103;76;93;114;159;241;284;404;591;811;996;1108;1049;984;1094;1389;1574;2593;3903;5490;8275;11028;12656;12090;10189;7551;5047;5278;6851;7384
60 - 64;63;428;1597;2523;2780;1787;1085;672;405;332;239;175;168;107;91;121;106;112;94;110;152;151;204;193;237;243;249;339;489;542;682;1271;2122;3960;5987;6853;6927;7296;7001;7656;9434;11036;9181;8262;9287;7552;6234;5124;4215;3187;3246;3515;3417;4121;5309;6574;6406;6874;7599;7754;6795;5530;3731;2647;1346;850;558;282;154;155;168;235;294;397;477;713;979;1484;1836;1881;1708;1644;1815;2152;2558;4274;6188;8892;12963;17086;20146;19215;16415;12208;8243;8947;11971;14288
55 - 59;76;748;2587;3593;3664;2603;1564;1061;598;509;359;263;237;143;133;193;196;156;116;178;242;288;308;325;431;357;394;554;760;867;1107;1874;3004;5757;8971;10165;10296;10264;9876;10385;13049;15002;12390;11095;12321;10034;8338;7010;5806;4508;4605;4839;4635;5712;7267;9092;8949;9682;10666;11020;9923;7814;5321;3578;1929;1255;795;364;244;230;245;367;545;581;785;1248;1803;2398;2716;2892;2603;2487;2761;3028;3606;5963;8564;12016;17557;23411;27286;25911;21672;16637;11383;13184;18973;23281
50 - 54;133;980;3088;3998;3701;2606;1561;987;599;521;373;251;241;150;147;328;258;186;171;208;292;352;415;472;559;538;549;669;900;995;1202;2269;3579;6422;9765;10966;10995;10842;10328;10552;13260;14919;11979;10533;12113;9808;8177;6675;5306;4308;4499;4751;4946;5908;7531;9349;9125;9955;11112;11638;10144;8014;5476;3772;2055;1353;825;441;299;227;290;454;624;821;977;1643;2537;3338;3725;3694;3326;2895;3300;3473;4208;6584;9183;12788;18831;25034;28530;26999;22319;17639;12050;14155;22058;29328
