Altersgruppe;2020_10;2020_11;2020_12;2020_13;2020_14;2020_15;2020_16;2020_17;2020_18;2020_19;2020_20;2020_21;2020_22;2020_23;2020_24;2020_25;2020_26;2020_27;2020_28;2020_29;2020_30;2020_31;2020_32;2020_33;2020_34;2020_35;2020_36;2020_37;2020_38;2020_39;2020_40;2020_41;2020_42;2020_43;2020_44;2020_45;2020_46;2020_47;2020_48;2020_49;2020_50;2020_51;2020_52;2020_53;2021_1;2021_2;2021_3;2021_4;2021_5;2021_6;2021_7;2021_8;2021_9;2021_10;2021_11;2021_12;2021_13;2021_14;2021_15;2021_16;2021_17;2021_18;2021_19;2021_20;2021_21;2021_22;2021_23;2021_24;2021_25;2021_26;2021_27;2021_28;2021_29;2021_30;2021_31;2021_32;2021_33;2021_34;2021_35;2021_36;2021_37;2021_38;2021_39;2021_40;2021_41;2021_42;2021_43;2021_44;2021_45;2021_46;2021_47;2021_48;2021_49;2021_50;2021_51;2021_52;2022_1;2022_2;2022_3
Gesamt;899;6431;22386;33970;36051;27130;17324;12349;7427;6234;4756;3598;3205;2353;2342;4190;3156;2687;2423;3029;3929;4833;6059;7952;9595;8827;8613;9758;12290;13064;15926;26119;42062;74868;111006;125723;127785;128377;123148;128352;156300;174701;138928;123087;145478;118909;95528;78126;64557;50796;52394;56339;58367;71328;92595;116258;110102;118269;142048;144749;124776;100971;70802;52689;29886;20681;14046;7276;4838;4363;5577;9102;12623;15508;20414;32063;49626;66354;74692;71676;61454;53623;56472;58005;65347;97732;137037;177919;271383;351767;403430;388329;338249;273691;194002;208623;337711;485095;763027
90+;1;13;102;424;1170;1243;848;582;284;204;141;103;72;42;46;37;28;24;14;27;17;39;29;25;18;28;24;45;74;94;119;182;437;887;1462;1722;2313;3063;3516;4193;5401;5969;5236;4981;5401;5016;3943;2873;1933;1296;1061;827;610;608;638;661;623;718;791;795;636;541;406;277;160;129;66;44;11;6;17;20;25;56;65;127;138;227;334;350;392;331;325;395;523;889;1161;1651;1898;2333;2639;2400;2306;1867;1180;1093;1423;1641;2848
85 - 89;6;38;218;735;1451;1421;924;681;324;262;179;125;85;51;51;47;33;28;20;25;34;41;38;56;23;33;25;85;101;121;165;307;575;1151;1785;2279;2831;3377;4093;4596;5906;6937;5818;5585;6066;5553;4440;3323;2576;1648;1461;1204;964;938;1111;1261;1194;1072;1200;1177;990;854;619;434;236;158;90;50;41;26;30;41;50;65;85;146;220;333;437;507;519;452;530;590;722;1322;1679;2309;2971;3845;4230;3712;3401;2710;1757;1608;1964;2121;3375
80 - 84;12;84;469;1278;1964;1718;1175;818;452;298;246;154;113;76;61;62;51;49;37;37;51;90;70;81;64;50;60;132;196;212;315;471;857;1839;2837;3434;3797;4359;4771;5445;7073;8254;7407;6864;7668;6680;5330;4192;3140;2289;1994;1775;1550;1637;1792;2129;1894;1957;2218;2023;1595;1366;921;695;384;209;155;63;41;38;46;49;74;110;175;230;296;474;676;823;791;663;903;984;1155;1960;2955;3947;5387;6726;7457;6414;5073;4035;2584;2532;3248;3361;5003
75 - 79;24;113;571;1403;1787;1315;855;587;349;274;174;105;82;58;46;65;58;40;40;44;57;71;55;71;67;69;75;147;180;233;308;504;903;1631;2645;3056;3281;3381;3482;3967;5001;5933;5102;4636;5212;4308;3408;2813;2195;1700;1714;1570;1363;1423;1894;2222;2176;2353;2706;2489;2120;1659;1139;774;408;251;155;58;50;46;45;48;64;100;122;227;287;413;543;593;565;562;713;738;961;1627;2492;3237;4860;6296;7006;6104;4945;3606;2260;2316;2970;3040;4564
70 - 74;11;146;620;1329;1411;1042;631;422;274;207;128;94;80;47;40;57;40;37;56;62;63;89;91;79;97;92;105;151;260;267;351;584;934;1805;2881;3187;3304;3355;3190;3479;4385;5160;4442;4131;4835;3664;3053;2480;2063;1574;1599;1643;1555;1807;2376;2839;2900;3144;3611;3369;2878;2302;1593;1081;583;342;213;114;71;68;59;68;102;168;172;298;392;619;739;817;756;692;857;1020;1159;2009;3166;4512;6472;8728;9514;8672;7172;5111;3391;3518;4574;4821;6954
65 - 69;25;236;885;1647;1687;1115;657;501;265;209;146;122;106;60;51;69;66;62;62;71;84;86;121;110;122;129;127;224;290;305;450;687;1282;2263;3552;4263;4014;4155;4131;4116;5169;6350;5586;4976;5729;4418;3624;3128;2536;1914;2040;2121;1995;2302;3191;3901;3965;4309;4910;4628;3970;3292;2318;1617;771;592;319;134;103;76;93;114;159;241;284;404;591;811;998;1108;1049;984;1095;1389;1574;2596;3903;5490;8276;11027;12655;12089;10189;7552;5048;5276;6848;7539;11049
60 - 64;63;428;1597;2523;2780;1787;1085;672;405;332;239;175;168;107;91;121;106;112;94;110;152;151;204;193;237;243;249;339;489;542;683;1271;2122;3960;5987;6853;6927;7296;7001;7656;9434;11036;9180;8262;9289;7552;6235;5124;4216;3188;3246;3515;3417;4123;5310;6574;6406;6874;7599;7754;6796;5530;3732;2646;1346;850;558;282;154;155;168;235;294;397;477;713;979;1484;1836;1881;1709;1644;1814;2152;2558;4275;6187;8892;12964;17087;20144;19215;16417;12206;8243;8942;11962;14590;22072
55 - 59;76;748;2587;3593;3664;2603;1564;1061;598;509;359;263;237;142;133;193;196;156;116;178;242;288;308;325;431;357;394;554;760;867;1107;1874;3004;5757;8971;10165;10296;10263;9876;10386;13049;15001;12390;11093;12321;10035;8338;7010;5807;4508;4605;4840;4634;5714;7270;9093;8949;9682;10666;11022;9924;7815;5323;3578;1930;1255;795;364;245;230;245;367;545;581;785;1248;1803;2398;2718;2892;2602;2489;2761;3032;3606;5965;8564;12015;17557;23413;27286;25912;21673;16638;11384;13192;18986;23756;34624
50 - 54;133;980;3088;3998;3700;2606;1561;987;599;521;373;251;241;150;147;328;258;186;171;208;293;352;415;472;559;538;549;669;900;995;1203;2269;3580;6422;9765;10966;10995;10842;10328;10551;13260;14919;11979;10531;12112;9808;8176;6675;5306;4308;4499;4750;4946;5909;7534;9350;9123;9955;11112;11637;10142;8014;5476;3772;2055;1353;825;441;299;227;290;454;624;821;977;1643;2537;3338;3725;3695;3326;2895;3302;3474;4209;6585;9183;12787;18833;25032;28532;27002;22321;17641;12049;14161;22063;30022;41973
