Altersgruppe;2020_10;2020_11;2020_12;2020_13;2020_14;2020_15;2020_16;2020_17;2020_18;2020_19;2020_20;2020_21;2020_22;2020_23;2020_24;2020_25;2020_26;2020_27;2020_28;2020_29;2020_30;2020_31;2020_32;2020_33;2020_34;2020_35;2020_36;2020_37;2020_38;2020_39;2020_40;2020_41;2020_42;2020_43;2020_44;2020_45;2020_46;2020_47;2020_48;2020_49;2020_50;2020_51;2020_52;2020_53;2021_1;2021_2;2021_3;2021_4;2021_5;2021_6;2021_7;2021_8;2021_9;2021_10;2021_11;2021_12;2021_13;2021_14;2021_15;2021_16;2021_17;2021_18;2021_19;2021_20;2021_21;2021_22;2021_23;2021_24;2021_25;2021_26;2021_27;2021_28;2021_29;2021_30;2021_31;2021_32;2021_33;2021_34;2021_35;2021_36;2021_37;2021_38;2021_39;2021_40;2021_41;2021_42;2021_43;2021_44;2021_45;2021_46;2021_47;2021_48;2021_49;2021_50;2021_51;2021_52;2022_1;2022_2;2022_3;2022_4
Gesamt;899;6432;22386;33968;36050;27128;17324;12349;7430;6233;4756;3599;3205;2353;2344;4190;3156;2689;2423;3031;3932;4834;6060;7951;9597;8829;8614;9758;12289;13064;15926;26122;42056;74870;111002;125723;127790;128391;123144;128356;156307;174695;138924;123081;145476;118897;95535;78156;64565;50799;52393;56343;58366;71328;92591;116259;110102;118261;142054;144748;124773;100971;70804;52688;29885;20683;14044;7277;4839;4366;5580;9102;12625;15508;20413;32063;49630;66352;74691;71674;61453;53618;56477;58008;65346;97729;137039;177897;271381;351765;403424;388352;338163;273532;193932;208566;337605;485368;791253;1060988
90+;1;13;102;424;1170;1243;848;582;284;204;141;103;72;42;46;37;28;24;14;27;17;39;29;25;18;28;24;45;74;94;119;182;437;887;1462;1722;2315;3064;3515;4194;5401;5968;5236;4981;5401;5016;3943;2873;1935;1297;1061;827;610;608;638;661;623;718;791;796;636;541;406;277;160;129;66;44;11;6;17;20;25;56;65;127;138;227;334;350;392;331;325;395;523;889;1161;1652;1898;2332;2632;2400;2302;1866;1182;1092;1425;1634;2911;4131
85 - 89;6;38;218;735;1451;1421;924;681;324;262;179;125;85;51;51;47;33;28;20;25;34;41;38;56;23;33;25;85;101;121;165;307;576;1151;1785;2280;2834;3378;4092;4595;5906;6938;5817;5583;6066;5553;4440;3323;2575;1648;1461;1204;964;938;1111;1261;1194;1072;1201;1177;990;854;619;434;236;158;90;50;41;26;30;41;50;65;85;146;220;333;437;507;519;452;530;590;722;1322;1679;2309;2972;3846;4232;3712;3399;2708;1755;1604;1963;2119;3480;4735
80 - 84;12;84;469;1278;1964;1718;1175;818;452;298;246;154;113;76;61;62;51;49;37;37;51;90;70;81;64;50;60;132;196;212;315;471;857;1839;2837;3434;3797;4360;4769;5445;7073;8254;7407;6862;7667;6679;5329;4193;3140;2289;1994;1775;1550;1637;1792;2129;1895;1957;2218;2023;1594;1366;921;695;384;209;155;63;41;38;46;49;74;110;175;230;296;474;676;823;791;663;903;984;1155;1960;2956;3947;5386;6725;7452;6415;5069;4033;2583;2531;3247;3354;5196;7035
75 - 79;24;113;571;1403;1787;1315;855;587;349;274;174;105;82;58;46;65;58;40;40;44;57;71;55;71;67;69;75;147;180;233;308;504;903;1631;2645;3056;3281;3382;3480;3967;5001;5932;5102;4636;5212;4308;3408;2813;2195;1700;1714;1570;1363;1423;1894;2222;2176;2353;2706;2489;2120;1659;1139;774;408;251;155;58;50;46;45;48;64;100;122;227;287;413;543;594;564;562;713;738;961;1627;2491;3237;4860;6296;7005;6105;4947;3602;2261;2315;2966;3045;4731;6557
70 - 74;11;146;620;1329;1411;1042;631;422;274;207;128;94;80;47;40;57;40;37;56;62;63;89;91;79;97;92;105;151;260;267;351;584;934;1805;2881;3187;3304;3356;3190;3479;4385;5159;4442;4131;4834;3664;3053;2480;2063;1574;1599;1642;1555;1807;2376;2839;2899;3144;3610;3369;2878;2302;1593;1081;583;342;213;114;71;68;59;68;102;168;172;298;392;619;739;817;756;692;856;1021;1159;2009;3165;4511;6470;8728;9513;8671;7169;5110;3389;3514;4573;4833;7221;9938
65 - 69;25;236;885;1647;1687;1115;657;501;265;209;146;122;106;60;51;69;66;62;62;71;84;86;121;110;122;129;127;224;290;305;450;687;1282;2263;3552;4262;4014;4156;4130;4115;5169;6350;5586;4976;5729;4416;3624;3128;2536;1914;2040;2121;1995;2302;3191;3901;3965;4309;4911;4628;3969;3292;2318;1617;771;592;319;134;103;76;93;114;159;241;284;404;591;811;998;1108;1049;984;1095;1389;1574;2596;3903;5490;8276;11030;12655;12091;10180;7551;5045;5276;6847;7540;11461;15479
60 - 64;63;428;1597;2523;2780;1787;1085;672;405;332;239;175;168;107;91;121;106;112;94;110;152;151;204;193;237;244;249;339;489;542;683;1271;2122;3960;5987;6854;6928;7296;7001;7656;9433;11035;9179;8261;9289;7551;6235;5124;4217;3188;3246;3515;3416;4123;5310;6574;6406;6874;7599;7755;6796;5531;3732;2646;1346;850;558;282;155;155;168;235;294;397;477;713;979;1484;1836;1881;1709;1644;1814;2152;2558;4276;6187;8892;12964;17086;20149;19214;16418;12200;8236;8938;11959;14586;22815;31586
55 - 59;76;748;2586;3591;3664;2603;1565;1061;598;509;359;263;237;142;133;193;196;156;116;178;242;288;308;325;431;357;394;554;760;867;1107;1874;3003;5757;8971;10164;10296;10264;9876;10387;13049;15000;12390;11091;12323;10034;8337;7010;5806;4508;4605;4840;4634;5714;7268;9093;8950;9681;10665;11022;9924;7815;5323;3577;1930;1255;795;364;244;230;246;367;545;581;785;1248;1803;2398;2718;2892;2602;2489;2761;3032;3606;5965;8564;12013;17558;23414;27292;25918;21668;16623;11380;13190;18985;23770;35856;47992
50 - 54;133;980;3088;3998;3700;2606;1561;987;599;520;373;251;241;150;147;328;258;186;171;208;293;352;415;472;559;538;549;669;900;995;1203;2269;3580;6423;9764;10966;10995;10842;10329;10551;13259;14920;11978;10530;12111;9806;8179;6676;5306;4308;4499;4750;4946;5908;7536;9350;9123;9956;11113;11637;10141;8013;5475;3772;2055;1353;824;441;299;227;290;454;624;821;977;1643;2537;3338;3725;3695;3326;2895;3300;3474;4209;6584;9184;12786;18833;25034;28534;27003;22311;17632;12052;14159;22053;30036;43475;57379
