Altersgruppe;2020_10;2020_11;2020_12;2020_13;2020_14;2020_15;2020_16;2020_17;2020_18;2020_19;2020_20;2020_21;2020_22;2020_23;2020_24;2020_25;2020_26;2020_27;2020_28;2020_29;2020_30;2020_31;2020_32;2020_33;2020_34;2020_35;2020_36;2020_37;2020_38;2020_39;2020_40;2020_41;2020_42;2020_43;2020_44;2020_45;2020_46;2020_47;2020_48;2020_49;2020_50;2020_51;2020_52;2020_53;2021_1;2021_2;2021_3;2021_4;2021_5;2021_6;2021_7;2021_8;2021_9;2021_10;2021_11;2021_12;2021_13;2021_14;2021_15;2021_16;2021_17;2021_18;2021_19;2021_20;2021_21;2021_22;2021_23;2021_24;2021_25;2021_26;2021_27;2021_28;2021_29;2021_30;2021_31;2021_32;2021_33;2021_34;2021_35;2021_36;2021_37;2021_38;2021_39;2021_40;2021_41;2021_42;2021_43;2021_44;2021_45;2021_46;2021_47;2021_48;2021_49;2021_50;2021_51;2021_52;2022_1;2022_2;2022_3;2022_4;2022_5;2022_6;2022_7
Gesamt;899;6431;22386;33967;36048;27129;17325;12350;7432;6232;4758;3600;3207;2351;2344;4187;3158;2688;2421;3033;3932;4833;6062;7952;9597;8833;8613;9758;12290;13066;15928;26118;42060;74870;110998;125727;127800;128389;123140;128359;156295;174694;138920;123088;145481;118908;95547;78170;64587;50816;52416;56347;58377;71337;92593;116276;110095;118254;142058;144743;124795;100970;70809;52691;29887;20684;14050;7275;4844;4375;5581;9102;12628;15507;20416;32069;49639;66359;74701;71680;61457;53613;56484;58006;65352;97729;137039;177891;271377;351794;403360;388354;338220;273620;193942;208658;337999;485882;795139;1104728;1275550;1299459;1166661
90+;1;13;102;424;1170;1244;848;582;284;204;141;103;72;42;46;37;28;24;14;27;17;39;29;25;18;28;24;45;74;94;119;182;437;887;1462;1722;2315;3064;3515;4194;5399;5966;5235;4982;5401;5018;3944;2874;1935;1297;1061;827;610;608;638;662;623;717;792;795;636;541;407;277;160;129;66;44;11;6;17;20;25;56;65;127;138;227;335;350;392;331;325;395;523;889;1160;1651;1897;2332;2633;2400;2300;1863;1174;1090;1423;1627;2907;4245;5916;7501;7999
85 - 89;6;38;218;735;1451;1421;924;681;324;262;179;125;85;51;51;47;33;28;20;25;34;41;38;56;23;33;25;85;101;121;165;307;576;1151;1785;2279;2834;3378;4090;4596;5906;6938;5816;5582;6066;5553;4440;3325;2574;1648;1461;1204;964;938;1112;1264;1195;1072;1201;1177;990;854;619;434;236;158;90;50;41;26;30;41;50;65;85;146;220;333;438;507;519;450;530;590;722;1322;1679;2310;2971;3846;4230;3712;3397;2709;1757;1607;1966;2121;3498;4927;7103;9237;9842
80 - 84;12;84;469;1278;1964;1718;1175;817;452;298;246;154;114;76;61;62;51;49;37;37;51;90;70;81;64;50;60;132;196;212;315;471;857;1839;2837;3434;3797;4360;4768;5445;7073;8253;7406;6862;7667;6679;5329;4192;3140;2289;1995;1775;1549;1637;1792;2130;1896;1957;2219;2023;1594;1366;922;695;384;209;155;63;41;38;46;49;74;110;175;230;296;474;676;823;791;663;903;984;1155;1960;2958;3947;5386;6724;7453;6417;5064;4030;2580;2531;3244;3355;5210;7326;10261;13070;13559
75 - 79;24;113;571;1403;1788;1315;855;587;349;274;174;105;82;58;46;65;58;40;40;44;57;71;55;72;67;69;75;147;180;233;308;503;903;1631;2645;3056;3281;3382;3479;3967;5001;5932;5101;4636;5212;4308;3408;2812;2195;1699;1714;1570;1363;1423;1894;2222;2176;2351;2706;2489;2120;1658;1139;774;408;251;155;58;50;46;45;48;64;100;122;227;287;414;543;594;564;562;713;738;962;1627;2490;3240;4861;6298;7004;6103;4948;3601;2261;2313;2968;3044;4747;6840;8921;10860;11330
70 - 74;11;146;620;1330;1411;1041;631;423;275;207;128;94;80;47;40;57;40;37;56;62;63;89;91;79;97;92;105;151;260;267;351;584;934;1805;2881;3187;3304;3355;3190;3479;4384;5159;4443;4131;4834;3664;3054;2480;2064;1574;1599;1642;1554;1807;2376;2840;2898;3144;3611;3369;2877;2300;1593;1080;583;342;213;114;71;68;59;68;102;168;172;298;392;619;739;817;756;692;856;1022;1159;2009;3166;4511;6470;8731;9506;8674;7168;5109;3389;3517;4577;4830;7236;10339;13582;16289;16618
65 - 69;25;236;885;1647;1687;1115;657;501;265;209;146;122;106;60;51;69;66;62;62;71;84;86;121;110;122;129;127;224;290;305;450;687;1282;2263;3552;4262;4014;4157;4130;4115;5169;6346;5585;4977;5729;4415;3624;3128;2537;1914;2040;2120;1995;2304;3192;3901;3965;4308;4911;4626;3969;3293;2318;1617;770;592;320;134;103;76;93;114;159;241;284;405;591;811;997;1108;1050;984;1097;1389;1574;2596;3904;5490;8276;11034;12653;12094;10175;7552;5042;5280;6848;7539;11510;16181;21010;24498;24365
60 - 64;63;428;1597;2523;2779;1787;1085;672;405;332;239;174;168;107;91;121;106;112;94;110;153;151;204;193;237;244;249;339;489;541;683;1270;2122;3960;5986;6854;6928;7297;7001;7655;9434;11036;9180;8260;9289;7551;6235;5124;4216;3188;3246;3515;3416;4123;5312;6574;6406;6874;7599;7755;6797;5532;3732;2646;1346;850;558;281;155;155;168;235;294;397;477;713;980;1484;1836;1881;1709;1644;1814;2152;2559;4277;6187;8893;12963;17089;20150;19210;16421;12197;8234;8942;11969;14609;22905;32887;41408;47086;46689
55 - 59;76;748;2587;3591;3664;2603;1565;1060;598;509;359;263;237;142;133;193;196;156;116;177;242;288;309;325;431;356;394;554;760;867;1107;1874;3003;5757;8971;10166;10296;10262;9877;10387;13048;14998;12388;11090;12325;10030;8339;7011;5808;4511;4606;4840;4636;5715;7268;9094;8950;9681;10666;11020;9927;7816;5325;3578;1931;1255;795;364;244;231;246;367;545;581;785;1248;1803;2398;2719;2893;2602;2488;2761;3033;3605;5963;8565;12010;17556;23414;27295;25926;21668;16628;11384;13195;19002;23792;36042;50015;61898;68914;67248
50 - 54;133;979;3088;3999;3700;2607;1561;988;599;520;373;251;241;150;147;327;259;186;171;208;293;352;415;472;560;539;549;669;900;995;1203;2268;3580;6425;9761;10966;10996;10840;10331;10551;13257;14922;11976;10532;12115;9807;8180;6673;5308;4310;4501;4751;4950;5908;7540;9351;9122;9953;11113;11638;10140;8012;5474;3770;2055;1353;824;442;300;227;291;454;624;823;977;1643;2537;3338;3725;3695;3327;2895;3300;3474;4210;6584;9181;12784;18833;25031;28529;27005;22313;17642;12051;14163;22074;30068;43634;59792;72435;77807;73628
45 - 49;99;748;2097;2916;2709;1916;1172;786;470;448;331;256;214;161;144;383;269;217;182;233;334;386;457;574;693;607;614;694;877;897;1201;2040;3120;5820;8396;9481;9283;9673;9054;9239;11096;12445;9737;8552;9793;7966;6492;5302;4487;3553;3772;4046;4292;5191;6516;8164;7997;8773;10165;10668;9026;7446;5077;3584;2080;1308;873;471;274;260;333;437;690;911;1179;1953;3104;4117;4630;4542;3787;3339;3501;3813;4336;6604;9041;12133;18105;23477;27116;26227;22150;17273;12092;13164;21165;30881;48039;68472;82630;84834;75837
40 - 44;85;566;1799;2320;2310;1677;1018;699;454;405;357;240;213;175;158;461;266;216;188;253;322;433;489;639;718;661;647;686;843;864;1054;1873;2903;5309;7880;8875;8991;9245;8806;8813;10900;11989;9508;8032;9558;7554;6229;5130;4279;3462;3593;4135;4275;5346;6983;9083;8328;9280;10730;10828;9575;7728;5332;3977;2204;1597;1076;529;357;274;345;509;733;991;1445;2355;3760;5192;5697;5425;4461;3910;4201;4394;5047;7610;10605;13869;21121;27953;33170;32519;27868;22307;15490;16466;24499;35980;62423;94835;113225;113965;99436
35 - 39;67;548;1752;2386;2204;1645;982;761;467;422;351;274;242;156;194;388;296;224;203;253;360;383;513;644;760;716;645;699;906;1008;1152;1826;3099;5389;8080;8952;9189;9192;8719;9142;10986;12227;9523;8084;10149;8011;6344;5202;4469;3593;3713;4179;4578;5765;7584;9461;8981;9479;11268;11276;10017;7966;5622;4224;2415;1693;1102;547;365;339;382;647;908;1167;1599;2446;3773;5270;6005;5805;4820;4250;4544;4725;5351;7647;10575;14175;21173;28120;33609;33359;29343;24085;17270;18610;27275;39194;70579;103730;123003;123176;109115
30 - 34;69;536;2049;2632;2418;1742;1207;901;563;484;394;316;269;207;224;419;324;260;259;302;382;423;517;709;946;859;937;938;1206;1301;1522;2357;3857;6711;9568;10474;10484;10081;9356;9471;11528;13020;10039;9197;11599;9048;7010;5767;4912;3904;4117;4524;4892;6017;7894;9869;9508;10138;12010;11852;10450;8270;5865;4534;2745;1751;1187;633;418;429;583;870;1305;1512;2078;3054;4387;5982;6582;6231;5103;4606;4777;4808;5360;8042;10756;13930;20289;26833;30922;30033;26959;22173;16964;20009;32974;44035;70644;96582;109959;111915;102207
25 - 29;76;549;1995;2689;2483;1934;1285;995;682;522;390;345;314;222;243;399;322;314;229;310;410;511;605;839;1194;1222;1162;1226;1482;1434;1748;2686;4470;7324;10341;11147;10682;9917;8994;9145;10772;12099;9423;8428;10769;8541;6400;5336;4484;3661;3908;4153;4262;5467;7009;8398;8374;9212;10904;10795;9217;7453;5174;3948;2456;1599;1108;621;464;495;790;1329;1735;1954;2404;3598;5034;6323;6294;6070;4898;4117;4250;4293;4922;7240;9381;11966;17200;21501;22995;22199;19446;16336;13772;19184;37608;45516;63068;77832;87846;90260;84256
20 - 24;70;322;1445;2270;2240;1724;1227;958;592;508;419;313;288;227;251;383;254;256;233;302;377;522;747;1159;1543;1329;1246;1284;1515;1586;1735;2790;4388;7567;10410;11725;11021;10201;8936;9175;10788;12091;9070;8585;10891;8541;6440;5247;4380;3665;3949;4201;4403;5423;6902;8554;8506;9797;11549;11269;9621;7828;5589;4180;2413;1736;1203;624;441;554;884;1504;2090;2328;2794;4427;5797;6889;6835;6225;4959;4123;4088;4161;4958;7255;9384;11860;17035;20455;22309;21103;18106;15549;13144;19854;40958;46966;59986;74318;83791;86485;81897
15 - 19;44;182;536;934;1074;859;570;404;264;259;184;153;160;161;112;247;165;138;150;194;247;365;545;739;883;835;769;829;1039;1047;1329;2070;2957;4861;7189;8413;8717;8217;7458;7718;8821;8473;5879;4958;6386;5388;4200;3473;2919;2383;2623;3072;3208;4106;5541;7185;6608;7546;10820;10338;8659;7050;4939;3886;2239;1718;1237;684;445;415;581;1287;1616;1844;2371;3507;5570;6980;7786;6857;5648;4626;4582;4550;4900;6960;9838;11773;18439;21819;25106;24257;20496;16890;12041;14642;30296;46718;63729;85825;98509;98642;84535
10 - 14;19;101;253;380;430;303;234;189;136;126;118;108;121;104;119;192;147;105;102;146;191;253;365;545;576;482;432;497;517;587;713;1141;1653;2742;4085;4784;5355;5307;5190;5155;5694;5288;3386;2657;3334;2720;2236;1889;1730;1412;1576;1879;2314;2873;4183;5733;4847;5180;7656;8738;7175;6127;4567;3757;2165;1582;1323;665;454;314;298;537;783;1005;1491;2610;5364;6926;8418;7742;7323;6294;6668;6519;6855;8989;13438;15536;27362;35219;40341;38432;34027;27995;18371;14335;21519;43587;83808;127768;141895;131921;103791
5 - 9;10;56;169;250;292;236;163;155;120;105;112;80;113;98;123;177;138;121;115;137;152;196;286;410;379;355;319;326;356;391;433;621;975;1843;2794;3369;3634;3926;3830;3695;4277;4326;3031;1945;2401;2201;1908;1649;1609;1394;1552;2005;2731;3680;4766;6698;5200;4700;7001;8419;6880;5572;4118;3420;1877;1529;1147;567;352;244;210;325;480;728;1154;1842;3722;5600;7010;6598;5894;5288;5355;5094;5124;7431;11130;13303;24233;32163;36647;36365;33933;28566;19237;13285;18228;42623;93470;130581;138776;129359;105973
0 - 4;9;35;143;254;270;238;159;186;133;138;116;122;87;107;110;159;136;143;147;141;162;150;188;275;284;223;227;226;290;298;328;523;890;1456;2229;2415;2415;2386;2319;2302;2664;3095;2108;1527;1903;1857;1700;1530;1515;1348;1380;1888;2371;2996;4049;5025;4465;4029;5090;5577;5061;4113;2969;2301;1411;1025;614;382;257;178;180;259;347;522;756;1233;1869;2960;3414;3495;2835;2335;2209;1857;2015;2709;3558;4440;7093;9605;11472;12128;12217;10836;7555;6344;9132;19000;41023;50949;51353;52335;46752
