Altersgruppe;2020_10;2020_11;2020_12;2020_13;2020_14;2020_15;2020_16;2020_17;2020_18;2020_19;2020_20;2020_21;2020_22;2020_23;2020_24;2020_25;2020_26;2020_27;2020_28;2020_29;2020_30;2020_31;2020_32;2020_33;2020_34;2020_35;2020_36;2020_37;2020_38;2020_39;2020_40;2020_41;2020_42;2020_43;2020_44;2020_45;2020_46;2020_47;2020_48;2020_49;2020_50;2020_51;2020_52;2020_53;2021_1;2021_2;2021_3;2021_4;2021_5;2021_6;2021_7;2021_8;2021_9;2021_10;2021_11;2021_12;2021_13;2021_14;2021_15;2021_16;2021_17;2021_18;2021_19;2021_20;2021_21;2021_22;2021_23;2021_24;2021_25;2021_26;2021_27;2021_28;2021_29;2021_30;2021_31;2021_32;2021_33;2021_34;2021_35;2021_36;2021_37;2021_38;2021_39;2021_40;2021_41;2021_42;2021_43;2021_44;2021_45;2021_46;2021_47;2021_48;2021_49;2021_50;2021_51;2021_52;2022_1;2022_2;2022_3;2022_4;2022_5;2022_6;2022_7;2022_8
Gesamt;899;6433;22387;33967;36049;27126;17327;12349;7431;6232;4758;3600;3206;2351;2344;4187;3159;2688;2421;3034;3932;4834;6062;7952;9595;8833;8613;9761;12288;13067;15927;26122;42059;74866;110998;125722;127799;128391;123145;128359;156297;174684;138927;123086;145483;118907;95545;78178;64582;50817;52424;56368;58380;71338;92594;116286;110093;118253;142057;144751;124796;100967;70807;52693;29887;20683;14049;7276;4843;4373;5581;9103;12629;15506;20416;32067;49640;66363;74708;71674;61454;53614;56483;58005;65353;97730;137035;177897;271345;351753;403373;388283;338216;273605;193930;208671;338004;485981;795456;1106776;1286661;1302459;1183822;1080219
90+;1;13;102;424;1170;1244;848;582;284;204;141;103;72;42;46;37;28;24;14;27;17;39;29;25;18;28;24;45;74;94;119;182;437;887;1462;1721;2315;3065;3516;4195;5399;5965;5235;4982;5401;5018;3944;2874;1935;1297;1061;827;610;608;638;662;623;717;792;794;636;541;407;276;160;129;66;44;11;6;17;20;25;56;65;127;138;227;335;350;392;331;325;395;523;889;1160;1651;1897;2332;2634;2401;2300;1862;1174;1090;1422;1626;2900;4241;5975;7494;8071;8326
85 - 89;6;38;218;735;1451;1421;924;681;324;262;179;125;85;51;51;47;33;28;20;25;34;41;38;56;23;33;25;85;101;121;165;307;576;1151;1785;2279;2834;3377;4090;4595;5906;6938;5816;5582;6066;5553;4440;3325;2574;1648;1461;1204;964;938;1112;1264;1195;1072;1201;1177;990;854;619;435;236;158;90;50;41;26;30;41;50;65;85;146;220;333;438;507;519;450;530;590;722;1322;1679;2310;2971;3847;4230;3710;3397;2709;1756;1607;1966;2122;3499;4928;7168;9262;9976;10299
80 - 84;12;84;469;1278;1964;1718;1175;817;452;298;246;154;114;76;61;62;51;49;37;37;51;90;70;81;64;50;60;132;196;212;315;471;857;1839;2837;3434;3797;4360;4769;5445;7071;8253;7407;6862;7667;6679;5329;4193;3140;2289;1995;1775;1549;1637;1792;2132;1896;1957;2219;2023;1594;1366;922;695;384;209;155;63;41;38;46;49;74;110;175;230;296;475;677;823;791;663;903;984;1155;1960;2958;3947;5386;6723;7449;6416;5063;4031;2579;2530;3241;3352;5208;7334;10339;13082;13747;14591
75 - 79;24;113;571;1403;1788;1315;855;587;349;274;174;105;82;58;46;65;58;40;40;44;57;71;55;72;67;69;75;147;180;233;308;503;903;1631;2645;3056;3281;3382;3478;3967;5002;5932;5101;4636;5213;4308;3408;2813;2195;1699;1714;1570;1363;1423;1894;2222;2176;2351;2706;2490;2120;1658;1139;774;408;251;155;58;50;46;45;48;64;100;122;227;287;414;543;594;564;562;713;738;962;1627;2490;3240;4858;6296;7006;6101;4949;3599;2261;2314;2966;3045;4743;6854;8995;10889;11503;12132
70 - 74;11;146;620;1330;1411;1040;631;423;275;207;128;94;80;47;40;57;40;37;56;62;63;89;91;79;97;92;105;151;260;267;351;584;934;1805;2882;3187;3304;3356;3190;3479;4384;5158;4443;4131;4834;3664;3054;2480;2064;1574;1599;1642;1554;1807;2376;2839;2898;3145;3611;3369;2877;2300;1593;1080;583;342;213;114;71;68;59;68;102;168;172;298;392;619;739;817;756;692;856;1022;1159;2009;3166;4511;6470;8729;9503;8674;7168;5107;3389;3517;4577;4827;7233;10362;13707;16322;16893;17320
65 - 69;25;236;885;1647;1687;1115;657;501;265;209;146;122;106;60;51;69;66;62;62;71;84;86;121;110;122;129;127;224;290;305;450;687;1282;2263;3553;4262;4014;4157;4130;4115;5169;6346;5585;4976;5729;4415;3624;3128;2537;1914;2040;2120;1995;2304;3192;3901;3965;4308;4911;4626;3969;3294;2318;1617;770;592;320;134;103;76;93;114;159;241;284;405;591;811;997;1108;1050;984;1097;1389;1574;2596;3904;5489;8276;11035;12652;12087;10175;7554;5042;5281;6847;7537;11517;16207;21215;24530;24719;24965
60 - 64;63;428;1597;2523;2779;1786;1085;672;405;332;239;174;168;107;91;121;106;112;94;110;153;151;204;193;237;244;249;339;489;541;683;1271;2122;3960;5986;6854;6928;7297;7001;7655;9434;11037;9180;8260;9289;7551;6235;5127;4216;3188;3246;3515;3416;4124;5312;6574;6406;6874;7600;7755;6797;5531;3732;2646;1346;850;558;281;155;155;168;235;294;397;477;713;980;1484;1837;1880;1709;1644;1814;2152;2559;4277;6186;8893;12962;17086;20151;19207;16420;12199;8232;8944;11966;14613;22911;32938;41762;47176;47369;46698
55 - 59;76;748;2587;3591;3663;2603;1565;1060;598;509;359;263;237;142;133;193;196;156;116;177;242;288;309;325;431;356;394;554;760;867;1107;1874;3003;5757;8971;10166;10296;10262;9877;10386;13050;14997;12388;11091;12325;10030;8339;7011;5807;4513;4606;4843;4637;5715;7268;9094;8950;9681;10666;11020;9927;7816;5325;3578;1931;1255;795;364;244;231;246;367;545;581;785;1247;1803;2398;2720;2892;2602;2488;2761;3033;3605;5963;8565;12009;17555;23412;27298;25919;21670;16627;11382;13197;19005;23795;36059;50129;62406;69080;68241;66462
50 - 54;133;979;3088;3999;3700;2606;1562;988;598;520;373;251;241;150;147;327;259;186;171;208;293;352;415;472;560;539;549;669;900;995;1203;2268;3580;6426;9760;10967;10996;10840;10331;10551;13256;14922;11975;10533;12114;9807;8179;6675;5309;4308;4501;4754;4950;5908;7540;9351;9123;9953;11113;11638;10140;8011;5473;3770;2055;1353;824;442;300;226;291;455;624;823;977;1643;2537;3338;3726;3695;3327;2895;3300;3474;4210;6584;9182;12786;18830;25024;28528;27003;22316;17642;12051;14160;22078;30060;43643;59903;73101;77992;74760;70757
