Altersgruppe;2020_10;2020_11;2020_12;2020_13;2020_14;2020_15;2020_16;2020_17;2020_18;2020_19;2020_20;2020_21;2020_22;2020_23;2020_24;2020_25;2020_26;2020_27;2020_28;2020_29;2020_30;2020_31;2020_32;2020_33;2020_34;2020_35;2020_36;2020_37;2020_38;2020_39;2020_40;2020_41;2020_42;2020_43;2020_44;2020_45;2020_46;2020_47;2020_48;2020_49;2020_50;2020_51;2020_52;2020_53;2021_1;2021_2;2021_3;2021_4;2021_5;2021_6;2021_7;2021_8;2021_9;2021_10;2021_11;2021_12;2021_13;2021_14;2021_15;2021_16;2021_17;2021_18;2021_19;2021_20;2021_21;2021_22;2021_23;2021_24;2021_25;2021_26;2021_27;2021_28;2021_29;2021_30;2021_31;2021_32;2021_33;2021_34;2021_35;2021_36;2021_37;2021_38;2021_39;2021_40;2021_41;2021_42;2021_43;2021_44;2021_45;2021_46;2021_47;2021_48;2021_49;2021_50;2021_51;2021_52;2022_1;2022_2;2022_3;2022_4;2022_5;2022_6;2022_7;2022_8;2022_9
Gesamt;899;6433;22387;33963;36048;27126;17328;12349;7434;6231;4758;3600;3206;2352;2344;4187;3159;2689;2422;3034;3932;4835;6062;7953;9595;8834;8612;9762;12287;13067;15926;26122;42056;74865;111000;125720;127798;128393;123140;128359;156300;174683;138927;123082;145480;118901;95546;78177;64581;50818;52424;56372;58402;71337;92600;116282;110085;118253;142063;144752;124793;100972;70804;52694;29888;20684;14052;7278;4844;4374;5581;9103;12629;15508;20416;32068;49638;66367;74710;71673;61454;53601;56486;58002;65351;97730;137030;177881;271277;351735;403357;388273;338216;273618;193929;208689;338070;486028;795823;1108984;1287879;1305997;1189499;1089009;1113197
90+;1;13;102;424;1170;1244;848;583;284;204;141;103;72;42;46;37;28;24;14;27;17;39;29;25;18;28;24;45;74;94;119;182;437;887;1462;1721;2315;3065;3515;4195;5400;5965;5235;4980;5403;5018;3943;2875;1935;1297;1061;827;610;608;638;662;623;716;792;794;636;541;407;276;160;129;66;44;11;6;17;20;25;56;65;127;138;227;335;350;392;331;325;395;523;889;1160;1647;1895;2331;2632;2399;2300;1862;1173;1090;1417;1622;2896;4228;5974;7497;8077;8353;7925
85 - 89;6;38;218;735;1452;1420;924;680;324;262;179;125;85;51;51;47;33;28;20;25;34;41;38;56;23;33;25;85;101;121;165;307;576;1151;1785;2280;2833;3377;4090;4595;5906;6939;5815;5582;6065;5553;4440;3326;2575;1648;1461;1204;964;938;1112;1265;1195;1072;1201;1177;990;854;619;435;236;158;90;50;41;26;30;41;50;65;85;146;220;333;438;507;519;449;530;590;722;1322;1679;2311;2970;3847;4230;3710;3397;2709;1755;1609;1966;2123;3499;4933;7174;9272;9979;10342;10399
80 - 84;12;84;469;1277;1965;1718;1175;817;452;298;246;154;114;76;61;62;51;49;37;37;51;90;70;81;64;50;60;132;196;212;315;471;857;1839;2837;3434;3796;4360;4769;5445;7071;8254;7406;6861;7666;6679;5329;4193;3140;2289;1995;1775;1549;1637;1792;2132;1896;1957;2219;2023;1594;1366;922;695;384;209;156;63;41;38;46;49;74;110;175;230;296;475;677;823;791;663;903;984;1155;1960;2958;3948;5383;6723;7448;6416;5063;4031;2580;2530;3240;3352;5208;7345;10351;13113;13777;14689;14729
75 - 79;24;113;571;1403;1788;1315;855;587;349;274;174;105;82;58;46;65;58;40;40;44;57;71;55;72;67;69;75;147;180;233;308;503;903;1631;2645;3056;3282;3382;3479;3966;5001;5932;5101;4636;5213;4308;3409;2813;2195;1699;1714;1570;1363;1423;1894;2222;2176;2351;2706;2490;2120;1658;1139;774;408;251;155;58;50;46;45;48;64;100;122;227;286;414;543;594;564;562;713;738;962;1627;2489;3239;4857;6295;7006;6101;4949;3599;2261;2314;2967;3041;4744;6858;9003;10906;11540;12215;12455
70 - 74;11;146;620;1330;1411;1040;631;423;275;207;128;94;80;47;40;57;40;37;56;62;63;89;91;79;97;92;105;151;260;267;351;584;934;1805;2882;3187;3304;3356;3190;3479;4384;5157;4444;4131;4834;3664;3054;2479;2064;1574;1599;1642;1554;1807;2376;2839;2898;3145;3611;3369;2877;2301;1593;1080;583;342;213;114;71;68;59;68;102;168;172;298;392;619;739;817;756;692;857;1022;1159;2009;3166;4511;6467;8729;9502;8672;7168;5107;3390;3518;4576;4829;7235;10360;13716;16355;16971;17444;18526
65 - 69;25;236;885;1647;1687;1115;657;501;265;209;146;122;106;60;51;69;66;62;62;71;84;86;121;110;122;129;127;224;290;305;450;687;1282;2263;3553;4262;4014;4157;4130;4115;5169;6346;5585;4976;5729;4415;3624;3128;2537;1914;2040;2121;1996;2304;3192;3901;3965;4308;4911;4626;3969;3294;2319;1617;770;592;320;134;103;76;93;114;159;241;284;405;591;811;997;1108;1050;984;1097;1389;1574;2597;3904;5489;8274;11034;12651;12087;10176;7552;5043;5282;6849;7540;11524;16229;21216;24576;24843;25186;26410
60 - 64;63;428;1597;2524;2779;1786;1085;672;405;332;239;174;168;107;91;121;106;112;94;110;153;151;204;193;237;244;249;339;489;541;683;1271;2122;3961;5986;6854;6927;7297;7001;7655;9434;11037;9180;8261;9289;7551;6235;5127;4217;3189;3246;3515;3417;4124;5313;6574;6405;6874;7600;7755;6797;5531;3732;2646;1346;850;558;281;155;155;168;235;294;397;477;713;980;1484;1838;1880;1709;1643;1814;2152;2560;4277;6186;8891;12961;17084;20152;19207;16417;12198;8232;8943;11971;14617;22922;32996;41800;47286;47599;47047;49138
55 - 59;76;748;2587;3591;3663;2603;1565;1060;598;509;359;263;237;142;133;193;196;156;116;177;242;288;309;325;431;356;394;554;760;867;1107;1874;3002;5757;8970;10164;10295;10262;9877;10387;13051;14996;12387;11091;12325;10028;8339;7010;5807;4513;4605;4843;4638;5715;7269;9094;8950;9682;10666;11020;9927;7816;5325;3578;1931;1255;795;364;244;231;246;367;546;581;786;1247;1803;2398;2720;2892;2602;2488;2761;3033;3605;5963;8565;12009;17552;23410;27301;25916;21671;16626;11381;13196;19012;23795;36070;50208;62459;69226;68552;67036;70632
50 - 54;133;979;3087;3999;3700;2606;1562;988;599;520;373;251;241;150;147;327;259;186;171;208;293;352;415;472;560;539;549;669;900;995;1203;2268;3580;6425;9761;10968;10995;10840;10330;10551;13256;14921;11974;10534;12112;9807;8178;6675;5309;4308;4502;4754;4951;5906;7541;9350;9123;9953;11113;11638;10140;8013;5473;3771;2055;1353;824;443;300;226;291;455;624;823;977;1643;2537;3338;3726;3695;3328;2892;3300;3475;4210;6584;9181;12785;18822;25025;28527;27004;22315;17647;12052;14163;22077;30062;43661;59994;73170;78190;75060;71345;75806
45 - 49;99;750;2097;2915;2708;1917;1173;786;470;448;331;256;214;161;144;383;269;217;182;233;334;386;457;574;694;607;614;695;877;897;1201;2043;3119;5819;8396;9480;9283;9672;9053;9241;11096;12444;9739;8552;9792;7966;6493;5301;4487;3551;3773;4051;4293;5192;6515;8164;7995;8773;10166;10665;9025;7447;5077;3584;2081;1308;874;471;274;261;333;437;690;911;1179;1953;3104;4119;4630;4542;3786;3338;3501;3812;4336;6604;9041;12133;18098;23475;27117;26221;22149;17272;12094;13163;21173;30871;48082;68743;83512;85223;77369;70106;70966
40 - 44;85;566;1799;2320;2310;1677;1018;699;454;405;357;240;213;175;158;461;266;216;188;253;321;433;489;639;718;661;647;686;843;864;1054;1872;2903;5308;7880;8874;8991;9248;8806;8813;10900;11990;9509;8032;9556;7554;6230;5128;4276;3465;3592;4135;4277;5346;6983;9085;8330;9280;10730;10830;9576;7729;5332;3977;2204;1598;1076;529;357;274;345;509;733;990;1445;2355;3761;5191;5697;5425;4461;3910;4201;4394;5045;7610;10605;13863;21114;27944;33175;32511;27863;22309;15490;16465;24518;35991;62472;95239;114203;114564;101378;90554;88540
35 - 39;67;548;1752;2386;2204;1644;982;761;467;422;351;274;242;156;194;388;296;224;204;254;361;384;513;644;759;716;645;699;906;1008;1152;1827;3099;5386;8080;8949;9188;9192;8718;9143;10984;12225;9522;8083;10153;8011;6343;5205;4467;3593;3715;4182;4582;5763;7583;9463;8980;9479;11270;11278;10015;7967;5622;4223;2415;1693;1102;547;365;339;382;647;908;1167;1599;2447;3773;5270;6005;5807;4821;4248;4545;4725;5351;7647;10574;14175;21169;28113;33616;33350;29343;24081;17268;18612;27279;39210;70649;104119;124230;123803;111156;100736;99395
30 - 34;69;536;2050;2631;2418;1743;1206;901;564;485;394;316;269;207;224;419;323;260;259;302;382;423;517;709;946;859;937;939;1206;1301;1522;2357;3857;6711;9568;10475;10485;10080;9356;9470;11528;13017;10038;9197;11596;9048;7010;5767;4912;3907;4120;4525;4894;6018;7895;9870;9508;10137;12011;11851;10451;8270;5865;4536;2745;1751;1186;633;417;429;583;870;1305;1512;2077;3055;4384;5984;6584;6227;5102;4602;4777;4808;5360;8041;10754;13928;20281;26833;30914;30027;26956;22172;16958;20012;32979;44060;70695;96961;111004;112476;104076;96077;101217
25 - 29;76;549;1996;2689;2481;1934;1286;995;681;522;390;345;314;222;243;399;322;315;229;310;410;512;605;840;1193;1222;1162;1226;1480;1434;1748;2685;4470;7324;10342;11146;10682;9917;8991;9143;10771;12094;9424;8428;10770;8540;6399;5336;4485;3659;3910;4154;4267;5467;7009;8399;8371;9211;10903;10798;9219;7453;5170;3947;2456;1599;1108;621;464;495;790;1329;1734;1954;2404;3598;5033;6327;6296;6070;4898;4116;4250;4292;4921;7240;9380;11966;17189;21496;22998;22194;19442;16334;13773;19186;37621;45541;63123;78159;88797;90739;86060;80131;92505
20 - 24;70;322;1445;2270;2240;1724;1227;957;593;506;419;313;288;227;251;383;254;256;233;302;377;522;747;1159;1543;1330;1246;1285;1515;1587;1735;2791;4386;7567;10411;11724;11020;10203;8937;9177;10791;12089;9074;8583;10888;8539;6440;5246;4377;3665;3950;4202;4404;5422;6902;8553;8506;9796;11548;11272;9619;7826;5590;4181;2412;1736;1204;624;441;554;884;1504;2090;2329;2794;4425;5799;6889;6835;6225;4959;4126;4089;4160;4957;7255;9385;11864;17024;20454;22307;21101;18106;15546;13147;19862;40975;46976;60040;74586;84653;86987;83667;78029;93582
15 - 19;44;182;537;933;1076;859;571;404;264;259;184;153;160;161;112;247;166;138;150;194;247;365;545;739;882;836;769;829;1038;1047;1329;2070;2957;4862;7189;8413;8720;8218;7459;7716;8822;8473;5879;4956;6388;5388;4201;3474;2919;2380;2623;3074;3208;4106;5542;7186;6607;7545;10819;10337;8658;7050;4939;3887;2240;1717;1237;684;445;415;581;1287;1617;1845;2371;3508;5571;6980;7787;6854;5647;4625;4580;4550;4902;6959;9836;11774;18439;21817;25104;24256;20491;16892;12041;14650;30295;46737;63786;86231;99511;99247;86282;74759;79350
10 - 14;19;101;253;380;430;303;234;189;136;126;118;108;121;104;119;192;147;105;102;146;191;253;365;545;576;482;431;498;516;587;713;1141;1653;2741;4084;4783;5353;5306;5192;5154;5695;5288;3386;2657;3335;2720;2236;1888;1730;1414;1577;1881;2315;2872;4184;5733;4845;5181;7656;8737;7175;6126;4565;3757;2165;1582;1323;666;454;313;298;537;783;1005;1491;2610;5364;6926;8417;7742;7323;6292;6669;6518;6855;8991;13437;15533;27352;35215;40340;38421;34033;28000;18368;14337;21518;43608;83934;128345;143269;132645;105879;86398;74558
5 - 9;10;56;169;249;292;236;163;155;121;105;112;80;112;99;123;177;138;121;115;137;152;196;286;410;379;355;319;326;357;391;433;621;975;1842;2794;3369;3635;3926;3831;3695;4278;4330;3036;1944;2403;2199;1907;1649;1608;1394;1552;2008;2732;3681;4768;6697;5199;4700;7001;8424;6879;5572;4118;3420;1877;1529;1147;568;353;245;210;325;480;728;1154;1842;3722;5599;7010;6598;5891;5289;5355;5093;5124;7432;11130;13306;24224;32164;36652;36365;33931;28569;19238;13289;18235;42652;93578;131069;140051;130079;108219;92091;81915
0 - 4;9;35;142;254;270;238;159;186;133;138;116;122;87;107;110;159;137;143;147;141;162;150;188;275;284;222;227;226;290;298;326;523;890;1456;2229;2416;2416;2386;2319;2304;2665;3095;2107;1528;1904;1857;1701;1531;1515;1348;1380;1888;2374;2998;4050;5025;4463;4030;5093;5577;5062;4113;2969;2301;1411;1025;614;382;257;177;180;259;347;522;756;1232;1869;2961;3414;3495;2836;2335;2209;1857;2015;2708;3558;4440;7092;9601;11471;12125;12225;10833;7552;6346;9132;19020;41053;51180;51791;52594;47724;45352;42909
