Altersgruppe;2020_10;2020_11;2020_12;2020_13;2020_14;2020_15;2020_16;2020_17;2020_18;2020_19;2020_20;2020_21;2020_22;2020_23;2020_24;2020_25;2020_26;2020_27;2020_28;2020_29;2020_30;2020_31;2020_32;2020_33;2020_34;2020_35;2020_36;2020_37;2020_38;2020_39;2020_40;2020_41;2020_42;2020_43;2020_44;2020_45;2020_46;2020_47;2020_48;2020_49;2020_50;2020_51;2020_52;2020_53;2021_1;2021_2;2021_3;2021_4;2021_5;2021_6;2021_7;2021_8;2021_9;2021_10;2021_11;2021_12;2021_13;2021_14;2021_15;2021_16;2021_17;2021_18;2021_19;2021_20;2021_21;2021_22;2021_23;2021_24;2021_25;2021_26;2021_27;2021_28;2021_29;2021_30;2021_31;2021_32;2021_33;2021_34;2021_35;2021_36;2021_37;2021_38;2021_39;2021_40;2021_41;2021_42;2021_43;2021_44;2021_45;2021_46;2021_47;2021_48;2021_49;2021_50;2021_51;2021_52;2022_1;2022_2;2022_3;2022_4;2022_5;2022_6;2022_7;2022_8;2022_9;2022_10
Gesamt;901;6432;22388;33962;36047;27126;17328;12349;7433;6231;4759;3600;3206;2352;2344;4190;3162;2689;2421;3034;3933;4836;6064;7954;9595;8834;8613;9761;12288;13067;15927;26120;42056;74867;111002;125722;127803;128395;123140;128362;156299;174686;138927;123080;145487;118900;95547;78177;64582;50817;52428;56375;58418;71365;92622;116294;110103;118264;142079;144777;124804;100984;70810;52698;29894;20685;14055;7278;4844;4376;5580;9104;12636;15511;20417;32070;49645;66382;74742;71675;61468;53609;56491;58002;65352;97729;137033;177883;271298;351730;403343;388288;338207;273618;193939;208739;338137;486064;796065;1110168;1289190;1306711;1190075;1089658;1122851;1373052
90+;1;13;102;424;1170;1244;848;583;284;204;141;103;72;42;46;37;28;24;14;27;17;39;29;25;18;28;24;45;74;94;119;182;437;887;1462;1721;2315;3065;3515;4195;5402;5966;5235;4980;5405;5019;3943;2875;1935;1297;1061;826;611;608;638;662;623;716;792;794;636;541;407;276;160;129;66;44;11;6;17;20;25;56;65;127;138;227;335;351;392;331;325;395;521;889;1160;1647;1895;2332;2632;2399;2299;1862;1174;1089;1416;1620;2891;4220;5973;7479;8050;8330;7946;9130
85 - 89;6;38;218;735;1452;1420;924;680;324;262;179;125;85;51;51;47;33;28;20;25;34;41;38;56;23;33;25;85;101;121;165;307;576;1151;1785;2280;2833;3377;4090;4595;5906;6939;5815;5583;6065;5553;4441;3326;2575;1648;1461;1204;964;938;1113;1265;1195;1072;1201;1177;990;854;619;435;236;158;90;50;41;26;30;41;50;65;85;146;221;333;438;506;519;449;530;590;722;1322;1679;2311;2970;3847;4230;3710;3397;2709;1756;1609;1966;2125;3496;4935;7179;9267;9976;10338;10473;12335
80 - 84;12;84;469;1277;1965;1718;1175;817;452;298;246;154;114;76;61;62;51;49;37;37;51;90;70;81;64;50;60;132;196;212;315;471;857;1839;2836;3434;3796;4360;4769;5445;7071;8254;7406;6861;7667;6679;5329;4193;3140;2289;1995;1775;1549;1637;1792;2132;1896;1956;2219;2024;1593;1366;922;695;384;209;156;63;41;38;46;49;74;110;175;230;296;476;677;823;792;663;903;984;1155;1960;2959;3948;5384;6723;7448;6416;5062;4031;2580;2531;3239;3351;5213;7350;10350;13123;13767;14688;14863;19179
75 - 79;24;113;571;1403;1788;1315;855;587;349;274;174;105;82;58;46;65;58;40;40;44;57;71;55;72;67;69;75;147;180;233;308;503;903;1631;2645;3055;3282;3382;3479;3966;5000;5932;5100;4636;5213;4309;3409;2813;2196;1699;1714;1570;1363;1423;1894;2222;2176;2352;2706;2490;2120;1659;1139;774;408;251;155;58;50;46;45;48;64;100;122;227;286;414;543;594;564;562;713;738;962;1627;2489;3240;4859;6295;7006;6101;4949;3599;2262;2315;2968;3042;4740;6863;9004;10907;11543;12215;12569;16919
70 - 74;11;146;620;1330;1411;1040;631;423;275;207;128;94;80;47;40;57;41;37;56;62;63;89;91;79;97;92;105;151;260;267;351;584;934;1805;2882;3187;3304;3356;3190;3479;4384;5157;4444;4131;4834;3664;3054;2480;2063;1574;1599;1642;1556;1807;2376;2839;2899;3144;3611;3369;2877;2301;1593;1080;583;342;213;114;71;68;59;68;102;168;172;298;392;619;740;817;756;692;857;1022;1160;2009;3166;4511;6467;8729;9502;8671;7169;5106;3390;3516;4579;4832;7236;10371;13721;16372;16978;17436;18729;25055
65 - 69;25;236;885;1646;1687;1115;657;501;265;209;146;122;106;60;51;69;66;62;62;71;84;86;121;110;122;129;127;224;290;304;450;688;1282;2263;3553;4263;4015;4157;4130;4115;5169;6347;5585;4976;5729;4416;3625;3128;2537;1913;2040;2121;1996;2305;3192;3901;3965;4309;4911;4626;3969;3294;2320;1617;770;592;321;134;103;76;93;114;160;240;284;405;591;811;997;1107;1050;985;1097;1389;1574;2597;3904;5489;8274;11034;12651;12086;10175;7552;5045;5284;6849;7539;11521;16237;21229;24603;24847;25197;26669;34818
60 - 64;63;428;1597;2524;2780;1786;1085;672;405;332;239;174;168;107;91;121;106;112;94;110;153;151;204;193;237;244;249;340;489;541;683;1270;2122;3962;5985;6855;6927;7297;7001;7655;9434;11037;9180;8261;9289;7551;6236;5127;4217;3189;3246;3515;3417;4124;5313;6575;6405;6874;7600;7755;6799;5531;3732;2645;1346;850;558;281;155;155;168;235;294;398;477;713;980;1484;1838;1879;1710;1643;1814;2152;2560;4277;6187;8892;12962;17082;20150;19208;16417;12200;8231;8943;11973;14623;22934;33018;41836;47337;47606;47091;49575;63782
55 - 59;76;748;2587;3591;3663;2603;1565;1060;598;509;359;263;237;142;133;194;197;156;116;177;242;288;309;325;431;356;394;553;760;867;1108;1874;3003;5758;8972;10164;10298;10262;9874;10388;13050;14995;12387;11091;12325;10029;8338;7010;5808;4512;4603;4843;4638;5718;7271;9094;8950;9682;10666;11020;9925;7816;5325;3579;1930;1255;795;363;244;231;245;368;546;581;788;1245;1803;2398;2723;2892;2602;2488;2761;3032;3605;5963;8565;12009;17551;23410;27301;25919;21671;16628;11382;13197;19020;23792;36080;50246;62515;69258;68597;67082;71208;91379
50 - 54;134;978;3088;3999;3698;2605;1562;988;598;520;373;251;241;150;147;327;259;186;171;208;293;352;415;472;560;539;549;669;900;995;1203;2268;3579;6424;9761;10968;10994;10841;10330;10552;13258;14922;11973;10532;12112;9807;8180;6675;5310;4308;4502;4754;4953;5908;7543;9351;9124;9956;11114;11639;10143;8012;5475;3770;2055;1353;824;443;300;226;292;455;624;824;977;1643;2538;3339;3726;3694;3330;2892;3300;3475;4210;6585;9182;12784;18826;25025;28524;27004;22317;17647;12053;14167;22083;30058;43672;60053;73205;78243;75108;71413;76542;97216
