Altersgruppe;2020_10;2020_11;2020_12;2020_13;2020_14;2020_15;2020_16;2020_17;2020_18;2020_19;2020_20;2020_21;2020_22;2020_23;2020_24;2020_25;2020_26;2020_27;2020_28;2020_29;2020_30;2020_31;2020_32;2020_33;2020_34;2020_35;2020_36;2020_37;2020_38;2020_39;2020_40;2020_41;2020_42;2020_43;2020_44;2020_45;2020_46;2020_47;2020_48;2020_49;2020_50;2020_51;2020_52;2020_53;2021_1;2021_2;2021_3;2021_4;2021_5;2021_6;2021_7;2021_8;2021_9;2021_10;2021_11;2021_12;2021_13;2021_14;2021_15;2021_16;2021_17;2021_18;2021_19;2021_20;2021_21;2021_22;2021_23;2021_24;2021_25;2021_26;2021_27;2021_28;2021_29;2021_30;2021_31;2021_32;2021_33;2021_34;2021_35;2021_36;2021_37;2021_38;2021_39;2021_40;2021_41;2021_42;2021_43;2021_44;2021_45;2021_46;2021_47;2021_48;2021_49;2021_50;2021_51;2021_52;2022_1;2022_2;2022_3;2022_4;2022_5;2022_6;2022_7;2022_8;2022_9;2022_10;2022_11
Gesamt;901;6432;22389;33961;36047;27125;17330;12349;7434;6231;4760;3601;3206;2352;2344;4185;3163;2689;2421;3040;3933;4836;6063;7956;9595;8834;8614;9762;12290;13069;15928;26122;42057;74867;111000;125718;127810;128395;123143;128364;156306;174685;138928;123078;145491;118905;95545;78177;64585;50814;52428;56383;58427;71381;92640;116305;110107;118255;142081;144786;124807;100984;70810;52700;29897;20691;14055;7278;4845;4377;5582;9107;12637;15511;20418;32070;49644;66380;74744;71674;61472;53607;56490;58004;65354;97729;137031;177881;271302;351725;403327;388278;338199;273610;193943;208754;338133;486069;796101;1110543;1289467;1306768;1190319;1090173;1124016;1393135;1528376
90+;1;13;102;424;1170;1244;848;583;284;204;141;103;72;42;46;37;28;24;14;27;17;39;29;25;18;28;24;45;74;94;119;182;437;887;1462;1722;2315;3064;3515;4195;5402;5966;5235;4980;5405;5018;3943;2875;1935;1297;1061;827;611;608;638;662;623;716;792;794;636;540;407;276;160;129;66;44;11;6;17;20;25;56;65;127;138;228;335;351;392;331;325;395;521;889;1160;1647;1895;2331;2632;2399;2299;1862;1174;1089;1414;1619;2888;4214;5973;7475;8045;8334;7945;9254;10093
85 - 89;6;38;218;735;1452;1420;924;680;324;262;179;125;85;51;51;47;33;28;20;25;34;41;38;56;23;33;25;85;101;121;165;307;576;1151;1785;2280;2833;3378;4090;4595;5906;6939;5815;5583;6065;5553;4441;3326;2575;1648;1462;1204;963;938;1113;1265;1195;1072;1201;1177;990;854;619;435;236;158;90;50;41;26;30;41;50;65;85;146;221;333;438;506;519;449;530;590;722;1322;1679;2311;2970;3847;4231;3710;3397;2709;1756;1609;1966;2125;3496;4943;7180;9263;9969;10346;10480;12490;14506
80 - 84;12;84;469;1277;1965;1718;1175;817;452;298;246;154;114;76;61;62;51;49;37;37;51;90;70;81;64;50;60;132;196;212;315;471;857;1839;2836;3434;3796;4360;4769;5446;7071;8255;7406;6861;7667;6678;5329;4193;3140;2289;1995;1774;1549;1637;1792;2132;1896;1956;2219;2024;1593;1366;922;695;384;209;156;63;41;38;46;49;74;110;175;230;296;476;677;823;792;663;903;984;1155;1960;2959;3948;5384;6724;7448;6416;5062;4031;2581;2532;3238;3351;5216;7357;10353;13129;13760;14692;14870;19460;23644
75 - 79;24;113;571;1403;1788;1315;855;587;349;274;174;105;82;58;46;65;58;40;40;44;57;71;55;72;67;69;75;147;180;233;308;503;903;1631;2646;3055;3282;3382;3479;3966;4999;5932;5100;4636;5213;4311;3409;2813;2196;1699;1714;1571;1363;1423;1894;2222;2176;2352;2706;2490;2120;1659;1139;774;408;251;155;58;50;46;45;48;64;100;122;227;286;414;543;594;564;562;713;738;962;1627;2489;3241;4859;6295;7005;6101;4949;3599;2262;2315;2968;3042;4740;6861;9002;10907;11542;12216;12584;17217;21596
70 - 74;11;146;620;1330;1411;1040;631;423;275;207;128;94;80;47;40;57;41;37;56;62;63;89;91;79;97;92;105;151;260;267;351;584;934;1805;2882;3187;3304;3356;3190;3479;4384;5157;4444;4130;4835;3665;3054;2480;2063;1575;1599;1642;1556;1806;2376;2840;2899;3144;3611;3369;2877;2301;1593;1080;583;342;213;114;71;68;59;68;102;168;172;298;392;619;740;817;756;692;857;1022;1160;2009;3166;4511;6469;8729;9503;8671;7169;5107;3390;3516;4579;4833;7236;10372;13727;16377;16978;17429;18747;25500;31381
65 - 69;25;236;885;1646;1687;1115;657;501;265;209;146;122;106;60;51;69;66;62;62;72;84;86;121;110;122;129;127;224;290;304;450;689;1282;2263;3553;4263;4015;4157;4130;4115;5168;6347;5584;4976;5729;4416;3625;3128;2537;1912;2040;2122;1996;2305;3192;3901;3965;4308;4911;4626;3969;3294;2320;1617;770;592;321;134;103;76;93;114;160;240;284;405;591;810;997;1107;1050;985;1097;1389;1574;2597;3904;5489;8274;11034;12651;12086;10175;7552;5045;5284;6849;7539;11521;16245;21230;24606;24859;25195;26717;35398;43002
60 - 64;63;429;1597;2523;2780;1786;1085;672;405;332;239;174;168;107;91;121;106;112;94;110;153;151;204;193;237;244;249;340;489;542;683;1270;2121;3962;5985;6855;6928;7297;7001;7655;9434;11036;9180;8261;9288;7551;6236;5126;4217;3189;3246;3516;3418;4125;5313;6576;6405;6875;7601;7755;6799;5531;3732;2646;1346;850;558;281;155;155;168;235;294;398;477;713;980;1484;1838;1879;1710;1643;1814;2152;2560;4276;6187;8892;12961;17083;20148;19208;16416;12200;8231;8943;11974;14621;22935;33024;41846;47338;47616;47120;49636;64775;77208
55 - 59;76;748;2587;3592;3663;2601;1565;1060;598;509;359;263;237;142;133;194;197;156;116;178;242;288;309;325;432;356;394;553;760;867;1108;1874;3003;5759;8972;10163;10298;10262;9874;10389;13050;14995;12389;11090;12327;10029;8338;7010;5808;4512;4603;4843;4641;5717;7272;9094;8951;9681;10666;11020;9925;7816;5325;3579;1930;1255;795;363;244;231;245;368;546;581;788;1245;1803;2398;2723;2892;2602;2488;2762;3032;3605;5963;8565;12009;17553;23409;27298;25918;21672;16626;11383;13199;19019;23789;36079;50265;62533;69251;68622;67130;71289;92851;110193
50 - 54;134;977;3089;3999;3698;2606;1562;988;598;520;374;251;241;150;147;325;260;186;171;208;293;352;415;473;559;539;550;669;900;995;1203;2268;3580;6425;9760;10969;10995;10840;10330;10553;13258;14922;11972;10533;12113;9805;8181;6674;5310;4308;4502;4753;4954;5908;7543;9351;9123;9956;11114;11642;10144;8012;5474;3770;2055;1354;824;443;300;226;292;455;624;824;978;1643;2538;3339;3726;3694;3330;2892;3300;3475;4210;6584;9182;12783;18827;25023;28524;27006;22318;17647;12054;14167;22083;30052;43671;60079;73217;78240;75112;71447;76634;98759;114092
45 - 49;99;750;2097;2914;2708;1917;1173;787;470;448;332;257;215;161;144;382;269;217;182;234;334;386;457;574;693;607;614;694;877;897;1201;2043;3119;5817;8398;9479;9283;9671;9053;9242;11096;12444;9741;8550;9793;7966;6494;5301;4488;3550;3773;4052;4294;5195;6516;8164;8001;8773;10167;10667;9024;7449;5077;3583;2082;1308;874;471;274;261;334;437;690;911;1180;1953;3104;4119;4631;4541;3788;3339;3500;3813;4336;6603;9040;12133;18099;23475;27114;26222;22143;17273;12097;13168;21174;30881;48091;68840;83627;85266;77416;70195;71703;88707;100028
40 - 44;85;566;1798;2321;2310;1677;1019;698;454;405;357;240;213;175;158;460;266;216;188;253;321;433;489;640;719;661;647;687;844;865;1054;1872;2904;5309;7879;8874;8992;9248;8806;8812;10903;11991;9509;8032;9557;7555;6230;5129;4276;3465;3592;4135;4280;5347;6988;9087;8333;9281;10734;10834;9575;7731;5333;3977;2207;1598;1077;529;358;274;345;509;733;991;1444;2356;3760;5194;5698;5427;4462;3911;4203;4394;5046;7611;10604;13864;21117;27945;33174;32518;27860;22309;15486;16470;24519;35996;62505;95376;114315;114639;101486;90639;89377;106491;117307
35 - 39;67;548;1752;2386;2204;1644;983;761;469;422;351;274;241;156;194;389;296;224;203;255;361;385;513;644;758;716;645;699;907;1008;1153;1827;3099;5386;8081;8951;9188;9193;8717;9145;10983;12225;9523;8083;10154;8013;6342;5205;4466;3595;3714;4181;4583;5769;7586;9466;8980;9479;11270;11281;10017;7969;5623;4223;2415;1693;1102;547;365;340;382;647;908;1167;1600;2446;3772;5273;6006;5809;4822;4248;4547;4725;5352;7647;10575;14177;21173;28117;33615;33352;29344;24080;17274;18615;27280;39215;70656;104245;124377;123834;111242;100805;100351;114887;125240
30 - 34;69;536;2051;2631;2418;1744;1206;901;564;485;394;316;269;207;224;420;323;260;259;302;382;423;517;709;946;859;937;939;1206;1301;1522;2357;3857;6712;9568;10474;10485;10081;9355;9469;11529;13016;10038;9196;11596;9050;7010;5767;4913;3907;4123;4527;4895;6024;7896;9873;9507;10134;12013;11855;10450;8270;5865;4535;2746;1752;1187;633;417;429;582;870;1307;1512;2077;3055;4383;5985;6589;6228;5105;4602;4777;4809;5359;8041;10753;13929;20284;26835;30912;30032;26958;22173;16959;20021;32984;44072;70717;97042;111128;112554;104168;96196;102158;119430;129143
25 - 29;76;549;1996;2689;2481;1934;1286;994;681;522;390;345;314;222;243;399;322;314;229;310;410;512;605;840;1194;1222;1162;1227;1481;1435;1748;2685;4471;7324;10340;11145;10682;9916;8991;9143;10771;12094;9423;8428;10769;8541;6398;5336;4485;3657;3910;4155;4268;5470;7012;8400;8372;9212;10904;10799;9220;7455;5169;3947;2455;1601;1108;621;464;496;790;1330;1734;1954;2405;3599;5032;6326;6302;6069;4900;4116;4250;4293;4920;7239;9379;11965;17189;21494;22997;22194;19441;16334;13776;19199;37626;45541;63136;78267;88916;90766;86125;80245;93429;112212;119150
20 - 24;70;321;1445;2270;2240;1724;1227;958;592;506;419;313;288;227;251;382;254;256;233;302;378;522;748;1159;1543;1330;1247;1284;1515;1587;1735;2790;4386;7566;10412;11722;11021;10204;8938;9176;10792;12091;9071;8584;10890;8539;6439;5247;4377;3666;3950;4202;4405;5421;6905;8554;8509;9795;11548;11272;9621;7826;5592;4181;2413;1737;1204;624;441;554;884;1504;2091;2329;2792;4428;5801;6893;6837;6224;4958;4128;4088;4160;4958;7254;9384;11864;17023;20455;22309;21101;18108;15542;13151;19869;40980;46987;60077;74697;84764;87035;83718;78137;94465;119667;120563
15 - 19;45;182;537;933;1076;859;571;404;263;259;184;153;160;161;112;247;166;138;150;194;247;365;545;739;882;835;769;829;1038;1047;1328;2069;2957;4862;7188;8412;8724;8217;7466;7719;8823;8475;5880;4955;6388;5388;4201;3474;2920;2379;2626;3075;3209;4108;5550;7185;6606;7545;10823;10343;8662;7051;4939;3892;2243;1717;1237;684;445;416;581;1287;1619;1846;2370;3508;5575;6981;7790;6853;5650;4625;4580;4549;4903;6960;9837;11773;18443;21816;25103;24260;20491;16894;12046;14653;30311;46737;63830;86361;99677;99342;86361;74875;80299;112630;111926
10 - 14;19;102;253;380;430;303;234;189;137;126;118;108;121;104;119;192;147;105;102;146;191;253;365;545;576;483;431;498;516;587;714;1142;1653;2740;4084;4783;5353;5307;5194;5153;5697;5287;3386;2657;3336;2720;2236;1888;1731;1413;1577;1882;2316;2875;4187;5735;4848;5183;7661;8742;7177;6130;4566;3759;2166;1584;1323;666;455;312;299;538;784;1005;1491;2610;5365;6926;8424;7743;7325;6295;6670;6519;6855;8992;13438;15533;27353;35217;40335;38419;34040;27998;18367;14346;21525;43621;83977;128610;143495;132768;105993;86486;75332;98168;109712
5 - 9;10;56;169;249;292;236;163;155;121;105;112;80;112;99;123;177;139;121;115;139;152;196;286;411;379;355;319;326;357;391;433;621;975;1843;2793;3369;3636;3927;3830;3694;4276;4328;3039;1945;2404;2200;1908;1649;1608;1395;1552;2010;2735;3688;4776;6703;5201;4700;7001;8426;6880;5572;4119;3420;1877;1529;1147;569;352;245;210;326;480;728;1154;1842;3723;5599;7014;6600;5892;5288;5355;5094;5125;7432;11131;13309;24226;32160;36656;36364;33933;28572;19240;13291;18243;42658;93610;131282;140278;130160;108308;92229;82757;95935;98978
