Vollständig geimpfte und ungeimpfte hospitalisierte COVID-19-Fälle pro 100.000 Geimpfte/Ungeimpfte, nach Altersgruppe ;;;;;;
;;;;;;
;;;;;;
Meldewoche;Ungeimpfte 12-17 Jahre;Vollständig Geimpfte  12-17 Jahre;Ungeimpfte 18-59 Jahre;Vollständig Geimpfte  18-59 Jahre;Ungeimpfte 60+ Jahre;Vollständig Geimpfte 60+ Jahre
28;--;--;0.9;0.1;1.1;0.3
29;--;--;1.3;0.1;1.8;0.3
30;--;--;1.8;0.2;2.9;0.4
31;--;--;2.6;0.3;3.7;0.5
32;0.9;0.0;4.5;0.3;5.5;0.9
33;1.5;0.2;6.6;0.5;8.0;1.2
34;1.6;0.2;9.5;0.5;11.4;1.6
35;1.6;0.0;8.8;0.6;13.2;2.0
36;1.8;0.1;8.0;0.6;15.0;2.1
37;1.4;0.1;6.8;0.5;13.6;1.9
38;1.0;0.2;5.5;0.5;12.9;2.0
39;1.1;0.0;5.4;0.6;13.2;2.4
40;0.9;0.1;5.1;0.6;14.6;2.8
41;1.5;0.1;5.9;0.7;17.2;3.4
42;1.5;0.2;7.6;1.0;27.0;5.3
43;2.0;0.2;9.0;1.2;30.5;6.8
44;1.9;0.1;9.0;1.2;35.0;7.2
45;2.2;0.4;10.7;1.5;42.7;8.1
46;3.0;0.6;10.8;1.7;44.9;7.9
47;2.8;0.4;9.2;1.4;41.4;6.7
