Vollständig geimpfte und ungeimpfte symptomatische COVID-19-Fälle pro 100.000 Geimpfte/Ungeimpfte, nach Altersgruppe ;Hospitalisierte COVID-19-Fälle pro 100.000, nach Impfstatus und Altersgruppe ;;;;;;;;
;;;;;;;;;
;;;;;;;;;
Meldejahr;Meldewoche;Ungeimpfte 12-17 Jahre;Grundimmunisierte  12-17 Jahre;Ungeimpfte 18-59 Jahre;Grundimmunisierte  18-59 Jahre;Mit Auffrischimpfung 18-59 Jahre;Ungeimpfte 60+ Jahre;Grundimmunisierte 60+ Jahre;Mit Auffrischimpfung 60+ Jahre
2021;28;--;--;0.9;0.1;--;1.1;0.3;--
2021;29;--;--;1.3;0.1;--;1.8;0.3;--
2021;30;--;--;1.8;0.2;--;2.9;0.4;--
2021;31;--;--;2.6;0.3;--;3.8;0.5;--
2021;32;0.9;0.0;4.5;0.3;--;5.6;0.9;--
2021;33;1.5;0.2;6.6;0.5;--;8.0;1.2;--
2021;34;1.6;0.2;9.5;0.5;--;11.4;1.6;--
2021;35;1.6;0.0;8.8;0.6;--;13.3;2.0;--
2021;36;1.8;0.1;8.0;0.6;--;15.1;2.1;--
2021;37;1.4;0.1;6.8;0.5;--;13.6;2.0;--
2021;38;1.0;0.2;5.5;0.5;--;12.9;2.0;--
2021;39;1.1;0.0;5.5;0.6;--;13.2;2.4;--
2021;40;0.9;0.1;5.1;0.6;--;14.7;3.0;--
2021;41;1.5;0.1;5.9;0.7;--;17.4;3.5;--
2021;42;1.5;0.2;7.7;1.0;1.4;27.4;5.6;4.0
2021;43;1.9;0.2;9.1;1.2;2.0;31.2;7.2;5.1
2021;44;2.0;0.2;9.4;1.3;1.8;36.5;8.1;5.2
2021;45;2.4;0.4;11.2;1.5;0.7;45.3;9.2;5.5
2021;46;3.3;0.7;12.2;1.9;1.8;51.1;9.8;6.5
2021;47;3.6;0.4;12.5;1.8;1.1;55.4;9.9;5.7
2021;48;2.9;0.4;11.8;1.7;1.5;51.4;8.4;4.5
2021;49;2.1;0.3;8.3;1.6;0.8;46.8;7.6;3.8
