Vollständig geimpfte und ungeimpfte symptomatische COVID-19-Fälle pro 100.000 Geimpfte/Ungeimpfte, nach Altersgruppe ;Hospitalisierte COVID-19-Fälle pro 100.000, nach Impfstatus und Altersgruppe ;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
Meldejahr;Meldewoche;Ungeimpfte 12-17 Jahre;Grundimmunisierte  12-17 Jahre;Mit Auffrischimpfung 12-17 Jahre;Ungeimpfte 18-59 Jahre;Grundimmunisierte  18-59 Jahre;Mit Auffrischimpfung 18-59 Jahre;Ungeimpfte 60+ Jahre;Grundimmunisierte 60+ Jahre;Mit Auffrischimpfung 60+ Jahre
2021;28;--;--;--;0.9;0.1;--;1.2;0.3;--
2021;29;--;--;--;1.4;0.1;--;1.8;0.3;--
2021;30;--;--;--;1.8;0.2;--;2.9;0.4;--
2021;31;--;--;--;2.6;0.3;--;3.8;0.5;--
2021;32;0.9;0.0;--;4.6;0.3;--;5.6;0.9;--
2021;33;1.5;0.2;--;6.7;0.5;--;8.1;1.2;--
2021;34;1.6;0.2;--;9.5;0.5;--;11.5;1.6;--
2021;35;1.6;0.0;--;8.9;0.6;--;13.4;2.0;--
2021;36;1.8;0.1;--;8.0;0.6;--;15.2;2.1;--
2021;37;1.4;0.1;--;6.8;0.5;--;13.7;2.0;--
2021;38;1.0;0.2;--;5.6;0.5;--;13.0;2.0;--
2021;39;1.1;0.0;--;5.5;0.6;--;13.3;2.5;--
2021;40;0.9;0.1;--;5.2;0.6;--;15.0;3.0;--
2021;41;1.5;0.1;--;6.0;0.7;--;17.5;3.5;--
2021;42;1.6;0.2;--;7.9;1.1;1.4;27.9;5.7;4.0
2021;43;2.0;0.2;--;9.3;1.3;2.0;31.8;7.3;5.1
2021;44;2.1;0.2;--;9.7;1.3;1.8;37.6;8.3;5.3
2021;45;2.7;0.4;--;11.7;1.6;0.5;47.8;9.9;5.9
2021;46;3.6;0.7;--;13.0;2.0;2.0;54.1;10.6;7.1
2021;47;4.0;0.4;--;13.6;2.0;1.4;60.9;10.8;6.3
2021;48;3.1;0.4;0.0;13.2;1.9;1.6;60.0;9.5;5.1
2021;49;2.7;0.4;0.0;11.7;2.0;0.9;62.3;9.5;4.7
2021;50;3.0;0.3;0.0;10.0;1.5;0.7;50.1;7.8;3.2
2021;51;1.8;0.5;0.0;7.2;1.3;0.4;36.3;4.9;1.6
2021;52;1.4;0.7;0.0;7.1;1.6;0.6;35.0;5.3;1.7
2022;1;2.1;1.1;0.0;5.8;2.0;0.7;26.4;4.8;1.4
2022;2;2.3;1.0;0.3;4.1;1.8;0.7;16.3;3.2;1.4
