Hospitalisierte COVID-19-Fälle pro 100.000, nach Impfstatus und Altersgruppe ;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
Meldejahr;Meldewoche;Ungeimpfte 12-17 Jahre;Grundimmunisierte  12-17 Jahre;Mit Auffrischimpfung 12-17 Jahre;Ungeimpfte 18-59 Jahre;Grundimmunisierte  18-59 Jahre;Mit Auffrischimpfung 18-59 Jahre;Ungeimpfte 60+ Jahre;Grundimmunisierte 60+ Jahre;Mit Auffrischimpfung 60+ Jahre
2021;28;--;--;--;0.9;0.1;--;1.2;0.3;--
2021;29;--;--;--;1.4;0.1;--;1.8;0.3;--
2021;30;--;--;--;1.8;0.2;--;2.9;0.4;--
2021;31;--;--;--;2.6;0.3;--;3.8;0.5;--
2021;32;0.9;0.0;--;4.6;0.3;--;5.6;0.9;--
2021;33;1.5;0.2;--;6.7;0.5;--;8.1;1.2;--
2021;34;1.6;0.2;--;9.5;0.5;--;11.5;1.6;--
2021;35;1.6;0.0;--;8.9;0.6;--;13.4;2.0;--
2021;36;1.9;0.1;--;8.1;0.6;--;15.2;2.1;--
2021;37;1.5;0.1;--;6.9;0.5;--;13.8;2.0;--
2021;38;1.0;0.2;--;5.7;0.5;--;13.1;2.0;--
2021;39;1.1;0.0;--;5.5;0.6;--;13.4;2.5;--
2021;40;0.9;0.1;--;5.3;0.6;--;15.2;3.0;--
2021;41;1.5;0.1;--;6.0;0.7;--;17.6;3.5;--
2021;42;1.6;0.2;--;8.0;1.1;1.8;28.1;5.7;4.1
2021;43;2.0;0.2;--;9.4;1.3;2.0;32.3;7.5;5.1
2021;44;2.1;0.2;--;9.9;1.4;2.1;38.5;8.5;5.5
2021;45;2.7;0.4;--;12.0;1.7;0.5;48.5;10.1;6.0
2021;46;3.7;0.8;--;13.3;2.0;2.0;55.5;10.8;7.4
2021;47;4.1;0.4;--;14.1;2.0;1.4;63.1;11.1;6.4
2021;48;3.3;0.5;0.0;13.6;2.0;1.6;61.8;9.8;5.2
2021;49;3.0;0.4;0.0;12.2;2.1;1.0;64.1;9.7;4.8
2021;50;3.1;0.3;0.0;10.3;1.6;0.8;52.5;8.1;3.2
2021;51;2.0;0.5;0.0;7.6;1.3;0.5;38.3;5.1;1.7
2021;52;1.5;0.7;0.0;7.6;1.7;0.6;37.5;5.6;1.8
2022;1;2.2;1.1;0.0;6.3;2.3;0.8;29.3;5.5;1.6
2022;2;2.9;1.3;0.7;4.9;2.2;0.9;20.2;4.0;1.7
2022;3;2.8;1.4;0.2;5.5;2.2;0.9;16.2;5.1;2.0
2022;4;3.6;1.1;0.6;5.4;2.1;0.7;20.2;5.8;1.9
2022;5;3.6;1.0;0.4;5.7;1.9;0.8;24.1;7.1;2.3
2022;6;3.9;1.4;0.4;5.2;1.9;0.8;26.9;7.1;2.5
2022;7;1.9;0.6;0.4;4.5;1.6;0.8;25.6;6.5;2.7
2022;8;2.3;0.5;0.1;3.6;1.5;0.8;21.5;6.4;2.8
2022;9;2.7;0.9;0.4;3.1;1.6;0.9;19.3;5.1;2.5
2022;10;1.6;0.7;0.4;2.7;1.4;0.7;15.9;4.6;2.3
