Meldejahr;Meldewoche;0 - 4 Jährige;5 - 14 Jährige;15 - 34 Jährige;35 - 59 Jährige;60 - 79 Jährige;80+ Jährige
2020;37;12;12;50;156;137;96
2020;38;8;10;77;235;206;138
2020;39;9;7;112;237;253;153
2020;40;15;9;115;274;285;174
2020;41;21;17;206;488;501;351
2020;42;24;25;262;672;780;559
2020;43;50;30;428;1049;1411;1123
2020;44;64;49;539;1490;2075;1682
2020;45;65;58;601;1680;2378;2042
2020;46;64;68;569;1706;2558;2491
2020;47;54;53;597;1654;2835;2803
2020;48;63;68;557;1673;2843;3037
2020;49;57;58;590;1649;3140;3575
2020;50;70;66;665;1930;3889;4470
2020;51;78;83;694;2145;4305;5017
2020;52;53;49;594;1828;3839;4526
2020;53;74;51;601;1851;3766;4372
2021;01;61;32;560;1731;3828;4534
2021;02;58;46;502;1540;3267;4092
2021;03;39;36;385;1408;3048;3566
2021;04;33;30;385;1171;2662;2869
2021;05;42;37;338;1074;2230;2391
2021;06;36;22;280;920;1829;1796
2021;07;35;22;299;984;1889;1595
2021;08;43;31;300;1004;1674;1414
2021;09;49;28;306;937;1495;1156
2021;10;49;37;361;1189;1532;1144
2021;11;70;62;404;1308;1729;1117
2021;12;70;72;471;1337;1707;1143
2021;13;63;73;331;839;1160;778
