;;0 - 4 Jährige;5 - 14 Jährige;15 - 34 Jährige;35 - 59 Jährige;60 - 79 Jährige;80+ Jährige;
Meldejahr;Meldewoche;A00..04;A05..14;A15..34;A35..59;A60..79;A80+;
2020;37;12;12;50;157;138;96;2020-KW37
2020;38;8;10;77;235;206;138;2020-KW38
2020;39;9;7;112;237;253;153;2020-KW39
2020;40;15;9;115;274;286;175;2020-KW40
2020;41;21;17;207;488;502;351;2020-KW41
2020;42;24;25;263;672;781;559;2020-KW42
2020;43;50;30;429;1050;1412;1123;2020-KW43
2020;44;64;49;544;1492;2079;1682;2020-KW44
2020;45;65;58;602;1683;2380;2044;2020-KW45
2020;46;64;68;569;1707;2562;2494;2020-KW46
2020;47;54;54;601;1658;2839;2807;2020-KW47
2020;48;62;68;557;1678;2843;3038;2020-KW48
2020;49;58;58;591;1653;3145;3576;2020-KW49
2020;50;70;66;670;1946;3899;4498;2020-KW50
2020;51;78;87;703;2159;4325;5037;2020-KW51
2020;52;54;49;595;1828;3842;4534;2020-KW52
2020;53;74;51;604;1869;3783;4395;2020-KW53
2021;1;64;33;568;1754;3851;4560;2021-KW01
2021;2;58;47;508;1546;3289;4111;2021-KW02
2021;3;39;36;388;1409;3049;3585;2021-KW03
2021;4;34;30;388;1179;2693;2893;2021-KW04
2021;5;43;38;344;1080;2248;2418;2021-KW05
2021;6;38;23;284;934;1859;1812;2021-KW06
2021;7;35;22;298;992;1922;1612;2021-KW07
2021;8;43;31;303;1013;1700;1426;2021-KW08
2021;9;49;28;314;967;1531;1187;2021-KW09
2021;10;50;36;375;1247;1604;1204;2021-KW10
2021;11;74;65;438;1460;1968;1221;2021-KW11
2021;12;78;74;552;1728;2244;1394;2021-KW12
2021;13;81;84;520;1695;2228;1259;2021-KW13
2021;14;87;58;629;1845;2248;1201;2021-KW14
2021;15;82;77;593;1585;2098;1096;2021-KW15
2021;16;70;63;437;1102;1522;807;2021-KW16
