;;;0 - 4 Jährige;5 - 14 Jährige;15 - 34 Jährige;35 - 59 Jährige;60 - 79 Jährige;80+ Jährige;
;Meldejahr;Meldewoche;A00..04;A05..14;A15..34;A35..59;A60..79;A80+;
;2020;37;12;12;50;158;138;96;2020-KW37
;2020;38;8;10;77;235;206;138;2020-KW38
;2020;39;9;7;112;238;253;153;2020-KW39
;2020;40;15;9;115;274;287;175;2020-KW40
;2020;41;21;17;207;488;503;352;2020-KW41
;2020;42;24;25;263;674;781;559;2020-KW42
;2020;43;50;30;430;1051;1412;1123;2020-KW43
;2020;44;64;49;543;1494;2083;1683;2020-KW44
;2020;45;65;58;603;1689;2383;2047;2020-KW45
;2020;46;64;68;570;1711;2565;2497;2020-KW46
;2020;47;54;55;602;1660;2842;2807;2020-KW47
;2020;48;62;69;559;1687;2850;3040;2020-KW48
;2020;49;58;58;591;1660;3148;3578;2020-KW49
;2020;50;70;67;669;1952;3904;4499;2020-KW50
;2020;51;80;88;706;2167;4341;5048;2020-KW51
;2020;52;54;50;595;1837;3856;4535;2020-KW52
;2020;53;74;51;611;1879;3786;4407;2020-KW53
;2021;01;65;33;571;1779;3872;4582;2021-KW01
;2021;02;58;48;514;1556;3311;4136;2021-KW02
;2021;03;39;36;388;1415;3063;3600;2021-KW03
;2021;04;34;30;390;1183;2698;2903;2021-KW04
;2021;05;45;39;347;1083;2258;2431;2021-KW05
;2021;06;38;23;285;938;1869;1826;2021-KW06
;2021;07;35;23;298;998;1928;1618;2021-KW07
;2021;08;44;31;308;1023;1712;1435;2021-KW08
;2021;09;49;28;315;975;1552;1199;2021-KW09
;2021;10;50;36;380;1265;1629;1213;2021-KW10
;2021;11;75;67;445;1495;1996;1240;2021-KW11
;2021;12;82;77;574;1792;2328;1438;2021-KW12
;2021;13;83;88;536;1784;2370;1298;2021-KW13
;2021;14;94;65;660;2026;2478;1283;2021-KW14
;2021;15;89;80;682;1991;2602;1267;2021-KW15
;2021;16;82;73;647;2033;2431;1202;2021-KW16
;2021;17;63;86;509;1488;1857;910;2021-KW17
;2021;18;61;50;348;826;1148;638;2021-KW18
