;;;;;;;;
Stand: 18.05.2021 10:38:12;;;;;;;;
;;;;;;;;
;;0 - 4 Jährige;5 - 14 Jährige;15 - 34 Jährige;35 - 59 Jährige;60 - 79 Jährige;80+ Jährige;
Meldejahr;Meldewoche;A00..04;A05..14;A15..34;A35..59;A60..79;A80+;
2020;37;12;12;50;158;138;96;2020-KW37
2020;38;8;10;77;235;207;138;2020-KW38
2020;39;9;7;111;238;254;153;2020-KW39
2020;40;15;9;115;275;288;175;2020-KW40
2020;41;21;17;209;489;503;353;2020-KW41
2020;42;24;25;263;673;781;559;2020-KW42
2020;43;50;30;431;1053;1414;1123;2020-KW43
2020;44;64;50;544;1500;2086;1683;2020-KW44
2020;45;65;58;604;1690;2384;2048;2020-KW45
2020;46;64;70;571;1713;2569;2497;2020-KW46
2020;47;54;55;603;1664;2847;2812;2020-KW47
2020;48;62;69;560;1689;2855;3052;2020-KW48
2020;49;58;58;591;1662;3150;3584;2020-KW49
2020;50;70;67;671;1955;3905;4507;2020-KW50
2020;51;80;88;706;2176;4347;5055;2020-KW51
2020;52;54;50;594;1840;3863;4547;2020-KW52
2020;53;74;51;609;1878;3793;4414;2020-KW53
2021;01;65;33;571;1781;3882;4596;2021-KW01
2021;02;58;48;514;1560;3322;4143;2021-KW02
2021;03;39;36;390;1417;3073;3615;2021-KW03
2021;04;34;30;392;1183;2699;2915;2021-KW04
2021;05;45;39;346;1092;2279;2440;2021-KW05
2021;06;39;23;285;938;1872;1832;2021-KW06
2021;07;35;23;297;1000;1932;1622;2021-KW07
2021;08;43;31;307;1026;1711;1438;2021-KW08
2021;09;49;28;314;984;1553;1201;2021-KW09
2021;10;51;36;381;1269;1637;1217;2021-KW10
2021;11;77;68;446;1511;2009;1243;2021-KW11
2021;12;82;78;579;1809;2344;1442;2021-KW12
2021;13;83;88;538;1798;2397;1301;2021-KW13
2021;14;95;69;665;2052;2523;1297;2021-KW14
2021;15;87;82;693;2045;2667;1300;2021-KW15
2021;16;84;74;678;2129;2566;1248;2021-KW16
2021;17;68;87;558;1724;2118;995;2021-KW17
2021;18;72;57;431;1188;1477;750;2021-KW18
2021;19;50;35;308;641;861;449;2021-KW19
