Die dem RKI übermittelten COVID-19-Fälle nach Meldewoche, Altersgruppe und Angabe, dass eine Hospitalisierung vorlag für die Meldewochen KW 10 – 53/2020 und KW 01 - 20/2021;;;;;;;;
;;;;;;;;
;;;;;;;;
;;0 - 4 Jährige;5 - 14 Jährige;15 - 34 Jährige;35 - 59 Jährige;60 - 79 Jährige;80+ Jährige;
Meldejahr;Meldewoche;A00..04;A05..14;A15..34;A35..59;A60..79;A80+;
2020;10;2;3;23;89;37;11;2020-KW10
2020;11;2;2;55;239;155;78;2020-KW11
2020;12;14;5;154;727;860;471;2020-KW12
2020;13;32;16;263;1358;2218;1259;2020-KW13
2020;14;27;17;310;1344;2486;1910;2020-KW14
2020;15;23;9;225;978;1765;1734;2020-KW15
2020;16;9;13;192;633;1276;1258;2020-KW16
2020;17;20;15;184;420;771;836;2020-KW17
2020;18;19;8;109;288;513;429;2020-KW18
2020;19;10;7;92;237;382;352;2020-KW19
2020;20;7;18;77;179;233;251;2020-KW20
2020;21;4;2;51;121;169;166;2020-KW21
2020;22;4;;38;124;139;117;2020-KW22
2020;23;3;5;39;94;91;76;2020-KW23
2020;24;10;5;48;83;70;72;2020-KW24
2020;25;5;3;50;117;82;62;2020-KW25
2020;26;3;7;46;104;78;57;2020-KW26
2020;27;3;4;55;92;54;53;2020-KW27
2020;28;7;6;35;97;80;31;2020-KW28
2020;29;9;5;61;106;91;48;2020-KW29
2020;30;10;8;54;111;105;45;2020-KW30
2020;31;2;5;51;147;107;77;2020-KW31
2020;32;4;3;67;147;113;64;2020-KW32
2020;33;11;13;74;150;112;76;2020-KW33
2020;34;9;11;92;172;106;45;2020-KW34
2020;35;5;8;67;147;100;39;2020-KW35
2020;36;4;7;74;143;121;50;2020-KW36
2020;37;12;12;50;158;138;96;2020-KW37
2020;38;8;10;77;234;207;138;2020-KW38
2020;39;9;7;111;238;254;153;2020-KW39
2020;40;15;9;115;275;289;175;2020-KW40
2020;41;21;17;209;489;503;353;2020-KW41
2020;42;24;25;262;671;781;560;2020-KW42
2020;43;50;30;432;1054;1415;1122;2020-KW43
2020;44;64;50;547;1500;2085;1685;2020-KW44
2020;45;65;58;604;1694;2386;2051;2020-KW45
2020;46;64;70;571;1719;2570;2504;2020-KW46
2020;47;54;55;606;1667;2846;2816;2020-KW47
2020;48;62;69;561;1690;2857;3058;2020-KW48
2020;49;58;58;591;1663;3157;3586;2020-KW49
2020;50;70;67;673;1956;3907;4514;2020-KW50
2020;51;80;89;707;2178;4350;5064;2020-KW51
2020;52;54;50;596;1844;3882;4551;2020-KW52
2020;53;74;51;613;1889;3798;4419;2020-KW53
2021;01;65;33;571;1788;3897;4612;2021-KW01
2021;02;58;47;516;1557;3329;4154;2021-KW02
2021;03;38;36;388;1420;3081;3618;2021-KW03
2021;04;34;30;392;1184;2705;2921;2021-KW04
2021;05;45;39;347;1096;2286;2442;2021-KW05
2021;06;39;23;286;942;1873;1836;2021-KW06
2021;07;35;23;298;1001;1934;1626;2021-KW07
2021;08;43;31;308;1036;1722;1446;2021-KW08
2021;09;48;28;316;990;1560;1201;2021-KW09
2021;10;51;37;381;1276;1642;1220;2021-KW10
2021;11;78;68;447;1522;2019;1243;2021-KW11
2021;12;82;80;584;1824;2361;1451;2021-KW12
2021;13;84;88;545;1825;2421;1316;2021-KW13
2021;14;95;69;666;2072;2560;1307;2021-KW14
2021;15;88;81;702;2086;2726;1318;2021-KW15
2021;16;85;76;693;2204;2639;1278;2021-KW16
2021;17;69;87;580;1823;2205;1041;2021-KW17
2021;18;75;59;479;1389;1710;822;2021-KW18
2021;19;52;40;371;901;1127;540;2021-KW19
2021;20;35;32;221;448;603;330;2021-KW20
