Die dem RKI übermittelten COVID-19-Fälle nach Meldewoche, Altersgruppe und Angabe, dass eine Hospitalisierung vorlag für die Meldewochen KW 10 – 53/2020 und KW 01 - 32/2021;;;;;;;;
;;;;;;;;
;;;;;;;;
Stand: 17.08.2021 08:32:38;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;0 - 4 Jährige;5 - 14 Jährige;15 - 34 Jährige;35 - 59 Jährige;60 - 79 Jährige;80+ Jährige;
Meldejahr;Meldewoche;A00..04;A05..14;A15..34;A35..59;A60..79;A80+;
2020;10;2;3;23;86;37;11;2020-KW10
2020;11;2;2;55;238;155;78;2020-KW11
2020;12;14;6;153;729;861;473;2020-KW12
2020;13;32;16;259;1366;2221;1260;2020-KW13
2020;14;27;17;311;1349;2490;1922;2020-KW14
2020;15;23;9;227;988;1766;1738;2020-KW15
2020;16;9;12;192;636;1283;1257;2020-KW16
2020;17;20;15;185;419;773;836;2020-KW17
2020;18;19;8;109;288;514;429;2020-KW18
2020;19;10;7;92;239;383;350;2020-KW19
2020;20;7;18;75;182;232;250;2020-KW20
2020;21;4;2;51;121;170;167;2020-KW21
2020;22;4;;38;123;139;117;2020-KW22
2020;23;3;5;40;94;90;75;2020-KW23
2020;24;11;5;47;83;70;73;2020-KW24
2020;25;5;3;52;121;81;62;2020-KW25
2020;26;3;7;46;104;79;57;2020-KW26
2020;27;3;4;55;93;55;53;2020-KW27
2020;28;7;6;36;98;80;32;2020-KW28
2020;29;9;5;62;107;91;48;2020-KW29
2020;30;10;8;54;112;105;46;2020-KW30
2020;31;2;5;50;148;108;77;2020-KW31
2020;32;4;3;70;148;114;65;2020-KW32
2020;33;11;13;78;152;115;77;2020-KW33
2020;34;9;11;95;172;106;45;2020-KW34
2020;35;6;8;68;150;101;40;2020-KW35
2020;36;4;8;78;146;122;51;2020-KW36
2020;37;12;12;54;163;143;98;2020-KW37
2020;38;8;10;82;238;211;139;2020-KW38
2020;39;9;7;111;242;258;153;2020-KW39
2020;40;15;9;119;282;290;176;2020-KW40
2020;41;21;17;212;496;509;358;2020-KW41
2020;42;24;26;276;679;788;562;2020-KW42
2020;43;51;32;445;1068;1436;1148;2020-KW43
2020;44;63;52;557;1521;2115;1700;2020-KW44
2020;45;65;61;610;1709;2413;2073;2020-KW45
2020;46;65;72;591;1745;2624;2525;2020-KW46
2020;47;53;60;614;1691;2889;2847;2020-KW47
2020;48;63;68;574;1722;2881;3097;2020-KW48
2020;49;60;60;610;1682;3192;3618;2020-KW49
2020;50;70;69;679;1988;3966;4574;2020-KW50
2020;51;77;86;718;2213;4427;5131;2020-KW51
2020;52;53;51;603;1882;3936;4626;2020-KW52
2020;53;73;51;621;1941;3878;4500;2020-KW53
2021;01;69;36;595;1846;4013;4718;2021-KW01
2021;02;61;50;540;1614;3451;4270;2021-KW02
2021;03;41;35;410;1495;3185;3736;2021-KW03
2021;04;35;35;411;1253;2821;3026;2021-KW04
2021;05;45;37;356;1150;2380;2548;2021-KW05
2021;06;42;23;305;991;1970;1913;2021-KW06
2021;07;37;23;312;1066;2023;1708;2021-KW07
2021;08;47;30;328;1111;1826;1513;2021-KW08
2021;09;51;29;351;1065;1676;1268;2021-KW09
2021;10;53;39;414;1368;1750;1296;2021-KW10
2021;11;86;70;489;1640;2175;1323;2021-KW11
2021;12;94;92;632;1992;2537;1543;2021-KW12
2021;13;96;87;628;2048;2647;1426;2021-KW13
2021;14;112;71;741;2376;2833;1436;2021-KW14
2021;15;95;85;771;2377;3034;1458;2021-KW15
2021;16;95;90;804;2568;3018;1423;2021-KW16
2021;17;76;101;653;2171;2548;1168;2021-KW17
2021;18;82;69;566;1739;2074;958;2021-KW18
2021;19;67;44;458;1267;1494;705;2021-KW19
2021;20;49;42;354;856;966;502;2021-KW20
2021;21;28;27;208;563;576;304;2021-KW21
2021;22;13;22;156;396;346;204;2021-KW22
2021;23;19;23;125;277;240;128;2021-KW23
2021;24;16;7;84;197;135;78;2021-KW24
2021;25;12;7;87;113;86;49;2021-KW25
2021;26;6;10;62;107;89;37;2021-KW26
2021;27;6;6;75;124;88;53;2021-KW27
2021;28;10;3;99;154;88;46;2021-KW28
2021;29;16;7;157;202;116;61;2021-KW29
2021;30;20;21;166;266;161;93;2021-KW30
2021;31;20;17;225;290;166;115;2021-KW31
2021;32;43;29;244;351;203;115;2021-KW32
