Die dem RKI übermittelten COVID-19-Fälle nach Meldewoche, Altersgruppe und Angabe, dass eine Hospitalisierung vorlag für die Meldewochen KW 10 – 53/2020 und KW 01 - 34/2021;;;;;;;;
;;;;;;;;
Stand: 31.08.2021 08:37:47;;;;;;;;
;;;;;;;;
;;0 - 4 Jährige;5 - 14 Jährige;15 - 34 Jährige;35 - 59 Jährige;60 - 79 Jährige;80+ Jährige;
Meldejahr;Meldewoche;Fälle A00..04;Fälle A05..14;Fälle A15..34;Fälle A35..59;Fälle A60..79;Fälle A80+;
2020;10;2;3;23;86;37;11;2020-KW10
2020;11;2;2;55;238;155;78;2020-KW11
2020;12;14;6;152;729;861;473;2020-KW12
2020;13;32;16;259;1366;2221;1260;2020-KW13
2020;14;27;17;311;1349;2490;1922;2020-KW14
2020;15;23;9;227;987;1766;1738;2020-KW15
2020;16;9;12;192;636;1282;1257;2020-KW16
2020;17;20;15;184;418;773;835;2020-KW17
2020;18;19;8;109;288;514;429;2020-KW18
2020;19;10;7;92;239;383;350;2020-KW19
2020;20;7;18;75;182;232;250;2020-KW20
2020;21;4;2;51;121;170;167;2020-KW21
2020;22;4;;38;123;139;117;2020-KW22
2020;23;3;5;40;94;90;75;2020-KW23
2020;24;11;5;47;83;70;73;2020-KW24
2020;25;5;3;52;121;81;62;2020-KW25
2020;26;3;7;46;104;79;57;2020-KW26
2020;27;3;4;55;93;55;53;2020-KW27
2020;28;7;6;36;97;80;32;2020-KW28
2020;29;9;5;62;107;91;48;2020-KW29
2020;30;10;8;53;112;105;46;2020-KW30
2020;31;2;5;50;148;107;77;2020-KW31
2020;32;4;3;70;148;114;65;2020-KW32
2020;33;11;13;76;152;115;77;2020-KW33
2020;34;9;11;95;171;106;45;2020-KW34
2020;35;6;8;68;150;101;40;2020-KW35
2020;36;4;8;78;146;122;51;2020-KW36
2020;37;12;12;54;163;143;98;2020-KW37
2020;38;8;10;82;238;211;139;2020-KW38
2020;39;9;7;111;242;258;153;2020-KW39
2020;40;15;9;119;282;289;176;2020-KW40
2020;41;21;17;212;496;509;358;2020-KW41
2020;42;24;26;277;679;788;563;2020-KW42
2020;43;51;32;445;1070;1438;1151;2020-KW43
2020;44;63;52;557;1519;2114;1700;2020-KW44
2020;45;65;61;610;1709;2412;2073;2020-KW45
2020;46;65;72;591;1744;2623;2528;2020-KW46
2020;47;55;60;614;1692;2891;2845;2020-KW47
2020;48;63;68;574;1720;2880;3099;2020-KW48
2020;49;60;60;610;1685;3197;3623;2020-KW49
2020;50;70;69;680;1987;3968;4574;2020-KW50
2020;51;76;86;715;2204;4427;5123;2020-KW51
2020;52;52;49;589;1871;3930;4620;2020-KW52
2020;53;73;51;616;1937;3878;4497;2020-KW53
2021;01;69;36;595;1842;4016;4706;2021-KW01
2021;02;60;49;539;1611;3445;4264;2021-KW02
2021;03;41;35;413;1500;3184;3734;2021-KW03
2021;04;35;35;412;1254;2819;3021;2021-KW04
2021;05;45;37;358;1154;2375;2545;2021-KW05
2021;06;42;24;306;991;1969;1911;2021-KW06
2021;07;37;23;312;1066;2021;1706;2021-KW07
2021;08;47;30;328;1115;1825;1508;2021-KW08
2021;09;51;29;351;1065;1677;1271;2021-KW09
2021;10;53;39;415;1368;1747;1294;2021-KW10
2021;11;85;70;491;1643;2175;1321;2021-KW11
2021;12;94;92;632;1993;2538;1542;2021-KW12
2021;13;95;87;629;2050;2642;1427;2021-KW13
2021;14;112;71;741;2376;2837;1436;2021-KW14
2021;15;95;85;770;2377;3034;1457;2021-KW15
2021;16;95;90;803;2566;3021;1425;2021-KW16
2021;17;77;102;653;2176;2551;1170;2021-KW17
2021;18;82;68;567;1743;2083;963;2021-KW18
2021;19;67;44;457;1268;1499;707;2021-KW19
2021;20;49;42;355;858;968;502;2021-KW20
2021;21;28;27;208;563;576;303;2021-KW21
2021;22;13;22;156;396;346;205;2021-KW22
2021;23;19;23;125;277;240;128;2021-KW23
2021;24;16;7;84;198;135;78;2021-KW24
2021;25;12;7;88;113;86;49;2021-KW25
2021;26;6;10;62;107;89;37;2021-KW26
2021;27;6;6;75;127;88;54;2021-KW27
2021;28;10;3;99;155;89;46;2021-KW28
2021;29;16;7;158;207;123;65;2021-KW29
2021;30;20;21;170;280;172;96;2021-KW30
2021;31;21;18;244;331;186;123;2021-KW31
2021;32;53;35;343;582;295;155;2021-KW32
2021;33;64;50;413;752;361;189;2021-KW33
2021;34;71;49;373;639;327;215;2021-KW34
