Die dem RKI übermittelten COVID-19-Fälle nach Meldewoche, Altersgruppe und Angabe, dass eine Hospitalisierung vorlag für die Meldewochen KW 10 – 53/2020 und KW 01 - 38/2021;;;;;;;;
Stand: 29.09.2021 08:21:28;;;;;;;;
;;;;;;;;
;;0 - 4 Jährige;5 - 14 Jährige;15 - 34 Jährige;35 - 59 Jährige;60 - 79 Jährige;80+ Jährige;
Meldejahr;Meldewoche;Fälle A00..04;Fälle A05..14;Fälle A15..34;Fälle A35..59;Fälle A60..79;Fälle A80+;
2020;10;2;3;23;85;37;11;2020-KW10
2020;11;2;2;54;238;152;77;2020-KW11
2020;12;14;6;152;725;861;472;2020-KW12
2020;13;32;16;259;1359;2217;1259;2020-KW13
2020;14;27;17;305;1346;2488;1920;2020-KW14
2020;15;22;8;225;983;1761;1734;2020-KW15
2020;16;9;12;192;635;1282;1254;2020-KW16
2020;17;20;15;183;416;772;834;2020-KW17
2020;18;19;8;107;286;513;429;2020-KW18
2020;19;10;7;92;239;383;350;2020-KW19
2020;20;7;18;75;180;232;250;2020-KW20
2020;21;4;2;51;120;169;167;2020-KW21
2020;22;4;;38;124;139;117;2020-KW22
2020;23;3;5;40;94;90;75;2020-KW23
2020;24;11;5;47;83;70;72;2020-KW24
2020;25;5;3;52;121;81;62;2020-KW25
2020;26;3;7;46;103;79;57;2020-KW26
2020;27;3;4;56;93;55;52;2020-KW27
2020;28;7;6;36;97;80;32;2020-KW28
2020;29;9;5;61;106;91;47;2020-KW29
2020;30;10;8;53;111;105;46;2020-KW30
2020;31;2;5;50;148;106;76;2020-KW31
2020;32;4;3;70;148;114;65;2020-KW32
2020;33;11;13;75;152;115;77;2020-KW33
2020;34;9;11;95;171;106;45;2020-KW34
2020;35;6;8;68;150;101;40;2020-KW35
2020;36;4;7;77;146;122;51;2020-KW36
2020;37;12;12;50;162;142;98;2020-KW37
2020;38;8;10;82;237;210;139;2020-KW38
2020;39;9;7;111;243;257;152;2020-KW39
2020;40;15;10;118;282;289;176;2020-KW40
2020;41;21;16;211;497;509;359;2020-KW41
2020;42;24;26;276;678;789;562;2020-KW42
2020;43;50;32;441;1072;1438;1150;2020-KW43
2020;44;63;52;556;1523;2111;1701;2020-KW44
2020;45;65;60;607;1702;2413;2072;2020-KW45
2020;46;65;70;588;1744;2621;2524;2020-KW46
2020;47;55;60;609;1695;2895;2846;2020-KW47
2020;48;63;68;572;1723;2878;3097;2020-KW48
2020;49;60;62;610;1690;3202;3625;2020-KW49
2020;50;70;67;679;1983;3976;4575;2020-KW50
2020;51;76;85;713;2200;4427;5131;2020-KW51
2020;52;52;49;585;1870;3935;4620;2020-KW52
2020;53;73;51;616;1929;3881;4496;2020-KW53
2021;01;68;35;597;1841;4007;4702;2021-KW01
2021;02;60;48;537;1606;3449;4263;2021-KW02
2021;03;40;35;413;1501;3185;3735;2021-KW03
2021;04;34;35;408;1252;2819;3020;2021-KW04
2021;05;45;36;359;1149;2365;2536;2021-KW05
2021;06;42;24;305;984;1967;1907;2021-KW06
2021;07;37;23;312;1065;2016;1703;2021-KW07
2021;08;47;30;327;1115;1822;1507;2021-KW08
2021;09;51;29;351;1065;1674;1267;2021-KW09
2021;10;53;39;414;1369;1745;1293;2021-KW10
2021;11;85;70;493;1644;2171;1320;2021-KW11
2021;12;94;91;627;1994;2533;1540;2021-KW12
2021;13;94;87;624;2051;2645;1425;2021-KW13
2021;14;112;71;745;2373;2843;1442;2021-KW14
2021;15;94;84;766;2384;3044;1457;2021-KW15
2021;16;96;90;801;2567;3025;1426;2021-KW16
2021;17;77;102;655;2182;2559;1178;2021-KW17
2021;18;82;68;566;1743;2086;961;2021-KW18
2021;19;67;44;458;1266;1501;711;2021-KW19
2021;20;49;42;356;863;970;505;2021-KW20
2021;21;27;27;210;566;578;302;2021-KW21
2021;22;13;22;156;395;345;205;2021-KW22
2021;23;19;23;125;276;241;126;2021-KW23
2021;24;16;7;84;199;135;78;2021-KW24
2021;25;12;7;88;114;88;50;2021-KW25
2021;26;6;10;64;108;89;37;2021-KW26
2021;27;6;6;76;128;90;54;2021-KW27
2021;28;11;3;101;156;91;47;2021-KW28
2021;29;15;7;161;208;124;65;2021-KW29
2021;30;20;21;171;291;175;99;2021-KW30
2021;31;22;20;255;369;189;128;2021-KW31
2021;32;56;37;366;650;333;171;2021-KW32
2021;33;73;59;510;919;427;231;2021-KW33
2021;34;84;67;615;1265;593;351;2021-KW34
2021;35;73;66;568;1166;662;433;2021-KW35
2021;36;89;78;505;1050;695;491;2021-KW36
2021;37;72;51;400;810;541;446;2021-KW37
2021;38;54;48;258;482;437;329;2021-KW38
