Die dem RKI übermittelten COVID-19-Fälle nach Meldewoche, Altersgruppe und Angabe, dass eine Hospitalisierung vorlag für die Meldewochen KW 10 – 53/2020 und KW 01 - 46/2021;;;;;;;
;;;;;;;
Stand: 01.12.2021 07:13:25;;;;;;;
;;Fälle 0 - 4 Jährige;Fälle 5 - 14 Jährige;Fälle 15 - 34 Jährige;Fälle 35 - 59 Jährige;Fälle 60 - 79 Jährige;Fälle 80+ Jährige
Meldejahr;Meldewoche;Fälle A00..04;Fälle A05..14;Fälle A15..34;Fälle A35..59;Fälle A60..79;Fälle A80+
2020;10;2;3;23;84;37;11
2020;11;2;2;54;238;152;77
2020;12;14;6;152;726;861;472
2020;13;33;16;259;1359;2219;1259
2020;14;27;17;305;1348;2486;1918
2020;15;22;8;225;983;1761;1733
2020;16;9;12;192;635;1282;1255
2020;17;20;15;183;418;770;834
2020;18;19;8;107;286;513;428
2020;19;10;7;92;239;384;350
2020;20;7;18;75;180;232;249
2020;21;4;2;51;120;170;166
2020;22;4;;38;124;138;117
2020;23;3;5;40;94;90;75
2020;24;11;5;48;83;70;73
2020;25;5;3;52;121;81;62
2020;26;3;7;47;103;79;57
2020;27;3;4;55;93;56;52
2020;28;7;6;36;97;80;32
2020;29;9;5;61;106;91;49
2020;30;10;8;54;112;105;46
2020;31;2;5;50;147;106;76
2020;32;4;3;70;147;114;66
2020;33;11;13;75;152;115;78
2020;34;9;11;95;171;107;45
2020;35;6;8;68;151;101;40
2020;36;4;7;76;147;122;51
2020;37;12;12;50;162;141;98
2020;38;8;10;81;238;210;136
2020;39;9;7;111;242;258;154
2020;40;15;10;118;283;290;176
2020;41;21;17;211;498;512;362
2020;42;24;26;276;682;789;561
2020;43;50;31;437;1074;1436;1150
2020;44;63;52;554;1523;2112;1701
2020;45;65;59;605;1702;2414;2072
2020;46;66;70;583;1742;2625;2525
2020;47;54;60;610;1695;2894;2845
2020;48;63;68;572;1723;2879;3096
2020;49;60;62;610;1688;3203;3625
2020;50;70;67;676;1988;3978;4573
2020;51;77;85;713;2202;4430;5135
2020;52;52;50;585;1869;3935;4617
2020;53;73;51;615;1926;3882;4495
2021;01;68;34;597;1845;4009;4703
2021;02;61;47;535;1610;3448;4264
2021;03;41;35;414;1506;3193;3736
2021;04;34;35;408;1256;2818;3023
2021;05;45;36;359;1153;2372;2539
2021;06;42;24;306;985;1970;1908
2021;07;37;23;312;1063;2016;1703
2021;08;47;30;325;1116;1825;1505
2021;09;53;29;353;1066;1677;1269
2021;10;53;39;415;1372;1749;1298
2021;11;84;70;496;1649;2182;1318
2021;12;94;91;629;2000;2542;1541
2021;13;95;87;628;2060;2648;1428
2021;14;112;71;751;2382;2851;1444
2021;15;93;84;768;2390;3045;1457
2021;16;96;89;802;2570;3024;1425
2021;17;78;102;656;2184;2564;1181
2021;18;82;68;567;1749;2090;965
2021;19;67;44;460;1277;1505;712
2021;20;49;42;357;865;971;506
2021;21;28;26;212;569;578;303
2021;22;13;22;156;397;349;204
2021;23;19;22;125;278;241;127
2021;24;16;7;85;202;135;79
2021;25;12;7;88;116;88;50
2021;26;6;10;65;110;89;37
2021;27;6;6;76;129;91;54
2021;28;11;3;101;158;91;48
2021;29;16;7;164;209;125;65
2021;30;20;21;173;295;176;98
2021;31;22;22;259;386;196;128
2021;32;56;38;377;670;341;176
2021;33;75;61;531;982;453;244
2021;34;86;76;652;1343;649;375
2021;35;77;72;619;1282;717;469
2021;36;97;83;576;1170;784;549
2021;37;78;54;466;975;652;527
2021;38;72;57;386;813;658;468
2021;39;66;53;381;792;649;579
2021;40;47;47;300;772;767;642
2021;41;47;54;381;849;924;768
2021;42;82;57;504;1170;1478;1340
2021;43;86;67;531;1490;1808;1724
2021;44;90;105;543;1572;2129;2161
2021;45;107;129;650;1890;2727;2385
2021;46;129;172;660;1949;2816;2552
2021;47;112;116;468;1347;2182;2014
