Die dem RKI übermittelten COVID-19-Fälle nach Meldewoche, Altersgruppe und Angabe, dass eine Hospitalisierung vorlag für die Meldewochen KW 10 – 53/2020 und KW 01 - 52/2021;;;;;;;
;;;;;;;
Stand: 05.01.2022 08:33:02;;;;;;;
;;;;;;;
;;Fälle 0 - 4 Jährige;Fälle 5 - 14 Jährige;Fälle 15 - 34 Jährige;Fälle 35 - 59 Jährige;Fälle 60 - 79 Jährige;Fälle 80+ Jährige
Meldejahr;Meldewoche;Fälle A00..04;Fälle A05..14;Fälle A15..34;Fälle A35..59;Fälle A60..79;Fälle A80+
2020;10;2;3;23;84;37;11
2020;11;2;2;54;238;152;77
2020;12;14;6;152;726;861;472
2020;13;33;16;259;1360;2218;1259
2020;14;27;17;305;1348;2484;1920
2020;15;22;8;226;983;1762;1733
2020;16;9;12;192;635;1281;1255
2020;17;20;15;183;418;769;834
2020;18;19;8;107;286;513;428
2020;19;10;7;91;239;383;350
2020;20;7;18;74;180;231;249
2020;21;4;2;51;120;170;166
2020;22;4;;38;124;138;117
2020;23;3;5;40;94;90;75
2020;24;11;5;48;83;70;73
2020;25;5;3;52;121;81;62
2020;26;3;7;47;103;79;57
2020;27;3;4;54;93;56;52
2020;28;7;6;36;97;79;32
2020;29;9;5;61;106;91;49
2020;30;10;8;54;112;105;46
2020;31;2;5;50;147;106;76
2020;32;4;3;70;147;114;66
2020;33;11;13;75;151;115;78
2020;34;9;11;95;171;107;45
2020;35;6;8;68;151;101;40
2020;36;4;7;76;147;122;51
2020;37;12;12;50;162;141;98
2020;38;8;10;81;238;211;136
2020;39;9;7;111;242;258;154
2020;40;15;10;118;283;289;176
2020;41;21;17;211;499;513;362
2020;42;24;26;276;683;789;561
2020;43;50;31;437;1075;1435;1150
2020;44;63;52;553;1522;2113;1700
2020;45;65;59;605;1704;2416;2070
2020;46;66;70;583;1742;2625;2525
2020;47;54;60;610;1695;2895;2846
2020;48;62;68;571;1725;2879;3097
2020;49;60;62;609;1687;3204;3627
2020;50;70;67;677;1988;3980;4574
2020;51;77;85;714;2203;4429;5136
2020;52;52;50;585;1871;3935;4616
2020;53;73;51;615;1926;3880;4496
2021;01;68;34;597;1845;4009;4704
2021;02;61;47;534;1612;3449;4267
2021;03;41;35;414;1507;3194;3736
2021;04;34;35;408;1258;2818;3023
2021;05;45;36;358;1153;2373;2542
2021;06;42;24;306;986;1970;1908
2021;07;37;23;312;1063;2014;1704
2021;08;47;30;325;1117;1826;1504
2021;09;53;29;354;1066;1676;1270
2021;10;53;39;415;1373;1748;1297
2021;11;84;70;497;1649;2182;1318
2021;12;94;91;627;2000;2545;1540
2021;13;95;87;628;2063;2647;1427
2021;14;112;72;754;2381;2853;1441
2021;15;93;85;768;2393;3044;1458
2021;16;96;89;804;2570;3027;1427
2021;17;78;102;655;2182;2564;1181
2021;18;81;68;567;1748;2092;965
2021;19;67;44;459;1276;1508;712
2021;20;49;42;357;864;971;506
2021;21;28;25;212;568;578;303
2021;22;13;22;155;397;349;204
2021;23;19;22;125;278;241;128
2021;24;16;7;86;202;135;79
2021;25;12;7;88;117;88;50
2021;26;6;10;65;110;89;37
2021;27;6;6;76;129;91;54
2021;28;11;3;101;159;91;48
2021;29;16;7;164;209;125;65
2021;30;20;21;173;297;176;98
2021;31;22;22;259;386;195;128
2021;32;57;39;377;673;341;174
2021;33;75;61;534;986;453;243
2021;34;86;76;654;1346;650;375
2021;35;77;72;621;1284;720;475
2021;36;97;83;576;1175;787;551
2021;37;78;54;465;979;654;526
2021;38;71;57;388;816;661;468
2021;39;66;54;381;792;649;583
2021;40;47;47;300;773;770;647
2021;41;47;54;381;852;931;771
2021;42;83;59;502;1192;1497;1361
2021;43;87;69;539;1523;1850;1764
2021;44;95;105;570;1659;2214;2237
2021;45;106;148;694;2049;2949;2615
2021;46;138;212;758;2433;3426;3055
2021;47;145;176;746;2553;3721;3126
2021;48;150;196;759;2554;3548;2856
2021;49;137;163;743;2232;3255;2600
2021;50;123;142;621;1727;2573;2031
2021;51;90;98;432;1137;1605;1259
2021;52;84;59;464;832;1114;922
