Die dem RKI übermittelten COVID-19-Fälle nach Meldewoche, Altersgruppe und Angabe, dass eine Hospitalisierung vorlag für die Meldewochen KW 10 – 53/2020,  KW 01 – 52/2021 und KW 01/2022;;;;;;;
;;;;;;;
Stand: 12.01.2022 07:32:01;;;;;;;
;;;;;;;
;;Fälle 0 - 4 Jährige;Fälle 5 - 14 Jährige;Fälle 15 - 34 Jährige;Fälle 35 - 59 Jährige;Fälle 60 - 79 Jährige;Fälle 80+ Jährige
Meldejahr;Meldewoche;Fälle A00..04;Fälle A05..14;Fälle A15..34;Fälle A35..59;Fälle A60..79;Fälle A80+
;;;;;;;
2020;10;2;3;23;84;37;11
2020;11;2;2;54;238;152;77
2020;12;14;6;152;726;861;472
2020;13;33;16;259;1360;2218;1259
2020;14;27;17;305;1348;2484;1920
2020;15;22;8;226;983;1762;1733
2020;16;9;12;192;635;1281;1255
2020;17;20;15;183;418;769;834
2020;18;19;8;107;286;513;428
2020;19;10;7;91;239;383;350
2020;20;7;18;74;180;231;249
2020;21;4;2;51;120;170;166
2020;22;4;;38;124;138;117
2020;23;3;5;40;94;90;75
2020;24;11;5;48;83;70;73
2020;25;5;3;52;121;81;62
2020;26;3;7;47;103;79;57
2020;27;3;4;54;93;56;52
2020;28;7;6;36;97;79;32
2020;29;9;5;61;106;91;49
2020;30;10;8;54;112;105;46
2020;31;2;5;50;147;106;76
2020;32;4;3;70;147;114;66
2020;33;11;13;75;151;115;78
2020;34;9;11;95;171;107;45
2020;35;6;8;68;151;101;40
2020;36;4;7;76;147;122;51
2020;37;12;12;50;162;141;98
2020;38;8;10;81;238;211;136
2020;39;9;7;111;242;258;154
2020;40;15;10;118;283;289;176
2020;41;21;17;211;499;513;362
2020;42;24;26;276;683;789;561
2020;43;50;31;437;1075;1435;1150
2020;44;63;52;553;1522;2113;1700
2020;45;65;59;605;1704;2418;2069
2020;46;66;70;583;1742;2625;2525
2020;47;54;60;610;1697;2895;2847
2020;48;62;68;571;1725;2879;3097
2020;49;60;62;609;1687;3204;3626
2020;50;70;67;677;1988;3981;4573
2020;51;77;85;716;2204;4429;5138
2020;52;52;50;585;1871;3937;4615
2020;53;73;51;615;1927;3880;4499
2021;01;68;34;597;1845;4009;4702
2021;02;61;47;534;1612;3451;4266
2021;03;41;35;414;1507;3194;3735
2021;04;34;35;408;1258;2818;3023
2021;05;45;36;358;1153;2374;2542
2021;06;42;24;306;986;1970;1908
2021;07;37;23;312;1063;2014;1705
2021;08;47;30;325;1117;1826;1504
2021;09;53;29;354;1066;1675;1270
2021;10;53;39;415;1373;1748;1297
2021;11;84;70;497;1649;2182;1319
2021;12;94;91;627;2000;2548;1540
2021;13;95;87;628;2066;2647;1427
2021;14;112;72;754;2381;2853;1441
2021;15;93;85;767;2394;3045;1458
2021;16;96;89;804;2570;3027;1427
2021;17;78;102;655;2182;2564;1180
2021;18;81;68;567;1747;2093;965
2021;19;67;44;459;1276;1508;712
2021;20;49;42;358;864;971;506
2021;21;28;25;212;568;578;303
2021;22;13;22;155;397;349;204
2021;23;19;22;125;278;241;128
2021;24;16;7;86;202;135;79
2021;25;12;7;88;117;88;50
2021;26;6;10;65;110;89;37
2021;27;6;6;76;129;91;54
2021;28;11;3;101;159;91;48
2021;29;16;7;164;209;125;65
2021;30;20;21;173;297;176;98
2021;31;22;22;257;386;195;128
2021;32;57;39;377;673;341;174
2021;33;75;60;534;985;454;244
2021;34;86;76;652;1346;650;375
2021;35;77;71;622;1283;720;475
2021;36;97;83;575;1175;787;551
2021;37;78;54;465;979;655;527
2021;38;71;57;388;816;661;468
2021;39;66;54;382;793;650;583
2021;40;47;47;300;775;770;649
2021;41;47;54;382;852;933;772
2021;42;83;59;503;1194;1497;1362
2021;43;87;69;541;1525;1855;1773
2021;44;95;105;571;1665;2219;2247
2021;45;106;148;695;2059;2963;2624
2021;46;138;213;764;2442;3445;3075
2021;47;145;179;754;2568;3762;3161
2021;48;153;202;764;2572;3589;2891
2021;49;140;169;753;2268;3319;2642
2021;50;122;148;640;1784;2672;2111
2021;51;92;104;475;1253;1738;1364
2021;52;102;65;574;1165;1496;1150
2022;01;137;76;641;852;1030;826
