Die dem RKI übermittelten COVID-19-Fälle nach Meldewoche, Altersgruppe und Angabe, dass eine Hospitalisierung vorlag für die Meldewochen KW 10 – 53/2020,  KW 01 – 52/2021 und KW 01 - 02/2022;;;;;;;
;;;;;;;
Stand: 19.01.2022 08:16:15;;;;;;;
;;;;;;;
;;Fälle 0 - 4 Jährige;Fälle 5 - 14 Jährige;Fälle 15 - 34 Jährige;Fälle 35 - 59 Jährige;Fälle 60 - 79 Jährige;Fälle 80+ Jährige
Meldejahr;Meldewoche;Fälle A00..04;Fälle A05..14;Fälle A15..34;Fälle A35..59;Fälle A60..79;Fälle A80+
2020;01;;;;;;1
2020;02;;;;;;
2020;03;;;;;;
2020;04;;;;;;
2020;05;1;;3;3;;
2020;06;1;;2;5;;
2020;07;1;;;1;;
2020;08;;;;;1;
2020;09;;;11;15;3;
2020;10;2;3;23;84;37;11
2020;11;2;2;54;238;152;77
2020;12;14;6;152;726;861;472
2020;13;33;16;259;1360;2218;1259
2020;14;27;17;305;1348;2484;1920
2020;15;22;8;226;983;1762;1733
2020;16;9;12;192;635;1281;1255
2020;17;20;15;183;418;768;834
2020;18;19;8;107;286;513;428
2020;19;10;7;91;239;383;350
2020;20;7;18;74;180;231;249
2020;21;4;2;51;120;170;166
2020;22;4;;38;124;138;117
2020;23;3;5;40;94;90;75
2020;24;11;5;48;83;70;73
2020;25;5;3;52;121;81;62
2020;26;3;7;47;103;79;57
2020;27;3;4;54;93;56;52
2020;28;7;6;36;97;79;32
2020;29;9;5;61;106;91;49
2020;30;10;8;54;112;105;46
2020;31;2;5;50;147;106;76
2020;32;4;3;70;147;114;66
2020;33;11;13;75;151;115;78
2020;34;9;11;95;171;107;45
2020;35;6;8;67;151;101;40
2020;36;4;7;76;147;122;51
2020;37;12;12;50;162;141;98
2020;38;8;10;81;238;211;136
2020;39;9;7;111;242;258;154
2020;40;15;10;118;283;289;176
2020;41;21;17;211;499;513;362
2020;42;24;26;276;683;789;561
2020;43;50;31;437;1075;1435;1150
2020;44;63;52;553;1521;2113;1700
2020;45;65;59;605;1704;2418;2069
2020;46;66;70;583;1742;2625;2525
2020;47;54;60;611;1697;2896;2845
2020;48;62;67;571;1724;2879;3098
2020;49;59;62;609;1687;3204;3627
2020;50;70;67;678;1987;3981;4573
2020;51;77;85;717;2205;4428;5138
2020;52;52;50;585;1870;3938;4613
2020;53;73;51;614;1927;3879;4501
2021;01;68;34;595;1846;4009;4704
2021;02;61;47;535;1613;3451;4266
2021;03;41;35;414;1507;3194;3736
2021;04;34;35;407;1258;2818;3024
2021;05;45;36;358;1154;2374;2541
2021;06;42;24;306;986;1970;1907
2021;07;37;23;311;1063;2014;1705
2021;08;47;30;325;1117;1827;1505
2021;09;53;29;353;1065;1675;1270
2021;10;52;37;412;1374;1746;1296
2021;11;84;70;492;1648;2182;1319
2021;12;94;91;626;1998;2549;1540
2021;13;95;87;628;2066;2647;1428
2021;14;112;72;754;2381;2853;1440
2021;15;93;85;767;2396;3046;1458
2021;16;96;89;806;2570;3029;1427
2021;17;78;102;655;2180;2565;1181
2021;18;81;68;567;1747;2093;965
2021;19;67;44;459;1275;1508;712
2021;20;49;42;359;864;971;506
2021;21;28;25;213;568;578;303
2021;22;13;22;155;397;349;203
2021;23;19;22;125;278;241;128
2021;24;16;7;86;202;135;79
2021;25;12;7;88;117;88;50
2021;26;6;10;65;110;89;37
2021;27;6;6;76;129;91;54
2021;28;11;3;101;159;91;48
2021;29;16;7;164;209;125;65
2021;30;20;21;173;298;176;98
2021;31;22;22;257;386;195;128
2021;32;57;39;378;675;341;174
2021;33;75;60;534;985;454;244
2021;34;86;76;652;1347;650;375
2021;35;77;71;622;1285;720;475
2021;36;97;83;575;1175;787;552
2021;37;78;54;465;979;655;527
2021;38;71;57;388;817;661;468
2021;39;67;54;382;793;650;583
2021;40;48;47;301;775;770;649
2021;41;47;54;382;852;932;774
2021;42;84;59;503;1196;1497;1363
2021;43;87;69;544;1530;1859;1774
2021;44;95;105;572;1667;2223;2251
2021;45;107;150;697;2068;2975;2633
2021;46;139;213;771;2450;3456;3089
2021;47;146;182;762;2589;3778;3178
2021;48;154;206;769;2580;3622;2904
2021;49;141;171;756;2282;3351;2671
2021;50;125;149;647;1797;2707;2145
2021;51;97;105;481;1295;1783;1406
2021;52;105;66;590;1259;1622;1225
2022;01;158;104;790;1108;1330;1022
2022;02;165;153;647;890;830;718
