week,publication,work36,work23,resident36,resident33
10,2020-05-05,16,55,16,-
11,2020-05-05,78,261,51,-
12,2020-05-05,292,905,211,-
13,2020-05-05,827,1845,1002,-
14,2020-05-05,1833,2192,2851,-
15,2020-05-05,1829,2004,3245,-
16,2020-05-05,1271,1396,2394,-
17,2020-05-05,850,881,1825,-
18,2020-05-05,429,530,1045,-
10,2020-05-12,16,62,11,-
11,2020-05-12,79,274,45,-
12,2020-05-12,302,988,212,-
13,2020-05-12,842,1972,961,-
14,2020-05-12,1923,2380,2965,-
15,2020-05-12,1873,2117,3347,-
16,2020-05-12,1337,1471,2472,-
17,2020-05-12,929,944,2015,-
18,2020-05-12,468,608,1139,-
19,2020-05-12,366,385,723,-

33,2020-12-1,98,176,112,639
34,2020-12-1,98,202,92,583
35,2020-12-1,91,183,182,541
36,2020-12-1,84,183,105,569
37,2020-12-1,120,239,224,591
38,2020-12-1,153,309,274,738
39,2020-12-1,183,301,253,900
40,2020-12-1,246,421,407,1040
41,2020-12-1,330,610,673,1272
42,2020-12-1,491,878,955,1462
43,2020-12-1,866,1392,1581,2115
44,2020-12-1,1137,1743,2080,2803
45,2020-12-1,1250,1988,2283,3478
46,2020-12-1,1426,1896,2790,3387
47,2020-12-1,1742,2122,3536,3317
48,2020-12-1,1433,1602,3023,2516
11,2020-12-8,82,307,59,159
12,2020-12-8,321,1231,243,332
13,2020-12-8,962,2305,1178,407
14,2020-12-8,2111,2769,3272,375
15,2020-12-8,2082,2446,3681,245
16,2020-12-8,1495,1649,2730,184
17,2020-12-8,992,1101,2243,143
18,2020-12-8,507,700,1262,120
19,2020-12-8,420,507,916,97
20,2020-12-8,313,291,723,113
21,2020-12-8,229,229,639,88
22,2020-12-8,165,168,336,127
23,2020-12-8,88,90,168,158
24,2020-12-8,49,67,190,158
25,2020-12-8,58,58,236,290
26,2020-12-8,42,81,151,213
27,2020-12-8,58,90,165,174
28,2020-12-8,49,49,142,165
29,2020-12-8,58,99,135,229
30,2020-12-8,65,128,126,222
31,2020-12-8,58,135,135,258
32,2020-12-8,87,106,158,426
33,2020-12-8,96,174,112,638
34,2020-12-8,94,203,90,583
35,2020-12-8,96,181,180,545
36,2020-12-8,80,183,103,576
37,2020-12-8,119,251,235,599
38,2020-12-8,158,328,274,751
39,2020-12-8,180,312,251,915
40,2020-12-8,242,421,405,1038
41,2020-12-8,326,612,669,1277
42,2020-12-8,487,876,960,1463
43,2020-12-8,860,1402,1586,2134
44,2020-12-8,1154,1780,2125,2853
45,2020-12-8,1283,2034,2357,3561
46,2020-12-8,1454,1948,2842,3477
47,2020-12-8,1802,2212,3718,3447
48,2020-12-8,1795,2005,3625,3154
49,2020-12-8,1686,2002,3904,2398
11,2020-12-15,82,310,60,165
12,2020-12-15,323,1235,12,244,336
13,2020-12-15,972,2302,13,1178,415
14,2020-12-15,2118,2767,14,3271,380
15,2020-12-15,2087,2451,15,3692,244
16,2020-12-15,1494,1653,16,2736,187
17,2020-12-15,1004,1108,17,2245,149
18,2020-12-15,513,709,18,1270,117
19,2020-12-15,418,507,19,928,104
20,2020-12-15,320,301,20,719,117
21,2020-12-15,231,231,21,643,98
22,2020-12-15,165,174,22,332,130
23,2020-12-15,95,95,23,174,165
24,2020-12-15,63,70,24,199,165
25,2020-12-15,60,60,25,244,301
26,2020-12-15,47,82,26,152,222
27,2020-12-15,60,95,27,161,187
28,2020-12-15,47,47,28,152,174
29,2020-12-15,60,104,29,142,231
30,2020-12-15,73,130,30,127,222
31,2020-12-15,60,139,31,139,266
32,2020-12-15,92,108,32,161,437
33,2020-12-15,95,174,33,117,643
34,2020-12-15,104,209,34,95,586
35,2020-12-15,95,187,35,187,551
36,2020-12-15,82,187,36,108,573
37,2020-12-15,127,253,37,244,608
38,2020-12-15,165,332,38,275,766
39,2020-12-15,196,332,39,266,940
40,2020-12-15,253,443,40,427,1064
41,2020-12-15,332,614,41,678,1279
42,2020-12-15,513,925,42,994,1510
43,2020-12-15,868,1415,43,1596,2144
44,2020-12-15,1175,1811,44,2144,2894
45,2020-12-15,1323,2096,45,2428,3647
46,2020-12-15,1517,2042,46,2919,3609
47,2020-12-15,1890,2368,47,3815,3524
48,2020-12-15,1925,2118,48,3951,3271
49,2020-12-15,2118,2463,49,4819,2941
50,2020-12-15,2166,2701,50,4930,2599
13,2020-12-22,932,2257,248,332
14,2020-12-22,2048,2745,1124,404
15,2020-12-22,2082,2454,3144,384
16,2020-12-22,1514,1683,3662,252
17,2020-12-22,1018,1114,2776,200
18,2020-12-22,534,717,2264,156
19,2020-12-22,437,521,1311,132
20,2020-12-22,330,317,942,104
21,2020-12-22,259,240,734,116
22,2020-12-22,174,184,653,104
23,2020-12-22,95,96,354,132
24,2020-12-22,40,76,208,167
25,2020-12-22,40,64,202,172
26,2020-12-22,40,84,232,296
27,2020-12-22,45,84,160,225
28,2020-12-22,40,48,147,181
29,2020-12-22,51,93,124,168
30,2020-12-22,72,92,140,235
31,2020-12-22,64,102,128,224
32,2020-12-22,80,108,140,260
33,2020-12-22,80,180,164,426
34,2020-12-22,80,208,118,643
35,2020-12-22,102,224,96,596
36,2020-12-22,76,198,180,556
37,2020-12-22,128,275,104,580
38,2020-12-22,168,341,244,606
39,2020-12-22,192,328,274,762
40,2020-12-22,261,465,264,934
41,2020-12-22,352,627,432,1071
42,2020-12-22,530,920,687,1342
43,2020-12-22,895,1437,999,1521
44,2020-12-22,1171,1809,1638,2210
45,2020-12-22,1335,2098,2149,2913
46,2020-12-22,1551,2098,2454,3667
47,2020-12-22,1939,2435,2988,3686
48,2020-12-22,2054,2291,3903,3594
49,2020-12-22,2395,2752,4150,3373
50,2020-12-22,2682,3355,5217,3152
51,2020-12-22,2408,3106,6062,3277
10,2020-12-29,16,77,56,23
11,2020-12-29,80,283,234,147
12,2020-12-29,300,1213,1177,316
