Vollständig geimpfte und ungeimpfte symptomatische COVID-19-Fälle pro 100.000 Geimpfte/Ungeimpfte, nach Altersgruppe ;;;;;;
;;;;;;
;;;;;;
Meldewoche;Ungeimpfte 12-17 Jahre;Vollständig Geimpfte  12-17 Jahre;Ungeimpfte 18-59 Jahre;Vollständig Geimpfte  18-59 Jahre;Ungeimpfte 60+ Jahre;Vollständig Geimpfte 60+ Jahre
28;11.7;9.2;15.5;4.5;3.6;0.8
29;18.6;6.6;23.8;6.0;5.1;0.9
30;22.9;7.5;31.0;6.8;8.1;1.7
31;35.9;6.1;41.8;8.7;9.5;2.0
32;58.8;6.9;67.7;12.8;15.3;3.4
33;109.4;11.6;100.4;17.3;20.4;4.2
34;139.9;10.2;130.5;21.7;30.7;6.2
35;166.9;10.7;135.0;23.9;37.2;8.2
36;157.5;10.8;129.5;25.0;42.3;9.3
37;149.9;10.7;109.7;22.6;40.2;9.4
38;131.0;8.4;93.2;21.2;35.9;9.3
39;145.2;10.7;97.3;26.3;38.2;12.4
40;145.7;9.1;103.8;29.1;47.5;14.4
41;162.6;12.1;117.5;35.0;53.1;16.7
42;218.0;16.6;168.0;54.1;82.0;28.7
43;296.9;25.4;210.6;71.6;103.4;41.5
44;301.1;25.9;233.9;83.4;127.7;48.9
45;401.4;42.0;269.6;97.0;152.0;57.2
46;380.3;41.0;248.8;99.6;135.1;55.2
