Vollständig geimpfte und ungeimpfte symptomatische COVID-19-Fälle pro 100.000 Geimpfte/Ungeimpfte, nach Altersgruppe ;;;;;;;
;;;;;;;
;;;;;;;
Meldejahr;Meldewoche;Ungeimpfte 12-17 Jahre;Vollständig Geimpfte  12-17 Jahre;Ungeimpfte 18-59 Jahre;Vollständig Geimpfte  18-59 Jahre;Ungeimpfte 60+ Jahre;Vollständig Geimpfte 60+ Jahre
2021;28;--;--;15.6;4.5;3.6;0.8
2021;29;--;--;23.8;5.9;5.1;0.9
2021;30;--;--;31.0;6.8;8.1;1.7
2021;31;--;--;41.9;8.7;9.5;2.0
2021;32;58.8;6.9;67.8;12.8;15.4;3.4
2021;33;109.4;11.6;100.7;17.2;20.5;4.2
2021;34;140.0;10.2;130.9;21.7;30.9;6.2
2021;35;167.3;10.7;135.4;23.9;37.3;8.2
2021;36;157.7;10.8;129.9;25.0;42.5;9.4
2021;37;150.3;10.7;110.1;22.6;40.4;9.4
2021;38;131.2;8.4;93.5;21.3;36.0;9.3
2021;39;145.8;10.9;97.8;26.4;38.4;12.5
2021;40;146.3;9.2;104.5;29.2;47.7;14.5
2021;41;164.3;12.6;118.6;35.2;53.8;16.9
2021;42;222.7;17.1;172.0;55.0;83.8;29.2
2021;43;305.1;26.2;218.4;73.6;108.2;43.0
2021;44;312.0;26.8;243.6;86.9;131.8;50.8
2021;45;432.2;45.0;288.7;104.8;161.3;61.5
2021;46;447.3;47.3;299.3;117.3;162.3;66.0
2021;47;438.0;48.4;302.4;111.5;170.9;60.2
2021;48;379.1;42.7;253.8;87.6;151.7;43.4
