Symptomatische COVID-19-Fälle pro 100.000, nach Impstatus und Altersgruppe ;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
Meldejahr;Meldewoche;Ungeimpfte 12-17 Jahre;Grundimmunisierte  12-17 Jahre;Ungeimpfte 18-59 Jahre;Grundimmunisierte  18-59 Jahre;Mit Auffrischimpfung 18-59 Jahre;Ungeimpfte 60+ Jahre;Grundimmunisierte 60+ Jahre;Mit Auffrischimpfung 60+ Jahre
2021;28;--;--;15.6;4.5;--;3.6;0.8;--
2021;29;--;--;23.8;5.9;--;5.1;0.9;--
2021;30;--;--;31.0;6.8;--;8.1;1.7;--
2021;31;--;--;41.9;8.7;--;9.5;2.0;--
2021;32;58.7;6.9;67.9;12.8;--;15.4;3.4;--
2021;33;109.3;11.6;100.8;17.2;--;20.5;4.2;--
2021;34;139.8;10.2;131.0;21.6;--;30.9;6.2;--
2021;35;167.0;11.0;135.5;23.9;--;37.5;8.2;--
2021;36;157.4;10.9;129.9;25.0;--;42.6;9.4;--
2021;37;150.2;10.8;110.2;22.6;--;40.5;9.5;--
2021;38;131.1;8.5;93.5;21.4;--;36.1;9.5;--
2021;39;145.6;11.0;97.9;26.5;--;38.5;12.7;--
2021;40;146.0;9.2;104.6;29.3;--;47.9;14.9;--
2021;41;164.1;12.7;118.8;35.5;--;54.0;17.5;--
2021;42;223.6;17.2;172.7;55.6;26.3;84.4;30.5;11.2
2021;43;306.8;26.6;220.1;74.7;41.2;109.2;45.2;13.5
2021;44;317.3;27.5;250.1;89.7;37.2;136.2;55.6;16.1
2021;45;440.9;46.4;295.1;109.5;51.0;165.3;68.4;16.8
2021;46;466.7;50.3;311.4;126.6;54.7;168.6;77.4;20.7
2021;47;466.2;51.5;324.2;124.4;52.2;186.3;76.4;22.2
2021;48;427.2;49.7;287.6;109.8;41.5;174.1;63.8;17.4
2021;49;363.0;44.1;240.7;88.7;30.3;153.9;51.3;12.8
