Symptomatische COVID-19-Fälle pro 100.000, nach Impstatus und Altersgruppe ;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
Meldejahr;Meldewoche;Ungeimpfte 12-17 Jahre;Grundimmunisierte  12-17 Jahre;Mit Auffrischimpfung 12-17 Jahre;Ungeimpfte 18-59 Jahre;Grundimmunisierte  18-59 Jahre;Mit Auffrischimpfung 18-59 Jahre;Ungeimpfte 60+ Jahre;Grundimmunisierte 60+ Jahre;Mit Auffrischimpfung 60+ Jahre
2021;28;--;--;--;15.6;4.5;--;3.7;0.8;--
2021;29;--;--;--;23.8;5.9;--;5.1;0.9;--
2021;30;--;--;--;31.1;6.8;--;8.1;1.7;--
2021;31;--;--;--;42.1;8.7;--;9.6;2.0;--
2021;32;58.9;7.0;--;68.1;12.9;--;15.5;3.4;--
2021;33;109.7;12.5;--;101.2;17.3;--;20.7;4.2;--
2021;34;139.9;10.2;--;131.3;21.7;--;31.1;6.2;--
2021;35;167.4;11.2;--;136.1;24.0;--;37.6;8.2;--
2021;36;158.7;11.1;--;130.9;25.2;--;42.8;9.4;--
2021;37;151.1;11.0;--;111.2;22.8;--;41.0;9.6;--
2021;38;131.8;8.6;--;94.4;21.6;--;36.4;9.6;--
2021;39;146.7;11.1;--;98.9;26.9;--;38.9;12.9;--
2021;40;147.4;9.4;--;105.7;29.6;--;48.4;15.0;--
2021;41;165.5;12.9;--;120.0;36.0;--;54.5;17.7;--
2021;42;228.2;17.7;--;177.0;57.1;29.6;86.6;31.2;11.5
2021;43;318.5;28.0;--;227.6;77.2;44.1;112.2;46.8;13.5
2021;44;340.4;29.5;--;267.9;94.9;44.3;144.5;59.3;16.7
2021;45;491.9;50.9;--;327.9;119.9;58.4;181.5;76.1;17.9
2021;46;536.4;55.1;--;356.5;142.9;62.7;194.7;87.3;22.4
2021;47;542.8;59.0;--;380.4;142.3;63.5;218.5;88.2;24.9
2021;48;506.0;56.9;20.0;347.1;127.8;48.7;210.0;74.5;20.2
2021;49;453.8;54.4;16.3;301.7;111.0;38.6;194.4;64.6;15.8
2021;50;376.4;49.6;10.9;250.5;95.4;29.0;159.3;49.6;11.1
2021;51;236.1;46.3;10.4;168.8;78.6;28.2;112.6;36.0;9.4
2021;52;212.4;71.0;24.4;173.7;112.9;46.7;110.0;42.3;16.0
2022;1;278.2;152.5;71.3;194.7;186.1;91.5;107.9;55.3;22.5
2022;2;348.0;212.9;96.5;183.2;186.7;94.9;76.5;47.0;22.8
2022;3;444.2;231.2;79.0;222.4;206.1;111.2;81.4;52.6;26.6
2022;4;530.9;250.6;85.2;251.3;206.7;116.2;89.6;52.6;28.6
2022;5;536.9;249.3;79.4;266.3;205.0;118.8;110.0;55.1;31.7
2022;6;482.1;256.5;93.2;255.9;221.6;137.2;111.7;64.7;39.2
2022;7;352.4;225.2;97.0;218.8;198.0;135.5;99.2;64.5;41.8
2022;8;297.4;189.9;105.3;194.6;170.5;132.5;94.2;59.1;42.5
2022;9;249.2;169.2;121.8;155.8;161.2;144.1;80.0;55.6;41.3
