Die dem RKI übermittelten COVID-19-Fälle nach Meldewoche und nach Geschlecht sowie Anteile mit für COVID-19 relevanten Symptomen, Anteile Hospitalisierter und Verstorbener für die Meldewochen KW 10 – 49;;;;;;;;;;;
;;;;;;;;;;;
KW;Fälle gesamt;Mittelwert Alter (Jahre);Männer;Frauen;Anzahl mit Angaben zu Symptomen;Anteil keine, bzw. keine für COVID-19 bedeutsamen Symptome;Anzahl mit Angaben zur Hospitalisierung;Anzahl hospitalisiert;Anteil hospitalisiert;Anzahl Verstorben;Anteil Verstorben
10;892;42;53%;47%;832;7.7%;800;162;20%;12;1.35%
11;6,432;45;56%;44%;5,775;5.3%;5,611;519;9%;85;1.32%
12;22,430;45;55%;45%;20,207;3.9%;19,342;2,204;11%;478;2.13%
13;34,024;48;49%;51%;30,851;3.2%;29,454;5,107;17%;1,452;4.27%
14;36,093;51;45%;55%;31,987;5.3%;31,487;6,064;19%;2,248;6.23%
15;27,182;52;44%;56%;23,570;8.3%;24,044;4,709;20%;1,867;6.87%
16;17,354;51;45%;55%;14,859;11.3%;15,500;3,353;22%;1,211;6.98%
17;12,384;50;45%;55%;10,282;13.9%;10,942;2,222;20%;717;5.79%
18;7,441;48;48%;52%;6,239;17.7%;6,591;1,356;21%;377;5.07%
19;6,227;47;48%;52%;5,230;19.7%;5,610;1,068;19%;252;4.05%
20;4,732;45;49%;51%;3,931;23.4%;4,202;733;17%;158;3.34%
21;3,619;43;50%;50%;2,813;26.3%;3,110;508;16%;109;3.01%
22;3,209;42;51%;49%;2,540;23.4%;2,765;417;15%;66;2.06%
23;2,358;39;51%;49%;1,839;23.3%;2,079;311;15%;46;1.95%
24;2,344;37;54%;46%;1,734;24.5%;2,082;283;14%;32;1.37%
25;4,091;36;59%;41%;2,931;25.1%;3,737;317;8%;38;0.93%
26;3,204;37;55%;45%;2,318;23.3%;2,851;291;10%;23;0.72%
27;2,694;36;52%;48%;2,064;26.9%;2,467;258;10%;26;0.97%
28;2,422;36;56%;44%;1,915;24.1%;2,188;251;11%;25;1.03%
29;3,026;36;52%;48%;2,357;22.9%;2,637;317;12%;31;1.02%
30;3,934;36;52%;48%;3,173;27.0%;3,453;332;10%;32;0.81%
31;4,819;36;50%;50%;3,686;24.5%;4,122;384;9%;33;0.68%
32;6,054;34;54%;46%;4,520;30.1%;5,247;397;8%;30;0.50%
33;7,950;32;53%;47%;5,806;33.5%;6,931;423;6%;30;0.38%
34;9,594;32;55%;45%;7,124;34.8%;8,176;420;5%;29;0.30%
35;8,814;32;53%;47%;6,811;30.8%;7,304;361;5%;19;0.22%
36;8,611;33;54%;46%;6,558;27.0%;6,966;391;6%;35;0.41%
37;9,767;35;52%;48%;7,423;20.5%;7,837;452;6%;59;0.60%
38;12,267;36;51%;49%;9,456;18.6%;9,823;646;7%;76;0.62%
39;13,058;37;52%;48%;9,901;18.5%;10,541;736;7%;104;0.80%
40;15,897;38;52%;48%;11,653;17.6%;12,820;799;6%;113;0.71%
41;26,135;39;51%;49%;18,522;16.6%;20,378;1445;7%;225;0.86%
42;42,016;39;51%;49%;28,231;15.9%;31,566;2115;7%;420;1.00%
43;74,764;40;50%;50%;46,236;15.3%;53,367;3712;7%;858;1.15%
44;111,116;41;50%;50%;65,109;15.5%;75,589;5235;7%;1297;1.17%
45;125,747;41;49%;51%;71,565;14.8%;81,894;5937;7%;1426;1.13%
46;127,736;42;48%;52%;71,147;14.8%;82,259;6329;8%;1733;1.36%
47;128,451;43;47%;53%;71,976;14.8%;81,609;6519;8%;1794;1.40%
48;123,196;44;47%;53%;65,567;15.4%;75,932;6138;8%;1228;1.00%
49;126,427;45;46%;54%;56,263;15.0%;69,368;5161;7%;526;0.42%
