Die dem RKI übermittelten COVID-19-Fälle nach Meldewoche und nach Geschlecht sowie Anteile mit für COVID-19 relevanten Symptomen, Anteile Hospitalisierter und Verstorbener für die Meldewochen KW 10 – 49;;;;;;;;;;;;;
KW;Fälle gesamt;Mittelwert Alter (Jahre);Männer;Frauen;Anzahl mit Angaben zu Symptomen;Anteil keine, bzw. keine für COVID-19 bedeutsamen Symptome;Anzahl mit Angaben zur Hospitalisierung;Anzahl hospitalisiert;Anteil hospitalisiert;Anzahl Verstorben;Anteil Verstorben
10;893;42;54%;46%;832;7.7%;800;162;20%;12;1.34%
11;6,435;45;56%;44%;5,777;5.3%;5,612;519;9%;85;1.32%
12;22,430;45;55%;45%;20,207;3.9%;19,342;2,204;11%;478;2.13%
13;34,025;48;49%;51%;30,850;3.2%;29,454;5,108;17%;1,453;4.27%
14;36,094;51;45%;55%;31,986;5.3%;31,487;6,065;19%;2,250;6.23%
15;27,183;52;44%;56%;23,571;8.3%;24,046;4,711;20%;1,869;6.88%
16;17,354;51;45%;55%;14,859;11.3%;15,504;3,356;22%;1,212;6.98%
17;12,384;50;45%;55%;10,283;14.0%;10,951;2,224;20%;717;5.79%
18;7,442;48;48%;52%;6,239;17.7%;6,593;1,358;21%;378;5.08%
19;6,227;47;48%;52%;5,230;19.7%;5,610;1,069;19%;252;4.05%
20;4,734;45;49%;51%;3,933;23.3%;4,205;733;17%;159;3.36%
21;3,618;43;50%;50%;2,820;26.3%;3,111;508;16%;109;3.01%
22;3,209;42;51%;49%;2,540;23.4%;2,765;416;15%;66;2.06%
23;2,359;39;51%;49%;1,838;23.2%;2,081;310;15%;45;1.91%
24;2,344;37;54%;46%;1,735;24.5%;2,083;283;14%;32;1.37%
25;4,093;36;59%;41%;2,934;25.1%;3,738;317;8%;38;0.93%
26;3,203;37;55%;45%;2,316;23.3%;2,849;290;10%;23;0.72%
27;2,693;36;52%;48%;2,062;26.8%;2,466;257;10%;26;0.97%
28;2,423;36;56%;44%;1,922;24.0%;2,189;251;11%;25;1.03%
29;3,025;36;52%;48%;2,358;22.9%;2,636;317;12%;31;1.02%
30;3,934;36;52%;48%;3,173;27.0%;3,453;332;10%;32;0.81%
31;4,820;36;50%;50%;3,686;24.4%;4,126;383;9%;32;0.66%
32;6,051;34;54%;46%;4,515;30.0%;5,245;396;8%;30;0.50%
33;7,952;32;53%;47%;5,807;33.5%;6,932;423;6%;30;0.38%
34;9,592;32;55%;45%;7,126;34.8%;8,175;420;5%;29;0.30%
35;8,813;32;53%;47%;6,811;30.9%;7,303;361;5%;19;0.22%
36;8,610;33;54%;46%;6,564;27.0%;6,966;391;6%;35;0.41%
37;9,766;35;52%;48%;7,483;20.5%;7,875;459;6%;60;0.61%
38;12,268;36;51%;49%;9,530;18.6%;9,860;651;7%;76;0.62%
39;13,053;37;52%;48%;10,126;18.4%;10,643;747;7%;105;0.80%
40;15,906;38;52%;48%;12,082;17.5%;13,136;846;6%;115;0.72%
41;26,143;39;51%;49%;18,602;16.6%;20,447;1456;7%;227;0.87%
42;42,027;39;51%;49%;28,994;15.8%;32,137;2187;7%;424;1.01%
43;74,757;40;50%;50%;46,448;15.3%;53,487;3737;7%;879;1.18%
44;111,134;41;50%;50%;65,787;15.5%;76,141;5289;7%;1371;1.23%
45;125,742;41;49%;51%;72,777;14.8%;83,152;6032;7%;1537;1.22%
46;127,759;42;48%;52%;72,745;14.7%;83,596;6506;8%;1956;1.53%
47;128,472;43;47%;53%;73,756;14.8%;83,009;6817;8%;2215;1.72%
48;123,366;44;47%;53%;68,322;15.4%;78,213;6741;9%;1933;1.57%
49;128,163;45;46%;54%;68,034;14.5%;78,478;6696;9%;1441;1.12%
50;151,864;46;45%;55%;67,560;15.6%;82,450;6037;7%;647;0.43%
