"Die dem RKI übermittelten COVID-19-Fälle nach Meldewoche und nach Geschlecht sowie Anteile mit für COVID-19 relevanten Symptomen, Anteile Hospitalisierter und Verstorbener für die Meldewochen KW 10 – 53/2020 und KW 01 - 04/2021";;;;;;;;;;;;
Meldejahr;MW;Fälle gesamt;Mittelwert Alter (Jahre);Männer;Frauen;Anzahl mit Angaben zu Symptomen;Anteil keine, bzw. keine für COVID-19 bedeutsamen Symptome;Anzahl mit Angaben zur Hospitalisierung;Anzahl hospitalisiert;Anteil hospitalisiert;Anzahl Verstorben;Anteil Verstorben
2020;10;895;43;53%;47%;835;7.8%;802;162;20%;12;1.34%
2020;11;6,431;45;56%;44%;5,776;5.3%;5,614;523;9%;85;1.32%
2020;12;22,436;45;55%;45%;20,204;3.9%;19,347;2,208;11%;477;2.13%
2020;13;34,021;48;50%;50%;30,867;3.2%;29,479;5,127;17%;1,463;4.30%
2020;14;36,097;51;45%;55%;32,031;5.3%;31,522;6,075;19%;2,259;6.26%
2020;15;27,189;52;44%;56%;23,602;8.3%;24,067;4,713;20%;1,873;6.89%
2020;16;17,370;51;45%;55%;14,878;11.3%;15,521;3,366;22%;1,218;7.01%
2020;17;12,381;50;45%;55%;10,296;13.9%;10,967;2,233;20%;718;5.80%
2020;18;7,456;48;48%;52%;6,258;17.6%;6,606;1,359;21%;383;5.14%
2020;19;6,236;47;48%;52%;5,246;19.6%;5,623;1,076;19%;254;4.07%
2020;20;4,754;45;49%;51%;3,957;23.1%;4,226;739;17%;162;3.41%
2020;21;3,620;43;50%;50%;2,836;26.3%;3,120;511;16%;111;3.07%
2020;22;3,210;42;52%;48%;2,549;23.2%;2,771;417;15%;66;2.06%
2020;23;2,359;39;51%;49%;1,841;23.2%;2,083;309;15%;45;1.91%
2020;24;2,343;37;54%;46%;1,740;24.4%;2,085;285;14%;32;1.37%
2020;25;4,131;36;59%;41%;2,937;25.1%;3,775;318;8%;40;0.97%
2020;26;3,213;37;55%;45%;2,323;23.4%;2,864;295;10%;23;0.72%
2020;27;2,695;36;52%;48%;2,062;26.8%;2,470;259;10%;26;0.96%
2020;28;2,427;36;56%;44%;1,923;24.1%;2,193;255;12%;25;1.03%
2020;29;3,025;36;52%;48%;2,364;22.9%;2,638;317;12%;30;0.99%
2020;30;3,941;36;52%;48%;3,185;27.0%;3,461;333;10%;33;0.84%
2020;31;4,823;36;50%;50%;3,704;24.5%;4,147;387;9%;32;0.66%
2020;32;6,062;34;54%;46%;4,548;30.0%;5,274;397;8%;31;0.51%
2020;33;7,959;32;53%;47%;5,838;33.1%;6,980;435;6%;30;0.38%
2020;34;9,602;32;55%;45%;7,191;34.4%;8,253;432;5%;30;0.31%
2020;35;8,822;32;53%;47%;6,859;30.7%;7,377;365;5%;20;0.23%
2020;36;8,625;33;54%;46%;6,649;26.9%;7,052;395;6%;36;0.42%
2020;37;9,775;35;52%;48%;7,587;20.2%;8,004;463;6%;65;0.66%
2020;38;12,295;36;51%;49%;9,721;18.7%;10,018;673;7%;79;0.64%
2020;39;13,078;37;52%;48%;10,328;18.3%;10,814;768;7%;108;0.83%
2020;40;15,930;38;52%;48%;12,550;17.5%;13,419;871;6%;121;0.76%
2020;41;26,155;39;51%;49%;19,927;16.5%;21,413;1573;7%;235;0.90%
2020;42;42,097;39;51%;49%;30,395;15.9%;33,315;2293;7%;453;1.08%
2020;43;74,864;40;50%;50%;50,731;15.6%;56,759;4003;7%;961;1.28%
2020;44;111,149;41;50%;50%;72,686;15.9%;81,956;5746;7%;1538;1.38%
2020;45;125,817;41;49%;51%;80,931;15.3%;89,823;6542;7%;1793;1.43%
2020;46;127,872;42;48%;52%;81,209;14.8%;91,211;7190;8%;2371;1.85%
2020;47;128,501;43;47%;53%;81,428;14.8%;90,562;7650;8%;2989;2.33%
2020;48;123,332;44;47%;53%;77,254;15.4%;86,331;7905;9%;3294;2.67%
2020;49;128,481;45;46%;54%;80,050;14.3%;88,414;8476;10%;4091;3.18%
2020;50;156,473;46;45%;55%;97,929;14.7%;106,846;10332;10%;5159;3.30%
2020;51;175,062;46;45%;55%;107,455;14.6%;117,039;11367;10%;5724;3.27%
2020;52;139,328;48;45%;55%;83,446;15.6%;93,164;10047;11%;4960;3.56%
2020;53;123,296;49;44%;56%;76,262;13.4%;84,461;9875;12%;4740;3.84%
2021;1;145,635;48;45%;55%;91,507;13.5%;98,595;9733;10%;4373;3.00%
2021;2;119,135;48;45%;55%;72,473;16.0%;80,176;8338;10%;3146;2.64%
2021;3;95,779;48;46%;54%;57,714;15.9%;65,376;6859;10%;1714;1.79%
2021;4;78,124;48;46%;54%;43,641;16.1%;51,281;4868;9%;524;0.67%
