Die dem RKI übermittelte COVID-19-Fälle nach Meldewoche und  Geschlecht sowie Anteile mit für COVID-19 relevanten Symptomen, Anteile Hospitalisierter und Verstorbener für die Meldewochen KW 10 – 53/2020 und KW 01 - 05/2021;;;;;;;;;;;;
Meldejahr;MW;Fälle gesamt;Mittelwert Alter (Jahre);Männer;Frauen;Anzahl mit Angaben zu Symptomen;Anteil keine, bzw. keine für COVID-19 bedeutsamen Symptome;Anzahl mit Angaben zur Hospitalisierung;Anzahl hospitalisiert;Anteil hospitalisiert;Anzahl Verstorben;Anteil Verstorben
2020;10;894;43;53%;47%;834;7.8%;801;162;20%;12;1.34%
2020;11;6,429;45;56%;44%;5,775;5.3%;5,614;523;9%;85;1.32%
2020;12;22,438;45;55%;45%;20,205;3.9%;19,353;2,211;11%;477;2.13%
2020;13;34,015;48;49%;51%;30,864;3.2%;29,475;5,130;17%;1,464;4.30%
2020;14;36,096;51;45%;55%;32,041;5.4%;31,524;6,076;19%;2,259;6.26%
2020;15;27,188;52;44%;56%;23,601;8.4%;24,066;4,721;20%;1,875;6.90%
2020;16;17,371;51;45%;55%;14,880;11.4%;15,524;3,374;22%;1,218;7.01%
2020;17;12,381;50;45%;55%;10,299;14.0%;10,968;2,238;20%;717;5.79%
2020;18;7,446;48;48%;52%;6,261;17.6%;6,599;1,359;21%;384;5.16%
2020;19;6,237;47;48%;52%;5,246;19.6%;5,624;1,079;19%;254;4.07%
2020;20;4,755;45;49%;51%;3,958;23.1%;4,226;741;18%;162;3.41%
2020;21;3,620;43;50%;50%;2,836;26.3%;3,120;511;16%;112;3.09%
2020;22;3,208;42;52%;48%;2,548;23.2%;2,769;417;15%;66;2.06%
2020;23;2,360;39;51%;49%;1,841;23.1%;2,083;309;15%;45;1.91%
2020;24;2,343;37;54%;46%;1,742;24.4%;2,085;286;14%;32;1.37%
2020;25;4,131;36;59%;41%;2,937;25.1%;3,775;319;8%;40;0.97%
2020;26;3,213;37;55%;45%;2,323;23.3%;2,864;295;10%;23;0.72%
2020;27;2,696;36;52%;48%;2,064;26.7%;2,470;259;10%;26;0.96%
2020;28;2,427;36;56%;44%;1,924;24.0%;2,193;255;12%;25;1.03%
2020;29;3,025;36;52%;48%;2,365;23.0%;2,639;318;12%;30;0.99%
2020;30;3,939;36;52%;48%;3,185;27.0%;3,460;333;10%;33;0.84%
2020;31;4,823;36;50%;50%;3,704;24.5%;4,147;387;9%;32;0.66%
2020;32;6,061;34;54%;46%;4,548;30.1%;5,277;399;8%;31;0.51%
2020;33;7,960;32;53%;47%;5,845;33.2%;6,984;438;6%;30;0.38%
2020;34;9,601;32;55%;45%;7,199;34.5%;8,254;433;5%;30;0.31%
2020;35;8,822;32;53%;47%;6,861;30.7%;7,381;365;5%;20;0.23%
2020;36;8,626;33;54%;46%;6,655;27.0%;7,056;395;6%;36;0.42%
2020;37;9,777;35;52%;48%;7,591;20.2%;8,010;463;6%;65;0.66%
2020;38;12,298;36;51%;49%;9,738;18.6%;10,021;673;7%;79;0.64%
2020;39;13,078;37;52%;48%;10,344;18.3%;10,816;770;7%;108;0.83%
2020;40;15,933;38;52%;48%;12,561;17.5%;13,426;872;6%;121;0.76%
2020;41;26,154;39;51%;49%;19,982;16.5%;21,439;1576;7%;237;0.91%
2020;42;42,098;39;51%;49%;30,538;15.9%;33,461;2303;7%;453;1.08%
2020;43;74,872;40;50%;50%;51,146;15.5%;57,208;4037;7%;973;1.30%
2020;44;111,173;41;50%;50%;73,628;15.8%;82,677;5800;7%;1557;1.40%
2020;45;125,830;41;49%;51%;81,675;15.3%;90,402;6589;7%;1814;1.44%
2020;46;127,897;42;48%;52%;82,273;14.8%;91,995;7258;8%;2405;1.88%
2020;47;128,503;43;47%;53%;82,810;14.8%;91,684;7741;8%;3036;2.36%
2020;48;123,351;44;47%;53%;78,336;15.5%;87,137;7975;9%;3355;2.72%
2020;49;128,508;45;46%;54%;82,296;14.2%;90,187;8661;10%;4167;3.24%
2020;50;156,495;46;45%;55%;100,144;14.6%;108,468;10505;10%;5279;3.37%
2020;51;175,072;46;45%;55%;109,779;14.5%;118,335;11564;10%;5901;3.37%
2020;52;139,432;48;45%;55%;85,508;15.6%;94,453;10243;11%;5159;3.70%
2020;53;123,372;49;44%;56%;78,160;13.3%;85,518;10086;12%;5013;4.06%
2021;1;145,701;48;45%;55%;93,416;13.4%;99,829;10043;10%;4836;3.32%
2021;2;119,233;48;45%;55%;74,302;16.0%;81,646;8781;11%;3880;3.25%
2021;3;95,768;48;46%;54%;60,577;16.0%;67,489;7526;11%;2581;2.70%
2021;4;78,515;48;46%;54%;48,960;16.0%;55,670;5946;11%;1234;1.57%
2021;5;64,440;46;47%;53%;36,085;16.3%;43,062;4173;10%;377;0.59%
