;Die dem RKI übermittelten COVID-19-Fälle nach Meldewoche und  Geschlecht sowie Anteile mit für COVID-19 relevanten Symptomen, Anteile Hospitalisierter und Verstorbener für die Meldewochen KW 10 – 53/2020 und KW 01 - 18/2021;;;;;;;;;;;
Meldejahr;MW;Fälle gesamt;Mittelwert Alter (Jahre);Männer;Frauen;Anzahl mit Angaben zu Symptomen;Anteil keine, bzw. keine für COVID-19 bedeutsamen Symptome;Anzahl mit Angaben zur Hospitalisierung;Anzahl hospitalisiert;Anteil hospitalisiert;Anzahl Verstorben;Anteil Verstorben
2020;10;897;43;53%;47%;836;8.4%;809;165;20%;12;1.34%
2020;11;6,429;45;56%;44%;5,764;5.3%;5,631;532;9%;84;1.31%
2020;12;22,407;45;55%;45%;20,150;3.9%;19,376;2,230;12%;474;2.12%
2020;13;33,971;48;49%;51%;30,826;3.3%;29,536;5,146;17%;1,458;4.29%
2020;14;36,054;51;45%;55%;32,036;5.6%;31,618;6,091;19%;2,258;6.26%
2020;15;27,155;52;43%;57%;23,585;8.5%;24,153;4,732;20%;1,877;6.91%
2020;16;17,340;51;45%;55%;14,878;11.5%;15,527;3,379;22%;1,218;7.02%
2020;17;12,359;50;45%;55%;10,280;14.0%;10,991;2,244;20%;723;5.85%
2020;18;7,439;48;48%;52%;6,263;17.6%;6,611;1,366;21%;387;5.20%
2020;19;6,239;47;48%;52%;5,251;19.7%;5,631;1,082;19%;257;4.12%
2020;20;4,761;45;50%;50%;3,946;23.2%;4,243;763;18%;164;3.44%
2020;21;3,600;44;50%;50%;2,834;26.4%;3,118;513;16%;113;3.14%
2020;22;3,206;42;52%;48%;2,549;23.3%;2,770;422;15%;65;2.03%
2020;23;2,351;39;51%;49%;1,838;23.2%;2,080;308;15%;45;1.91%
2020;24;2,341;37;54%;46%;1,743;24.4%;2,087;288;14%;33;1.41%
2020;25;4,126;36;59%;41%;2,939;25.1%;3,772;319;8%;41;0.99%
2020;26;3,211;37;55%;45%;2,330;23.3%;2,863;296;10%;23;0.72%
2020;27;2,690;36;52%;48%;2,066;26.7%;2,463;260;11%;26;0.97%
2020;28;2,426;36;56%;44%;1,934;23.9%;2,193;256;12%;25;1.03%
2020;29;3,016;36;52%;48%;2,361;23.0%;2,647;317;12%;30;0.99%
2020;30;3,929;36;52%;48%;3,177;27.2%;3,478;334;10%;33;0.84%
2020;31;4,823;36;50%;50%;3,715;24.5%;4,175;389;9%;32;0.66%
2020;32;6,055;34;54%;46%;4,550;30.0%;5,286;398;8%;31;0.51%
2020;33;7,950;32;53%;47%;5,853;33.2%;7,009;438;6%;30;0.38%
2020;34;9,591;32;55%;45%;7,211;34.5%;8,310;435;5%;30;0.31%
