Die dem RKI übermittelten COVID-19-Fälle nach Meldewoche und  Altersmedian/-mittelwert für Hospitalisierte, Intensivstation und Verstorbeneass für die Meldewochen KW 10 – 53/2020 und KW 01 - 20/2021;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Meldejahr;Meldewoche;Altersmedian alle COVID-19-Fälle;Altersmedian hospitalisierte Fälle;Altersmedian der Fälle auf Intensivstation;Altersmedian der verstorbenen COVID-19-Fälle;;;Meldejahr;Meldewoche;Anzahl COVID-19-Fälle;Mittelwert Alter alle COVID-19-Fälle;Mittelwert Alter hospitalisierte Fälle;Mittelwert Alter  Fälle auf Intensivstation;Mittelwert Alter der verstorbenen COVID-19-Fälle
2020;10;45;51;69.5;79;;;2020;10;899;43;50;66;77
2020;11;47;58;67;80;;;2020;11;6426;45;57;66;76
2020;12;47;64;69;80;;;2020;12;22404;45;63;67;77
2020;13;49;69;70;80;;;2020;13;33971;48;65;68;78
2020;14;52;72;71;83;;;2020;14;36047;51;68;68;81
2020;15;52;74;71;83;;;2020;15;27155;52;69;69;81
2020;16;52;75;71;83;;;2020;16;17340;51;69;68;81
2020;17;50;75;71;84;;;2020;17;12359;50;67;68;81
2020;18;48;72;70;82;;;2020;18;7439;48;66;68;80
2020;19;46;71;71;82;;;2020;19;6240;47;66;69;81
2020;20;44;71;74;84;;;2020;20;4762;45;64;70;81
2020;21;41;69;72;84;;;2020;21;3599;44;65;72;81
2020;22;40;67.5;70;80;;;2020;22;3205;42;63;65;78
2020;23;36;63;60;80;;;2020;23;2351;39;60;58;77
2020;24;34;59;61.5;83;;;2020;24;2339;37;56;60;77
2020;25;36;55;62.5;76;;;2020;25;4123;36;56;65;75
2020;26;36;57;66;78;;;2020;26;3211;37;56;63;76
2020;27;35;53;66;77.5;;;2020;27;2689;36;54;63;72
2020;28;34;54;63;79;;;2020;28;2427;35;54;60;75
2020;29;34;53;65;81;;;2020;29;3018;36;53;64;77
2020;30;35;56;64;79;;;2020;30;3927;36;54;60;77
2020;31;34;58;59;82.5;;;2020;31;4824;36;57;60;78
2020;32;32;56;72;85;;;2020;32;6055;34;54;68;81
2020;33;30;56;63;83;;;2020;33;7951;32;53;61;81
2020;34;29;51;63;75;;;2020;34;9592;32;50;62;71
2020;35;29;51.5;57.5;76.5;;;2020;35;8820;32;51;58;74
2020;36;30;55;64;78.5;;;2020;36;8615;33;53;64;75
2020;37;32;60;71;81;;;2020;37;9767;35;57;65;78
2020;38;33;60;61;81;;;2020;38;12290;36;59;60;79
2020;39;34;61;68.5;83;;;2020;39;13059;37;59;65;80
2020;40;35;61;68;82;;;2020;40;15920;38;58;66;78
2020;41;37;62;69;82;;;2020;41;26123;39;59;67;80
2020;42;37;65;69;83;;;2020;42;42066;39;61;66;81
2020;43;39;67;72;83;;;2020;43;74807;40;63;68;81
2020;44;40;68;71;83;;;2020;44;111056;41;63;68;80
2020;45;40;70;73;83;;;2020;45;125770;41;64;69;81
2020;46;41;72;73;84;;;2020;46;127832;42;66;70;82
2020;47;42;73;72;84;;;2020;47;128428;43;67;69;82
2020;48;43;73;71;84;;;2020;48;123282;44;67;69;82
2020;49;44;75;73;84;;;2020;49;128448;45;69;70;82
2020;50;45;76;73;84;;;2020;50;156435;46;69;70;82
2020;51;47;76;74;84;;;2020;51;174807;46;69;71;82
2020;52;48;77;73;84;;;2020;52;139081;48;70;71;82
2020;53;49;76;73;84;;;2020;53;123102;49;70;70;82
2021;01;48;77;73;84;;;2021;1;145478;48;70;71;82
2021;02;48;77;75;84;;;2021;2;119111;48;70;72;83
2021;03;49;77;74;84;;;2021;3;95632;48;71;71;82
2021;04;48;76;73;83;;;2021;4;78228;48;70;70;82
2021;05;47;75.5;73;84;;;2021;5;64655;46;69;70;81
2021;06;45;74;73;83;;;2021;6;50842;45;69;70;81
2021;07;44;73;74;82;;;2021;7;52501;44;67;69;80
2021;08;42;71;70;82;;;2021;8;56430;42;66;67;79
2021;09;40;69;68;81;;;2021;9;58469;40;65;66;78
2021;10;39;67;67;80;;;2021;10;71443;39;63;66;77
2021;11;38;65;66;80;;;2021;11;92709;39;62;64;76
2021;12;38;65;67;79;;;2021;12;116509;38;61;65;76
2021;13;39;65;67;79;;;2021;13;110327;39;61;65;76
2021;14;39;63;66;78;;;2021;14;118464;39;60;64;75
2021;15;37;64;67;79;;;2021;15;142337;38;60;65;76
2021;16;37;63;66;79;;;2021;16;145117;37;60;63;75
2021;17;37;62;66;79;;;2021;17;125032;37;60;63;77
2021;18;37;63;67;80;;;2021;18;101195;37;59;64;77
2021;19;36;62;65;81;;;2021;19;70950;37;59;63;78
2021;20;35;63;65;80;;;2021;20;52490;36;58;62;76
2021;21;33;63;44.5;;;;2021;21;1400;35;55;44;
