Die dem RKI übermittelten COVID-19-Fälle nach Meldewoche und  Geschlecht sowie Anteile mit für COVID-19 relevanten Symptomen, Anteile Hospitalisierter und Verstorbener für die Meldewochen KW 10 – 53/2020 und KW 01 - 22/2021;;;;;;;;;;;;
Meldejahr;MW;Fälle gesamt;Mittelwert Alter (Jahre);Männer;Frauen;Anzahl mit Angaben zu Symptomen;Anteil keine, bzw. keine für COVID-19 bedeutsamen Symptome;Anzahl mit Angaben zur Hospitalisierung;Anzahl hospitalisiert;Anteil der Hospitalisierten bei Fällen mit Angabe zur Hospitalisation;Anzahl Verstorben;Anteil Verstorben
2020;10;899;43;53%;47%;836;8.1%;811;165;20%;12;1.33%
2020;11;6,429;45;56%;44%;5,767;5.3%;5,632;531;9%;84;1.31%
2020;12;22,399;45;55%;45%;20,149;3.9%;19,371;2,231;12%;473;2.11%
2020;13;33,971;48;49%;51%;30,826;3.3%;29,535;5,146;17%;1,459;4.29%
2020;14;36,044;51;45%;55%;32,027;5.6%;31,619;6,094;19%;2,260;6.27%
2020;15;27,155;52;43%;57%;23,615;8.5%;24,159;4,735;20%;1,877;6.91%
2020;16;17,337;51;45%;55%;14,875;11.5%;15,525;3,381;22%;1,216;7.01%
2020;17;12,358;50;45%;55%;10,280;14.0%;10,990;2,246;20%;723;5.85%
2020;18;7,439;48;48%;52%;6,260;17.5%;6,613;1,366;21%;387;5.20%
2020;19;6,240;47;48%;52%;5,255;19.6%;5,630;1,081;19%;257;4.12%
2020;20;4,763;45;50%;50%;3,947;23.0%;4,246;766;18%;163;3.42%
2020;21;3,598;44;50%;50%;2,840;26.6%;3,118;513;16%;112;3.11%
2020;22;3,204;42;52%;48%;2,586;24.3%;2,781;421;15%;65;2.03%
2020;23;2,351;39;51%;49%;1,843;23.3%;2,083;308;15%;45;1.91%
2020;24;2,340;37;53%;47%;1,768;25.6%;2,088;288;14%;33;1.41%
2020;25;4,121;36;59%;41%;2,942;25.2%;3,771;319;8%;41;0.99%
2020;26;3,214;37;55%;45%;2,337;23.8%;2,876;298;10%;23;0.72%
2020;27;2,689;36;52%;48%;2,069;26.6%;2,465;262;11%;26;0.97%
2020;28;2,426;35;56%;44%;1,933;24.0%;2,193;256;12%;25;1.03%
2020;29;3,019;36;52%;48%;2,364;22.9%;2,651;320;12%;30;0.99%
2020;30;3,926;36;52%;48%;3,173;27.2%;3,475;333;10%;33;0.84%
2020;31;4,828;36;50%;50%;3,774;25.3%;4,221;391;9%;34;0.70%
2020;32;6,055;34;54%;46%;4,570;30.2%;5,299;398;8%;31;0.51%
2020;33;7,950;32;53%;47%;5,852;33.2%;7,013;439;6%;30;0.38%
2020;34;9,599;32;55%;45%;7,219;34.6%;8,322;436;5%;30;0.31%
2020;35;8,821;32;53%;47%;6,881;30.7%;7,442;368;5%;18;0.20%
2020;36;8,621;33;54%;46%;6,658;27.2%;7,100;400;6%;36;0.42%
2020;37;9,769;35;52%;48%;7,622;20.5%;8,049;468;6%;66;0.68%
2020;38;12,290;36;51%;49%;9,781;18.8%;10,074;676;7%;80;0.65%
2020;39;13,059;37;52%;48%;10,393;18.3%;10,866;776;7%;108;0.83%
2020;40;15,921;38;52%;48%;12,635;17.5%;13,505;879;7%;121;0.76%
2020;41;26,122;39;51%;49%;20,172;16.7%;21,596;1602;7%;242;0.93%
2020;42;42,066;39;51%;49%;31,048;16.1%;33,862;2336;7%;462;1.10%
2020;43;74,815;40;50%;50%;52,690;15.5%;58,357;4126;7%;998;1.33%
2020;44;111,062;41;50%;50%;76,019;15.6%;84,289;5978;7%;1608;1.45%
2020;45;125,770;41;49%;51%;85,843;15.2%;93,145;6868;7%;1872;1.49%
2020;46;127,805;42;48%;52%;86,533;14.9%;95,012;7542;8%;2492;1.95%
2020;47;128,424;43;47%;53%;87,112;14.8%;94,605;8088;9%;3177;2.47%
2020;48;123,254;44;47%;53%;83,187;15.5%;90,701;8343;9%;3548;2.88%
2020;49;128,447;45;46%;54%;88,340;14.2%;95,108;9161;10%;4407;3.43%
2020;50;156,392;46;45%;55%;108,655;14.7%;115,407;11215;10%;5678;3.63%
2020;51;174,799;46;45%;55%;119,859;14.5%;127,549;12509;10%;6347;3.63%
2020;52;139,065;48;44%;56%;93,162;15.9%;101,295;11051;11%;5637;4.05%
2020;53;123,106;49;44%;56%;85,505;13.5%;91,430;10920;12%;5620;4.57%
2021;1;145,490;48;45%;55%;103,749;13.1%;109,032;11093;10%;5613;3.86%
2021;2;119,080;48;45%;55%;83,506;15.8%;89,800;9837;11%;4997;4.20%
2021;3;95,599;48;46%;54%;68,189;15.7%;73,662;8642;12%;3986;4.17%
2021;4;78,191;48;46%;54%;56,282;16.0%;62,036;7340;12%;3034;3.88%
2021;5;64,633;46;47%;53%;47,989;16.0%;52,823;6368;12%;2194;3.39%
2021;6;50,844;45;48%;52%;38,276;16.4%;41,443;5048;12%;1643;3.23%
2021;7;52,468;44;49%;51%;39,863;16.3%;42,931;4955;12%;1438;2.74%
2021;8;56,410;42;50%;50%;42,851;15.8%;45,779;4620;10%;1184;2.10%
2021;9;58,435;40;51%;49%;44,492;15.5%;47,053;4186;9%;1010;1.73%
2021;10;71,409;39;50%;50%;54,170;15.6%;56,525;4644;8%;1067;1.49%
2021;11;92,661;39;50%;50%;70,133;15.3%;73,131;5427;7%;1223;1.32%
2021;12;116,453;38;51%;49%;86,357;15.8%;91,469;6485;7%;1449;1.24%
2021;13;110,197;39;51%;49%;80,057;15.3%;84,782;6409;8%;1486;1.35%
2021;14;118,356;39;51%;49%;86,122;14.0%;91,171;6901;8%;1459;1.23%
2021;15;142,152;38;51%;49%;100,896;16.0%;108,761;7170;7%;1481;1.04%
2021;16;145,006;37;52%;48%;101,735;16.9%;111,010;7208;6%;1393;0.96%
2021;17;124,919;37;52%;48%;87,926;16.9%;94,790;6005;6%;1084;0.87%
2021;18;101,129;37;51%;49%;71,111;16.6%;77,505;4872;6%;777;0.77%
2021;19;70,916;37;51%;49%;49,729;17.1%;54,898;3514;6%;473;0.67%
2021;20;52,823;36;51%;49%;37,184;17.3%;40,861;2378;6%;262;0.50%
2021;21;29,886;35;51%;49%;20,250;18.2%;22,773;1350;6%;107;0.36%
2021;22;20,558;34;51%;49%;12,837;19.9%;14,869;717;5%;35;0.17%
