Die dem RKI übermittelten COVID-19-Fälle nach Meldewoche und  Geschlecht sowie Anteile mit für COVID-19 relevanten Symptomen, Anteile Hospitalisierter und Verstorbener für die Meldewochen KW 10 – 53/2020 und KW 01 - 30/2021;;;;;;;;;;;;
Stand: 03.08.2021 08:36:51;;;;;;;;;;;;
Meldejahr;MW;Fälle gesamt;Mittelwert Alter (Jahre);Männer;Frauen;Anzahl mit Angaben zu Symptomen;Anteil keine, bzw. keine für COVID-19 bedeutsamen Symptome;Anzahl mit Angaben zur Hospitalisierung;Anzahl hospitalisiert;Anteil der Hospitalisierten bei Fällen mit Angabe zur Hospitalisation;Anzahl Verstorben;Anteil Verstorben
2020;10;898;43;53%;47%;834;8.4%;812;164;20%;12;1.34%
2020;11;6,431;45;56%;44%;5,758;5.4%;5,685;530;9%;84;1.31%
2020;12;22,393;45;55%;45%;20,098;3.9%;19,541;2,236;11%;476;2.13%
2020;13;33,972;48;49%;51%;30,767;3.3%;29,831;5,154;17%;1,464;4.31%
2020;14;36,054;51;45%;55%;32,002;5.5%;32,037;6,114;19%;2,267;6.29%
2020;15;27,136;52;43%;57%;23,559;8.4%;24,367;4,745;19%;1,873;6.90%
2020;16;17,335;51;45%;55%;14,842;11.5%;15,652;3,385;22%;1,221;7.04%
2020;17;12,345;50;45%;55%;10,249;13.9%;11,068;2,248;20%;725;5.87%
2020;18;7,435;48;48%;52%;6,177;16.6%;6,675;1,367;20%;387;5.21%
2020;19;6,238;47;48%;52%;5,240;19.4%;5,670;1,081;19%;257;4.12%
2020;20;4,764;45;50%;50%;3,946;23.1%;4,272;764;18%;164;3.44%
2020;21;3,598;44;50%;50%;2,832;26.4%;3,141;514;16%;112;3.11%
2020;22;3,204;42;52%;48%;2,592;24.3%;2,800;420;15%;64;2.00%
2020;23;2,351;39;51%;49%;1,858;24.0%;2,095;307;15%;45;1.91%
2020;24;2,341;37;53%;47%;1,783;26.1%;2,098;289;14%;33;1.41%
2020;25;4,191;36;59%;41%;2,953;25.3%;3,842;324;8%;41;0.98%
2020;26;3,153;37;55%;45%;2,338;23.9%;2,823;297;11%;23;0.73%
2020;27;2,688;36;52%;48%;2,065;26.7%;2,469;262;11%;26;0.97%
2020;28;2,427;36;56%;44%;1,915;24.0%;2,202;259;12%;25;1.03%
2020;29;3,021;36;52%;48%;2,374;23.0%;2,671;322;12%;30;0.99%
2020;30;3,926;36;52%;48%;3,171;27.2%;3,488;335;10%;33;0.84%
2020;31;4,831;36;50%;50%;3,787;25.2%;4,246;390;9%;36;0.75%
2020;32;6,058;34;54%;46%;4,587;30.3%;5,331;403;8%;32;0.53%
2020;33;7,951;32;53%;47%;5,874;33.5%;7,051;448;6%;31;0.39%
2020;34;9,597;32;55%;45%;7,196;34.7%;8,377;436;5%;31;0.32%
2020;35;8,823;32;53%;47%;6,855;30.5%;7,515;370;5%;18;0.20%
2020;36;8,618;33;54%;46%;6,663;26.9%;7,193;405;6%;36;0.42%
2020;37;9,763;35;52%;48%;7,672;20.2%;8,165;478;6%;68;0.70%
2020;38;12,289;36;51%;49%;9,892;18.1%;10,317;686;7%;81;0.66%
