Die dem RKI übermittelten COVID-19-Fälle nach Meldewoche und  Geschlecht sowie Anteile mit für COVID-19 relevanten Symptomen, Anteile Hospitalisierter und Verstorbener für die Meldewochen KW 10 – 53/2020 und KW 01 - 36/2021;;;;;;;;;;;;
Stand: 15.09.2021 07:58:55;;;;;;;;;;;;
;;;;;;;;;;;;
Meldejahr;MW;Fälle gesamt;Mittelwert Alter (Jahre);Männer;Frauen;Anzahl mit Angaben zu Symptomen;Anteil keine, bzw. keine für COVID-19 bedeutsamen Symptome;Anzahl mit Angaben zur Hospitalisierung;Anzahl hospitalisiert;Anteil der Hospitalisierten bei Fällen mit Angabe zur Hospitalisation;Anzahl Verstorben;Anteil Verstorben
2020;10;898;43;53%;47%;834;8.4%;810;162;20%;12;1.34%
2020;11;6,432;45;56%;44%;5,758;5.4%;5,648;529;9%;84;1.31%
2020;12;22,389;45;55%;45%;20,087;3.9%;19,374;2,233;12%;476;2.13%
2020;13;33,966;48;49%;51%;30,753;3.3%;29,620;5,151;17%;1,461;4.30%
2020;14;36,047;51;45%;55%;31,996;5.5%;31,948;6,113;19%;2,266;6.29%
2020;15;27,135;52;43%;57%;23,560;8.4%;24,316;4,751;20%;1,875;6.91%
2020;16;17,331;51;45%;55%;14,832;11.5%;15,607;3,387;22%;1,220;7.04%
2020;17;12,343;50;45%;55%;10,241;13.9%;11,028;2,245;20%;726;5.88%
2020;18;7,428;48;48%;52%;6,170;16.6%;6,654;1,367;21%;387;5.21%
2020;19;6,236;47;48%;52%;5,241;19.4%;5,658;1,081;19%;257;4.12%
2020;20;4,764;45;50%;50%;3,946;23.1%;4,263;764;18%;164;3.44%
2020;21;3,597;44;50%;50%;2,832;26.4%;3,140;515;16%;112;3.11%
2020;22;3,205;42;52%;48%;2,594;24.3%;2,798;421;15%;64;2.00%
2020;23;2,351;39;51%;49%;1,860;24.0%;2,093;307;15%;45;1.91%
2020;24;2,341;37;53%;47%;1,793;25.9%;2,099;289;14%;33;1.41%
2020;25;4,190;36;59%;41%;2,965;25.1%;3,844;324;8%;41;0.98%
2020;26;3,154;37;55%;45%;2,342;23.8%;2,824;297;11%;24;0.76%
2020;27;2,686;36;52%;48%;2,066;26.7%;2,464;263;11%;26;0.97%
2020;28;2,423;36;56%;44%;1,910;23.8%;2,195;258;12%;25;1.03%
2020;29;3,024;36;52%;48%;2,377;23.0%;2,667;322;12%;30;0.99%
2020;30;3,925;36;52%;48%;3,168;27.1%;3,475;334;10%;33;0.84%
2020;31;4,833;36;50%;50%;3,796;25.1%;4,242;389;9%;37;0.77%
2020;32;6,056;34;54%;46%;4,583;30.2%;5,303;404;8%;32;0.53%
2020;33;7,950;32;53%;47%;5,870;33.2%;7,002;446;6%;31;0.39%
2020;34;9,596;32;55%;45%;7,212;34.6%;8,353;437;5%;31;0.32%
2020;35;8,829;32;53%;47%;6,873;30.5%;7,466;373;5%;18;0.20%
2020;36;8,615;33;54%;46%;6,683;26.9%;7,169;409;6%;36;0.42%
2020;37;9,761;35;52%;48%;7,694;20.2%;8,142;483;6%;68;0.70%
2020;38;12,291;36;51%;49%;9,932;18.2%;10,310;689;7%;81;0.66%
2020;39;13,057;37;52%;48%;10,482;18.1%;11,002;780;7%;109;0.83%
2020;40;15,921;38;52%;48%;12,715;17.3%;13,661;891;7%;122;0.77%
2020;41;26,109;39;51%;49%;20,228;16.2%;21,770;1617;7%;245;0.94%
2020;42;42,060;39;51%;49%;31,207;15.8%;34,238;2362;7%;463;1.10%
2020;43;74,858;40;50%;50%;53,117;15.2%;59,055;4198;7%;1011;1.35%
2020;44;111,005;41;50%;50%;76,628;15.4%;85,307;6015;7%;1618;1.46%
2020;45;125,727;41;49%;51%;86,835;15.1%;95,102;6934;7%;1887;1.50%
2020;46;127,756;42;48%;52%;87,390;14.7%;97,321;7633;8%;2519;1.97%
2020;47;128,358;43;47%;53%;88,227;14.7%;97,297;8164;8%;3203;2.50%
2020;48;123,181;44;47%;53%;84,248;15.4%;92,997;8408;9%;3576;2.90%
2020;49;128,350;45;46%;54%;89,358;14.1%;97,386;9245;9%;4448;3.47%
2020;50;156,286;46;45%;55%;109,905;14.6%;118,372;11358;10%;5730;3.67%
2020;51;174,706;46;45%;55%;121,855;14.5%;131,210;12625;10%;6414;3.67%
