Die 7-Tage-Inzidenz für hospitalisierte COVID-19-Fälle /100.000 Einwohner nach Meldedatum basierend auf der Verordnung vom 13.07.2021 zur Meldepflicht der Krankenhausaufnahme von COVID-19 Hospitalisierten ab KW28/2021.;;;;;;;;;;;;
Stand: 06.10.2021 07:37:09;;;;;;;;;;;;
Meldejahr;MW;Fälle gesamt;Mittelwert Alter (Jahre);Männer;Frauen;Anzahl mit Angaben zu Symptomen;Anteil keine, bzw. keine für COVID-19 bedeutsamen Symptome;Anzahl mit Angaben zur Hospitalisierung;Anzahl hospitalisiert;Anteil der Hospitalisierten bei Fällen mit Angabe zur Hospitalisation;Anzahl Verstorben;Anteil Verstorben
2020;10;899;43;53%;47%;835;8.4%;804;161;20%;12;1.33%
2020;11;6,431;45;56%;44%;5,757;5.4%;5,597;525;9%;84;1.31%
2020;12;22,388;45;55%;45%;20,050;3.9%;19,180;2,230;12%;476;2.13%
2020;13;33,966;48;50%;50%;30,695;3.3%;29,311;5,144;18%;1,461;4.30%
2020;14;36,048;51;45%;55%;31,915;5.4%;31,612;6,101;19%;2,267;6.29%
2020;15;27,133;52;43%;57%;23,494;8.4%;24,060;4,732;20%;1,875;6.91%
2020;16;17,328;51;45%;55%;14,783;11.3%;15,386;3,384;22%;1,220;7.04%
2020;17;12,344;50;45%;55%;10,189;13.5%;10,814;2,240;21%;726;5.88%
2020;18;7,423;48;48%;52%;6,147;16.4%;6,579;1,362;21%;387;5.21%
2020;19;6,233;47;48%;52%;5,213;19.0%;5,584;1,081;19%;257;4.12%
2020;20;4,761;45;50%;50%;3,908;22.4%;4,164;762;18%;164;3.44%
2020;21;3,596;44;50%;50%;2,806;25.8%;3,102;513;17%;112;3.11%
2020;22;3,204;42;52%;48%;2,577;23.8%;2,752;422;15%;64;2.00%
2020;23;2,351;39;51%;49%;1,857;23.8%;2,084;307;15%;45;1.91%
2020;24;2,341;37;53%;47%;1,789;25.7%;2,092;291;14%;33;1.41%
2020;25;4,190;36;59%;41%;2,954;24.8%;3,831;324;8%;41;0.98%
2020;26;3,154;37;55%;45%;2,340;23.8%;2,815;296;11%;24;0.76%
2020;27;2,686;36;52%;48%;2,066;26.7%;2,454;263;11%;26;0.97%
2020;28;2,423;36;56%;44%;1,908;23.6%;2,174;258;12%;25;1.03%
2020;29;3,024;36;52%;48%;2,369;22.8%;2,643;320;12%;30;0.99%
2020;30;3,924;36;52%;48%;3,152;26.6%;3,425;335;10%;33;0.84%
2020;31;4,831;36;50%;50%;3,792;24.9%;4,223;387;9%;37;0.77%
2020;32;6,057;34;54%;46%;4,582;30.2%;5,295;404;8%;32;0.53%
2020;33;7,951;32;53%;47%;5,861;33.1%;6,950;445;6%;31;0.39%
2020;34;9,595;32;55%;45%;7,196;34.5%;8,267;438;5%;31;0.32%
2020;35;8,828;32;53%;47%;6,856;30.3%;7,394;373;5%;18;0.20%
2020;36;8,613;33;54%;46%;6,665;26.7%;7,102;406;6%;36;0.42%
2020;37;9,761;35;52%;48%;7,680;20.0%;8,008;477;6%;68;0.70%
2020;38;12,290;36;51%;49%;9,928;18.1%;10,214;685;7%;81;0.66%
2020;39;13,061;37;52%;48%;10,470;18.0%;10,912;778;7%;110;0.84%
2020;40;15,923;38;52%;48%;12,703;17.2%;13,550;890;7%;122;0.77%
2020;41;26,110;39;51%;49%;20,214;16.2%;21,645;1614;7%;245;0.94%
2020;42;42,066;39;51%;49%;31,280;15.7%;34,172;2358;7%;463;1.10%
2020;43;74,873;40;50%;50%;53,119;15.1%;58,794;4191;7%;1011;1.35%
2020;44;111,008;41;50%;50%;76,652;15.4%;84,831;6008;7%;1617;1.46%
2020;45;125,727;41;49%;51%;87,002;15.0%;94,511;6919;7%;1888;1.50%
2020;46;127,774;42;48%;52%;87,634;14.7%;96,915;7616;8%;2519;1.97%
2020;47;128,360;43;47%;53%;88,497;14.7%;96,905;8163;8%;3204;2.50%
2020;48;123,156;44;47%;53%;84,501;15.4%;92,627;8407;9%;3575;2.90%
2020;49;128,350;45;46%;54%;89,688;14.1%;96,874;9255;10%;4450;3.47%
2020;50;156,290;46;45%;55%;110,401;14.5%;117,837;11359;10%;5730;3.67%
2020;51;174,700;46;45%;55%;122,284;14.4%;130,485;12637;10%;6417;3.67%
2020;52;138,948;48;44%;56%;95,426;15.8%;103,610;11124;11%;5685;4.09%
2020;53;123,071;49;44%;56%;87,408;13.4%;93,792;11059;12%;5679;4.61%
2021;1;145,439;48;45%;55%;106,061;13.2%;111,790;11251;10%;5689;3.91%
2021;2;118,893;48;45%;55%;85,730;15.9%;91,843;9971;11%;5047;4.24%
2021;3;95,517;48;46%;54%;70,743;16.0%;76,170;8914;12%;4043;4.23%
2021;4;78,125;48;46%;54%;58,672;16.1%;64,329;7570;12%;3062;3.92%
2021;5;64,557;46;47%;53%;49,606;16.2%;53,667;6491;12%;2234;3.46%
2021;6;50,808;45;48%;52%;39,940;16.5%;42,570;5230;12%;1671;3.29%
2021;7;52,388;44;49%;51%;41,671;16.3%;44,137;5156;12%;1467;2.80%
2021;8;56,349;42;50%;50%;44,864;16.1%;47,329;4848;10%;1207;2.14%
2021;9;58,363;40;51%;49%;47,124;16.0%;48,977;4437;9%;1042;1.79%
2021;10;71,306;39;50%;50%;57,628;16.1%;58,973;4915;8%;1087;1.52%
2021;11;92,576;39;50%;50%;74,330;15.6%;76,005;5788;8%;1271;1.37%
2021;12;116,266;38;51%;49%;91,666;16.2%;95,235;6884;7%;1507;1.30%
2021;13;110,097;39;51%;49%;86,231;15.7%;89,753;6932;8%;1569;1.43%
2021;14;118,264;39;51%;49%;94,182;14.1%;96,216;7591;8%;1565;1.32%
2021;15;142,049;38;51%;49%;111,672;16.1%;115,954;7841;7%;1605;1.13%
2021;16;144,750;37;52%;48%;113,603;17.3%;118,419;8010;7%;1592;1.10%
2021;17;124,790;37;52%;48%;98,894;17.5%;101,594;6761;7%;1277;1.02%
2021;18;100,985;37;51%;49%;81,228;17.1%;83,246;5513;7%;989;0.98%
2021;19;70,823;37;51%;49%;56,960;17.5%;58,555;4051;7%;655;0.92%
2021;20;52,694;36;51%;49%;42,385;18.0%;43,799;2788;6%;434;0.82%
2021;21;29,874;35;52%;48%;24,196;18.7%;25,075;1716;7%;254;0.85%
2021;22;20,674;34;51%;49%;16,593;20.0%;17,391;1139;7%;138;0.67%
2021;23;14,029;33;51%;49%;11,272;22.2%;12,023;810;7%;66;0.47%
2021;24;7,263;32;52%;48%;5,806;22.6%;6,238;523;8%;43;0.59%
2021;25;4,817;32;54%;46%;3,920;21.4%;4,132;358;9%;30;0.62%
2021;26;4,348;32;53%;47%;3,642;17.1%;3,762;314;8%;22;0.51%
2021;27;5,562;32;53%;47%;4,766;13.1%;4,783;360;8%;24;0.43%
2021;28;9,091;30;54%;46%;7,931;12.5%;7,753;409;5%;28;0.31%
2021;29;12,616;30;52%;48%;11,047;12.1%;10,323;581;6%;37;0.29%
2021;30;15,489;31;52%;48%;13,508;12.2%;12,446;777;6%;65;0.42%
2021;31;20,393;30;52%;48%;17,498;12.5%;15,707;993;6%;84;0.41%
2021;32;32,030;30;51%;49%;26,784;12.3%;23,845;1619;7%;131;0.41%
2021;33;49,586;29;51%;49%;39,928;14.8%;36,717;2281;6%;196;0.40%
2021;34;66,279;29;51%;49%;50,745;15.7%;47,681;3046;6%;302;0.46%
2021;35;74,628;30;50%;50%;54,479;16.4%;52,069;3063;6%;347;0.46%
2021;36;71,602;30;50%;50%;51,578;15.2%;49,736;3013;6%;316;0.44%
2021;37;61,394;31;51%;49%;44,301;15.4%;43,295;2542;6%;231;0.38%
2021;38;53,542;31;50%;50%;38,204;14.7%;37,154;2149;6%;146;0.27%
2021;39;56,000;32;50%;50%;37,205;13.0%;37,089;1735;5%;71;0.13%
