Die 7-Tage-Inzidenz für hospitalisierte COVID-19-Fälle /100.000 Einwohner nach Meldedatum basierend auf der Verordnung vom 13.07.2021 zur Meldepflicht der Krankenhausaufnahme von COVID-19 Hospitalisierten ab KW28/2021.;;;;;;;;;;;;
Stand: 27.10.2021 09:18:50;;;;;;;;;;;;
;;;;;;;;;;;;
Meldejahr;MW;Fälle gesamt;Mittelwert Alter (Jahre);Männer;Frauen;Anzahl mit Angaben zu Symptomen;Anteil keine, bzw. keine für COVID-19 bedeutsamen Symptome;Anzahl mit Angaben zur Hospitalisierung;Anzahl hospitalisiert;Anteil der Hospitalisierten bei Fällen mit Angabe zur Hospitalisation;Anzahl Verstorben;Anteil Verstorben
2020;10;899;43;53%;47%;835;8.4%;800;160;20%;12;1.33%
2020;11;6,432;45;56%;44%;5,758;5.4%;5,596;525;9%;84;1.31%
2020;12;22,389;45;55%;45%;20,052;3.9%;19,175;2,231;12%;476;2.13%
2020;13;33,964;48;49%;51%;30,692;3.3%;29,296;5,142;18%;1,461;4.30%
2020;14;36,052;51;45%;55%;31,920;5.4%;31,599;6,098;19%;2,268;6.29%
2020;15;27,130;52;43%;57%;23,491;8.4%;24,049;4,732;20%;1,875;6.91%
2020;16;17,327;51;45%;55%;14,782;11.3%;15,385;3,385;22%;1,220;7.04%
2020;17;12,348;50;45%;55%;10,192;13.5%;10,817;2,238;21%;726;5.88%
2020;18;7,427;48;48%;52%;6,151;16.4%;6,582;1,361;21%;387;5.21%
2020;19;6,235;47;48%;52%;5,215;19.0%;5,585;1,081;19%;257;4.12%
2020;20;4,759;45;50%;50%;3,905;22.4%;4,161;761;18%;164;3.45%
2020;21;3,597;44;50%;50%;2,806;25.8%;3,101;513;17%;112;3.11%
2020;22;3,204;42;52%;48%;2,577;23.8%;2,753;422;15%;64;2.00%
2020;23;2,351;39;51%;49%;1,857;23.8%;2,084;307;15%;45;1.91%
2020;24;2,341;37;53%;47%;1,789;25.7%;2,090;290;14%;33;1.41%
2020;25;4,190;36;59%;41%;2,955;24.8%;3,830;324;8%;41;0.98%
2020;26;3,155;37;55%;45%;2,340;23.8%;2,816;296;11%;24;0.76%
2020;27;2,686;36;52%;48%;2,066;26.7%;2,454;263;11%;26;0.97%
2020;28;2,422;36;56%;44%;1,908;23.6%;2,174;258;12%;25;1.03%
2020;29;3,025;36;52%;48%;2,369;22.8%;2,641;320;12%;30;0.99%
2020;30;3,924;36;52%;48%;3,152;26.6%;3,425;335;10%;33;0.84%
2020;31;4,831;36;50%;50%;3,792;24.9%;4,221;386;9%;37;0.77%
2020;32;6,058;34;54%;46%;4,586;30.1%;5,296;405;8%;32;0.53%
2020;33;7,953;32;53%;47%;5,862;33.1%;6,951;446;6%;31;0.39%
2020;34;9,595;32;55%;45%;7,197;34.4%;8,269;438;5%;31;0.32%
2020;35;8,827;32;53%;47%;6,855;30.4%;7,392;374;5%;18;0.20%
2020;36;8,613;33;54%;46%;6,666;26.6%;7,092;407;6%;36;0.42%
2020;37;9,760;35;52%;48%;7,683;20.0%;8,004;477;6%;68;0.70%
2020;38;12,290;36;51%;49%;9,935;18.1%;10,213;685;7%;81;0.66%
2020;39;13,062;37;52%;48%;10,483;18.0%;10,906;780;7%;110;0.84%
2020;40;15,924;38;52%;48%;12,718;17.1%;13,549;892;7%;122;0.77%
2020;41;26,110;39;51%;49%;20,220;16.1%;21,649;1621;7%;245;0.94%
2020;42;42,064;39;51%;49%;31,310;15.7%;34,157;2361;7%;463;1.10%
2020;43;74,875;40;50%;50%;53,167;15.1%;58,809;4190;7%;1011;1.35%
2020;44;111,019;41;50%;50%;76,762;15.4%;84,885;6011;7%;1618;1.46%
2020;45;125,727;41;49%;51%;87,112;15.0%;94,460;6918;7%;1891;1.50%
2020;46;127,780;42;48%;52%;87,673;14.7%;96,863;7616;8%;2520;1.97%
2020;47;128,358;43;47%;53%;88,528;14.7%;96,845;8160;8%;3205;2.50%
2020;48;123,161;44;47%;53%;84,531;15.4%;92,594;8405;9%;3575;2.90%
2020;49;128,359;45;46%;54%;89,728;14.1%;96,823;9255;10%;4455;3.47%
2020;50;156,293;46;45%;55%;110,425;14.5%;117,800;11357;10%;5734;3.67%
2020;51;174,707;46;45%;55%;122,310;14.4%;130,441;12644;10%;6420;3.67%
2020;52;138,952;48;44%;56%;95,454;15.8%;103,588;11118;11%;5687;4.09%
2020;53;123,069;49;44%;56%;87,429;13.4%;93,773;11059;12%;5681;4.62%
2021;1;145,441;48;45%;55%;106,446;13.1%;111,888;11245;10%;5693;3.91%
2021;2;118,886;48;45%;55%;85,965;15.9%;91,849;9967;11%;5054;4.25%
2021;3;95,521;48;46%;54%;70,982;16.0%;76,233;8924;12%;4053;4.24%
2021;4;78,128;48;46%;54%;58,764;16.1%;64,297;7573;12%;3063;3.92%
2021;5;64,554;46;47%;53%;49,700;16.3%;53,641;6489;12%;2237;3.47%
2021;6;50,801;45;48%;52%;39,995;16.5%;42,544;5226;12%;1673;3.29%
2021;7;52,383;44;49%;51%;41,696;16.3%;44,117;5155;12%;1467;2.80%
