;;;;;;;;;;;;
Stand: 22.12.2021 08:23:24;;;;;;;;;;;;
;;;;;;;;;;;;
Meldejahr;MW;Fälle gesamt;Mittelwert Alter (Jahre);Männer;Frauen; Anzahl mit Angaben zu Symptomen ;Anteil keine, bzw. keine für COVID-19 bedeutsamen Symptome; Anzahl mit Angaben zur Hospitalisierung ; Anzahl hospitalisiert ;Anteil der Hospitalisierten bei Fällen mit Angabe zur Hospitalisation; Anzahl Verstorben ;Anteil Verstorben
2020;10;899;43;53%;47%; 835    ;8.4%; 796    ; 160    ;20%; 12    ;1.33%
2020;11;6,431;45;56%;44%; 5,757    ;5.4%; 5,541    ; 525    ;9%; 84    ;1.31%
2020;12;22,388;45;55%;45%; 20,050    ;3.9%; 18,984    ; 2,231    ;12%; 476    ;2.13%
2020;13;33,968;48;49%;51%; 30,695    ;3.3%; 29,053    ; 5,144    ;18%; 1,461    ;4.30%
2020;14;36,051;51;45%;55%; 31,920    ;5.4%; 31,326    ; 6,101    ;19%; 2,267    ;6.29%
2020;15;27,130;52;43%;57%; 23,489    ;8.4%; 23,914    ; 4,734    ;20%; 1,876    ;6.91%
2020;16;17,325;51;45%;55%; 14,780    ;11.3%; 15,310    ; 3,384    ;22%; 1,220    ;7.04%
2020;17;12,349;50;45%;55%; 10,193    ;13.5%; 10,768    ; 2,239    ;21%; 726    ;5.88%
2020;18;7,427;48;48%;52%; 6,149    ;16.4%; 6,521    ; 1,361    ;21%; 387    ;5.21%
2020;19;6,234;47;48%;52%; 5,214    ;19.0%; 5,551    ; 1,080    ;19%; 257    ;4.12%
2020;20;4,757;45;50%;50%; 3,903    ;22.4%; 4,142    ; 759    ;18%; 164    ;3.45%
2020;21;3,598;44;50%;50%; 2,806    ;25.8%; 3,085    ; 513    ;17%; 112    ;3.11%
2020;22;3,205;42;51%;49%; 2,577    ;23.8%; 2,730    ; 421    ;15%; 64    ;2.00%
2020;23;2,353;39;51%;49%; 1,857    ;23.8%; 2,080    ; 307    ;15%; 45    ;1.91%
2020;24;2,342;37;53%;47%; 1,790    ;25.6%; 2,086    ; 290    ;14%; 33    ;1.41%
2020;25;4,190;36;59%;41%; 2,955    ;24.8%; 3,825    ; 324    ;8%; 41    ;0.98%
2020;26;3,154;37;55%;45%; 2,340    ;23.7%; 2,810    ; 297    ;11%; 24    ;0.76%
2020;27;2,686;36;52%;48%; 2,066    ;26.7%; 2,434    ; 263    ;11%; 26    ;0.97%
2020;28;2,421;36;56%;44%; 1,907    ;23.6%; 2,160    ; 257    ;12%; 25    ;1.03%
2020;29;3,025;36;52%;48%; 2,369    ;22.8%; 2,626    ; 321    ;12%; 30    ;0.99%
2020;30;3,927;36;52%;48%; 3,151    ;26.6%; 3,416    ; 335    ;10%; 33    ;0.84%
2020;31;4,833;36;50%;50%; 3,792    ;24.9%; 4,216    ; 386    ;9%; 37    ;0.77%
2020;32;6,056;34;54%;46%; 4,583    ;30.1%; 5,284    ; 404    ;8%; 33    ;0.54%
2020;33;7,952;32;53%;47%; 5,860    ;33.1%; 6,932    ; 445    ;6%; 31    ;0.39%
2020;34;9,596;32;55%;45%; 7,197    ;34.4%; 8,229    ; 438    ;5%; 31    ;0.32%
2020;35;8,827;32;53%;47%; 6,855    ;30.4%; 7,345    ; 374    ;5%; 18    ;0.20%
2020;36;8,612;33;54%;46%; 6,666    ;26.6%; 7,031    ; 407    ;6%; 36    ;0.42%
2020;37;9,759;35;52%;48%; 7,682    ;20.0%; 7,928    ; 476    ;6%; 68    ;0.70%
2020;38;12,290;36;51%;49%; 9,936    ;18.1%; 10,118    ; 685    ;7%; 82    ;0.67%
2020;39;13,064;37;52%;48%; 10,483    ;17.9%; 10,834    ; 781    ;7%; 110    ;0.84%
2020;40;15,925;38;52%;48%; 12,718    ;17.1%; 13,447    ; 891    ;7%; 122    ;0.77%
2020;41;26,119;39;51%;49%; 20,230    ;16.1%; 21,483    ; 1,624    ;8%; 245    ;0.94%
2020;42;42,060;39;51%;49%; 31,312    ;15.7%; 33,921    ; 2,362    ;7%; 463    ;1.10%
2020;43;74,864;40;50%;50%; 53,220    ;15.1%; 58,399    ; 4,185    ;7%; 1,015    ;1.36%
2020;44;111,009;41;50%;50%; 76,822    ;15.3%; 84,552    ; 6,008    ;7%; 1,620    ;1.46%
2020;45;125,728;41;49%;51%; 87,105    ;15.0%; 94,174    ; 6,920    ;7%; 1,893    ;1.51%
