;;;;;;;;;;;;
Stand: 16.02.2022 ;;;;;;;;;;;;
;;;;;;;;;;;;
Meldejahr;MW;Fälle gesamt;Mittelwert Alter (Jahre);Männer;Frauen;Anzahl mit Angaben zu Symptomen;Anteil keine, bzw. keine für COVID-19 bedeutsamen Symptome;Anzahl mit Angaben zur Hospitalisierung;Anzahl hospitalisiert;Anteil der Hospitalisierten bei Fällen mit Angabe zur Hospitalisation;Anzahl Verstorben;Anteil Verstorben
2020;10;900;43;53%;47%;835;8.4%;796;160;20%;12;1.33%
2020;11;6,431;45;56%;44%;5,756;5.4%;5,537;525;9%;84;1.31%
2020;12;22,385;45;55%;45%;20,043;3.9%;18,967;2,229;12%;476;2.13%
2020;13;33,969;48;49%;51%;30,696;3.3%;29,037;5,147;18%;1,463;4.31%
2020;14;36,049;51;45%;55%;31,906;5.4%;31,309;6,103;19%;2,267;6.29%
2020;15;27,128;52;43%;57%;23,479;8.4%;23,893;4,737;20%;1,877;6.92%
2020;16;17,324;51;45%;55%;14,776;11.3%;15,300;3,385;22%;1,221;7.05%
2020;17;12,350;50;45%;55%;10,192;13.5%;10,761;2,238;21%;726;5.88%
2020;18;7,432;48;48%;52%;6,148;16.4%;6,521;1,361;21%;387;5.21%
2020;19;6,233;47;48%;52%;5,213;19.0%;5,551;1,080;19%;257;4.12%
2020;20;4,757;45;50%;50%;3,905;22.4%;4,142;759;18%;164;3.45%
2020;21;3,599;44;50%;50%;2,806;25.8%;3,083;512;17%;112;3.11%
2020;22;3,205;42;52%;48%;2,578;23.8%;2,731;421;15%;64;2.00%
2020;23;2,351;39;51%;49%;1,859;23.8%;2,078;307;15%;45;1.91%
2020;24;2,344;37;53%;47%;1,790;25.6%;2,088;290;14%;33;1.41%
2020;25;4,190;36;59%;41%;2,955;24.8%;3,824;324;8%;41;0.98%
2020;26;3,156;37;55%;45%;2,345;23.7%;2,810;297;11%;24;0.76%
2020;27;2,690;36;52%;48%;2,068;26.7%;2,435;263;11%;26;0.97%
2020;28;2,422;36;56%;44%;1,906;23.6%;2,158;257;12%;25;1.03%
2020;29;3,031;36;52%;48%;2,369;22.8%;2,627;322;12%;30;0.99%
2020;30;3,934;36;52%;48%;3,153;26.5%;3,415;335;10%;33;0.84%
2020;31;4,834;36;50%;50%;3,793;24.9%;4,211;386;9%;37;0.77%
2020;32;6,062;34;54%;46%;4,585;30.1%;5,290;404;8%;33;0.54%
2020;33;7,954;32;53%;47%;5,861;33.1%;6,933;446;6%;31;0.39%
2020;34;9,598;32;55%;45%;7,196;34.4%;8,226;438;5%;31;0.32%
2020;35;8,833;32;53%;47%;6,862;30.4%;7,340;373;5%;18;0.20%
2020;36;8,614;33;54%;46%;6,666;26.6%;7,030;407;6%;36;0.42%
2020;37;9,759;35;52%;48%;7,682;20.0%;7,923;476;6%;68;0.70%
2020;38;12,289;36;51%;49%;9,936;18.1%;10,113;685;7%;82;0.67%
2020;39;13,064;37;52%;48%;10,481;17.9%;10,832;782;7%;110;0.84%
2020;40;15,926;38;52%;48%;12,716;17.1%;13,438;891;7%;122;0.77%
2020;41;26,120;39;51%;49%;20,230;16.1%;21,481;1625;8%;246;0.94%
2020;42;42,060;39;51%;49%;31,325;15.7%;33,911;2363;7%;463;1.10%
2020;43;74,868;40;50%;50%;53,262;15.1%;58,389;4184;7%;1015;1.36%
2020;44;110,998;41;50%;50%;76,983;15.3%;84,585;6006;7%;1619;1.46%
