Stand: 06.04.2022 07:14:13;;;;;;;;;;;;
;;;;;;;;;;;;
Meldejahr;MW;Fälle gesamt;Mittelwert Alter (Jahre);Männer;Frauen;Anzahl mit Angaben zu Symptomen;Anteil keine, bzw. keine für COVID-19 bedeutsamen Symptome;Anzahl mit Angaben zur Hospitalisierung;Anzahl hospitalisiert;Anteil der Hospitalisierten bei Fällen mit Angabe zur Hospitalisation;Anzahl Verstorben;Anteil Verstorben
2020;10;901;43;53%;47%;835;8.4%;796;160;20%;12;1.33%
2020;11;6,431;45;56%;44%;5,752;5.4%;5,529;524;9%;84;1.31%
2020;12;22,388;45;55%;45%;20,043;3.9%;18,949;2,229;12%;476;2.13%
2020;13;33,966;48;49%;51%;30,691;3.3%;29,017;5,145;18%;1,461;4.30%
2020;14;36,049;51;45%;55%;31,908;5.4%;31,291;6,105;20%;2,269;6.29%
2020;15;27,124;52;43%;57%;23,472;8.4%;23,869;4,734;20%;1,877;6.92%
2020;16;17,331;51;45%;55%;14,776;11.3%;15,294;3,380;22%;1,222;7.05%
2020;17;12,350;50;45%;55%;10,190;13.5%;10,756;2,236;21%;727;5.89%
2020;18;7,434;48;48%;52%;6,150;16.4%;6,518;1,363;21%;387;5.21%
2020;19;6,231;47;48%;52%;5,211;19.0%;5,548;1,082;20%;257;4.12%
2020;20;4,760;45;50%;50%;3,905;22.4%;4,142;758;18%;164;3.45%
2020;21;3,601;44;50%;50%;2,807;25.8%;3,084;512;17%;112;3.11%
2020;22;3,207;42;51%;49%;2,579;23.9%;2,729;422;15%;64;2.00%
2020;23;2,352;39;51%;49%;1,860;23.9%;2,078;307;15%;45;1.91%
2020;24;2,344;37;53%;47%;1,790;25.6%;2,087;290;14%;33;1.41%
2020;25;4,185;36;59%;41%;2,950;24.8%;3,812;324;8%;41;0.98%
2020;26;3,165;37;55%;45%;2,348;23.8%;2,815;296;11%;24;0.76%
2020;27;2,689;36;52%;48%;2,065;26.6%;2,431;263;11%;26;0.97%
2020;28;2,421;36;56%;44%;1,906;23.6%;2,156;257;12%;25;1.03%
2020;29;3,040;36;52%;48%;2,371;22.8%;2,628;322;12%;30;0.99%
2020;30;3,934;36;52%;48%;3,153;26.5%;3,413;335;10%;33;0.84%
2020;31;4,838;36;50%;50%;3,798;24.9%;4,203;387;9%;36;0.74%
2020;32;6,065;34;54%;46%;4,582;30.1%;5,286;405;8%;33;0.54%
2020;33;7,955;32;53%;47%;5,861;33.1%;6,929;446;6%;31;0.39%
2020;34;9,596;32;55%;45%;7,197;34.4%;8,211;438;5%;31;0.32%
2020;35;8,833;32;53%;47%;6,863;30.4%;7,336;373;5%;18;0.20%
2020;36;8,616;33;54%;46%;6,665;26.6%;7,027;407;6%;36;0.42%
2020;37;9,762;35;52%;48%;7,686;20.0%;7,922;476;6%;68;0.70%
2020;38;12,291;36;51%;49%;9,936;18.1%;10,107;686;7%;82;0.67%
2020;39;13,069;37;52%;48%;10,477;17.9%;10,825;782;7%;110;0.84%
2020;40;15,931;38;52%;48%;12,705;17.0%;13,388;890;7%;122;0.77%
2020;41;26,123;39;51%;49%;20,213;16.0%;21,375;1617;8%;245;0.94%
2020;42;42,057;39;51%;49%;31,315;15.6%;33,816;2358;7%;463;1.10%
2020;43;74,871;40;50%;50%;53,246;15.1%;58,296;4170;7%;1015;1.36%
2020;44;111,000;41;50%;50%;76,974;15.3%;84,509;6002;7%;1621;1.46%
2020;45;125,715;41;49%;51%;87,245;15.0%;94,194;6919;7%;1898;1.51%
2020;46;127,809;42;48%;52%;87,616;14.6%;96,474;7620;8%;2530;1.98%
2020;47;128,396;43;47%;53%;88,550;14.7%;96,473;8173;8%;3216;2.50%
2020;48;123,146;44;47%;53%;84,472;15.4%;92,278;8398;9%;3585;2.91%
2020;49;128,369;45;46%;54%;89,652;14.1%;96,399;9256;10%;4466;3.48%
2020;50;156,306;46;45%;55%;110,391;14.5%;117,343;11343;10%;5740;3.67%
2020;51;174,693;46;45%;55%;122,328;14.4%;129,993;12653;10%;6434;3.68%
2020;52;138,928;48;44%;56%;95,493;15.8%;103,158;11112;11%;5697;4.10%
2020;53;123,077;49;44%;56%;87,503;13.4%;93,469;11056;12%;5706;4.64%
2021;1;145,491;48;45%;55%;106,575;13.1%;111,545;11259;10%;5716;3.93%
2021;2;118,904;48;45%;55%;86,010;15.9%;91,540;9983;11%;5077;4.27%
2021;3;95,550;48;46%;54%;70,998;16.0%;75,883;8930;12%;4079;4.27%
