Meldejahr;Meldewoche;Fälle gesamt;Alle_MW_Alter;Hosp_MW_Alter;ITS_MW_Alter;Verst_MW_Alter
2020;10;897;43;50;66;77
2020;11;6429;45;57;66;76
2020;12;22407;45;63;67;77
2020;13;33971;48;65;68;78
2020;14;36054;51;68;68;81
2020;15;27155;52;69;69;81
2020;16;17340;51;69;68;81
2020;17;12359;50;67;68;81
2020;18;7439;48;66;68;80
2020;19;6239;47;66;69;81
2020;20;4761;45;64;70;81
2020;21;3600;44;65;72;81
2020;22;3206;42;63;65;78
2020;23;2351;39;60;58;77
2020;24;2341;37;56;60;77
2020;25;4126;36;56;65;75
2020;26;3211;37;56;63;76
2020;27;2690;36;54;63;72
2020;28;2426;36;54;60;75
2020;29;3016;36;53;64;77
2020;30;3929;36;54;60;77
2020;31;4823;36;57;60;78
2020;32;6055;34;54;68;81
2020;33;7950;32;53;61;81
2020;34;9591;32;50;62;71
2020;35;8822;32;51;58;74
2020;36;8616;33;53;64;75
2020;37;9769;35;57;65;78
2020;38;12295;36;59;60;79
2020;39;13064;37;58;65;80
2020;40;15927;38;58;66;78
2020;41;26125;39;59;67;80
2020;42;42087;39;61;66;81
2020;43;74811;40;63;68;81
2020;44;111083;41;64;68;80
2020;45;125791;41;64;69;81
2020;46;127835;42;66;70;82
2020;47;128437;43;67;69;82
2020;48;123278;44;67;69;82
2020;49;128480;45;69;70;82
2020;50;156478;46;69;70;82
2020;51;174853;46;69;71;82
2020;52;139086;48;70;71;82
2020;53;123112;49;70;70;82
2021;1;145526;48;70;71;82
2021;2;119119;48;70;72;83
2021;3;95644;48;71;71;82
2021;4;78255;48;70;70;82
2021;5;64671;46;69;70;81
2021;6;50860;45;69;69;81
2021;7;52494;44;67;70;80
2021;8;56446;42;66;67;79
2021;9;58500;40;65;66;78
2021;10;71462;39;63;66;77
2021;11;92753;39;62;64;76
2021;12;116563;38;61;65;76
2021;13;110401;39;61;65;76
2021;14;118504;39;60;65;76
2021;15;142475;38;60;65;77
2021;16;145159;37;60;63;77
2021;17;124937;37;59;63;78
2021;18;100788;37;60;66;78
