Altersmedian/-mittelwert für Hospitalisierte, Patienten auf Intensivstation und Verstorbene von an das RKI übermittelten COVID-19-Fällen für die Meldewochen KW 10 – 53/2020 und KW 01 - 21/2021;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Meldejahr;Meldewoche;Altersmedian alle COVID-19-Fälle;Altersmedian hospitalisierte Fälle;Altersmedian der Fälle auf Intensivstation;Altersmedian der verstorbenen COVID-19-Fälle;;;Meldejahr;Meldewoche;Anzahl COVID-19-Fälle;Mittelwert Alter alle COVID-19-Fälle;Mittelwert Alter hospitalisierte Fälle;Mittelwert Alter  Fälle auf Intensivstation;Mittelwert Alter der verstorbenen COVID-19-Fälle
2020;10;45;51;69.5;79;;;2020;10;899;43;50;66;77
2020;11;47;58;67;80;;;2020;11;6425;45;57;66;76
2020;12;47;64;69;80;;;2020;12;22404;45;63;67;77
2020;13;49;69;70;80;;;2020;13;33972;48;65;68;78
2020;14;52;72;71;82.5;;;2020;14;36044;51;68;68;81
2020;15;52;74;71;83;;;2020;15;27157;52;69;69;81
2020;16;52;75;71;83;;;2020;16;17338;51;69;68;81
2020;17;50;75;71;84;;;2020;17;12359;50;67;68;81
2020;18;48;72;70;82;;;2020;18;7439;48;66;68;80
2020;19;46;71;71;82;;;2020;19;6239;47;66;69;81
2020;20;44;71;74;84;;;2020;20;4763;45;64;70;81
2020;21;41;69;72;84;;;2020;21;3598;44;65;72;81
2020;22;40;68;70;80;;;2020;22;3204;42;63;65;78
2020;23;36;63;60;80;;;2020;23;2351;39;60;58;77
2020;24;34;59;61.5;83;;;2020;24;2339;37;56;60;77
2020;25;36;55;62.5;76;;;2020;25;4122;36;56;65;75
2020;26;36;57;66;78;;;2020;26;3211;37;56;63;76
2020;27;35;53;66;77.5;;;2020;27;2689;36;54;63;72
2020;28;34;54;63;79;;;2020;28;2426;35;54;60;75
2020;29;34;53;65;81;;;2020;29;3018;36;53;64;77
2020;30;35;56;64;79;;;2020;30;3927;36;54;60;77
2020;31;34;58;59;82.5;;;2020;31;4828;36;57;60;78
2020;32;32;56;72;85;;;2020;32;6056;34;54;68;81
2020;33;30;56;63;83;;;2020;33;7952;32;53;61;81
2020;34;29;51;63;75;;;2020;34;9598;32;50;62;71
2020;35;29;51.5;57.5;76.5;;;2020;35;8820;32;51;58;74
2020;36;30;55;64;78.5;;;2020;36;8620;33;53;64;75
2020;37;32;60;71;81;;;2020;37;9775;35;57;65;78
2020;38;33;60;61;81;;;2020;38;12290;36;59;60;79
2020;39;34;61;68.5;83;;;2020;39;13063;37;59;65;80
2020;40;35;61;68;82;;;2020;40;15929;38;58;66;78
2020;41;37;62;69;82;;;2020;41;26124;39;59;67;80
2020;42;37;65;69;83;;;2020;42;42072;39;61;66;81
2020;43;39;67;72;83;;;2020;43;74813;40;62;68;81
2020;44;40;68;71;83;;;2020;44;111066;41;64;68;80
2020;45;40;69;73;83;;;2020;45;125769;41;64;69;81
2020;46;41;72;73;84;;;2020;46;127813;42;66;70;82
2020;47;42;73;72;84;;;2020;47;128419;43;67;69;82
2020;48;43;73;71;84;;;2020;48;123260;44;67;69;82
2020;49;44;75;73;84;;;2020;49;128442;45;69;70;82
2020;50;45;76;73;84;;;2020;50;156414;46;69;70;82
2020;51;47;76;74;84;;;2020;51;174793;46;69;71;82
2020;52;48;77;73;84;;;2020;52;139077;48;70;71;82
2020;53;49;76;73;84;;;2020;53;123104;49;70;70;82
2021;01;48;77;73;84;;;2021;1;145472;48;70;71;82
2021;02;48;77;75;84;;;2021;2;119086;48;70;72;83
2021;03;49;77;74;84;;;2021;3;95608;48;71;71;82
2021;04;48;76;73;83;;;2021;4;78200;48;70;70;82
2021;05;47;75;72.5;83.5;;;2021;5;64643;46;69;70;81
2021;06;45;74;73;83;;;2021;6;50845;45;69;69;81
2021;07;44;73;74;82;;;2021;7;52482;44;67;70;80
2021;08;42;71;70;82;;;2021;8;56417;42;66;67;79
2021;09;40;69;68;81;;;2021;9;58449;40;65;66;78
2021;10;39;67;67;81;;;2021;10;71421;39;63;66;77
2021;11;38;65;66;79;;;2021;11;92684;39;62;65;76
2021;12;38;65;67;79;;;2021;12;116466;38;61;65;76
2021;13;39;65;67;79;;;2021;13;110252;39;61;64;76
2021;14;39;63;66;78;;;2021;14;118404;39;60;64;75
2021;15;37;64;67;78;;;2021;15;142202;38;60;65;76
2021;16;37;63;66;78;;;2021;16;145065;37;60;63;75
2021;17;37;62;65.5;79;;;2021;17;124991;37;60;63;76
2021;18;37;63;66;79;;;2021;18;101162;37;59;64;77
2021;19;36;62;64;80;;;2021;19;70948;37;59;63;77
2021;20;35;62;66;81;;;2021;20;52865;36;58;64;78
2021;21;34;62;66;77;;;2021;21;29630;35;59;63;77
