Altersmedian/-mittelwert für Hospitalisierte, Patienten auf Intensivstation und Verstorbene von an das RKI übermittelten COVID-19-Fällen für die Meldewochen KW 10 – 53/2020 und KW 01 - 23/2021;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
Meldejahr;Meldewoche;Altersmedian alle COVID-19-Fälle;Altersmedian hospitalisierte Fälle;Altersmedian der Fälle auf Intensivstation;Altersmedian der verstorbenen COVID-19-Fälle;;;;Meldejahr;Meldewoche;Anzahl COVID-19-Fälle;Mittelwert Alter alle COVID-19-Fälle;Mittelwert Alter hospitalisierte Fälle;Mittelwert Alter  Fälle auf Intensivstation;Mittelwert Alter der verstorbenen COVID-19-Fälle
2020;10;45;51;70;79;;;;2020;10;899;43;50;66;77
2020;11;47;58;67;80;;;;2020;11;6427;45;57;66;76
2020;12;47;64;69;80;;;;2020;12;22398;45;63;67;77
2020;13;49;69;70;80;;;;2020;13;33973;48;65;68;78
2020;14;52;72;71;83;;;;2020;14;36047;51;68;68;81
2020;15;52;74;71;83;;;;2020;15;27153;52;69;69;81
2020;16;52;75;71;83;;;;2020;16;17334;51;69;68;81
2020;17;50;75;71;84;;;;2020;17;12356;50;67;68;81
2020;18;48;72;70;82;;;;2020;18;7438;48;66;68;80
2020;19;46;71;71;82;;;;2020;19;6239;47;66;69;81
2020;20;44;71;74;84;;;;2020;20;4763;45;64;70;81
2020;21;41;69;72;84;;;;2020;21;3598;44;65;72;81
2020;22;40;68;70;80;;;;2020;22;3204;42;63;65;78
2020;23;36;63;60;80;;;;2020;23;2352;39;60;58;77
2020;24;34;59;62;83;;;;2020;24;2344;37;56;60;77
2020;25;36;55;63;76;;;;2020;25;4122;36;56;65;75
2020;26;36;57;66;78;;;;2020;26;3214;37;56;63;76
2020;27;35;53;66;78;;;;2020;27;2689;36;54;63;72
2020;28;34;54;63;79;;;;2020;28;2426;35;53;60;75
2020;29;34;53;65;81;;;;2020;29;3020;36;53;64;77
2020;30;35;56;64;79;;;;2020;30;3926;36;54;60;77
2020;31;34;58;59;83;;;;2020;31;4827;36;57;60;79
2020;32;32;56;72;85;;;;2020;32;6057;34;54;68;81
2020;33;30;56;63;83;;;;2020;33;7949;32;53;61;81
2020;34;29;50;63;75;;;;2020;34;9598;32;49;62;71
2020;35;29;52;58;77;;;;2020;35;8820;32;51;58;74
2020;36;30;55;64;79;;;;2020;36;8622;33;53;64;75
2020;37;32;59;71;81;;;;2020;37;9767;35;57;65;78
2020;38;33;60;61;81;;;;2020;38;12290;36;59;60;79
2020;39;34;61;69;83;;;;2020;39;13060;37;59;65;80
2020;40;35;61;68;82;;;;2020;40;15924;38;58;66;78
2020;41;37;62;69;82;;;;2020;41;26119;39;59;67;80
2020;42;37;64;68;83;;;;2020;42;42062;39;61;66;81
2020;43;39;67;72;83;;;;2020;43;74826;40;62;68;81
2020;44;40;68;71;83;;;;2020;44;111040;41;63;68;80
2020;45;40;70;73;83;;;;2020;45;125773;41;64;69;81
2020;46;41;72;73;84;;;;2020;46;127783;42;66;70;82
2020;47;42;73;72;84;;;;2020;47;128392;43;67;69;82
2020;48;43;73;71;84;;;;2020;48;123234;44;67;69;82
2020;49;44;75;73;84;;;;2020;49;128461;45;69;70;82
2020;50;45;76;73;84;;;;2020;50;156387;46;69;70;82
2020;51;47;76;74;84;;;;2020;51;174809;46;69;71;82
2020;52;48;77;73;84;;;;2020;52;139057;48;70;71;82
2020;53;49;76;73;84;;;;2020;53;123110;49;70;70;82
2021;1;48;77;73;84;;;;2021;1;145541;48;70;71;82
2021;2;48;77;75;84;;;;2021;2;119037;48;70;72;83
2021;3;49;77;74;84;;;;2021;3;95593;48;71;71;82
2021;4;48;76;74;83;;;;2021;4;78171;48;70;70;82
2021;5;47;75;73;83;;;;2021;5;64609;46;69;70;81
2021;6;45;74;73;83;;;;2021;6;50833;45;68;70;81
2021;7;44;73;74;82;;;;2021;7;52451;44;67;69;80
2021;8;42;71;70;82;;;;2021;8;56393;42;66;67;79
2021;9;40;69;68;81;;;;2021;9;58421;40;65;66;78
2021;10;39;67;67;80;;;;2021;10;71391;39;63;65;77
2021;11;38;65;66;79;;;;2021;11;92642;39;62;65;76
2021;12;38;65;67;79;;;;2021;12;116436;38;61;64;76
2021;13;39;64;67;78;;;;2021;13;110169;39;61;64;76
2021;14;39;63;66;78;;;;2021;14;118317;39;60;64;75
2021;15;37;64;67;78;;;;2021;15;142116;38;60;65;75
2021;16;37;62;66;78;;;;2021;16;144976;37;60;63;75
2021;17;37;62;66;78;;;;2021;17;124905;37;60;63;75
2021;18;37;63;66;79;;;;2021;18;101112;37;59;64;76
2021;19;36;62;64;79;;;;2021;19;70908;37;59;63;76
2021;20;35;61;66;80;;;;2021;20;52844;36;58;64;77
2021;21;34;61;65;80;;;;2021;21;29935;35;58;61;77
2021;22;33;60;62;80;;;;2021;22;20729;34;58;62;75
2021;23;31;60;68;80;;;;2021;23;14029;33;57;65;76
