Altersmedian/-mittelwert für Hospitalisierte, Patienten auf Intensivstation und Verstorbene von an das RKI übermittelten COVID-19-Fällen für die Meldewochen KW 10 – 53/2020 und KW 01 - 30/2021;;;;;;;;;;;;;;;
Stand: 03.08.2021 08:36:51;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
Meldejahr;Meldewoche;Altersmedian alle COVID-19-Fälle;Altersmedian hospitalisierte Fälle;Altersmedian der Fälle auf Intensivstation;Altersmedian der verstorbenen COVID-19-Fälle;;;;Meldejahr;Meldewoche;Anzahl COVID-19-Fälle;Mittelwert Alter alle COVID-19-Fälle;Mittelwert Alter hospitalisierte Fälle;Mittelwert Alter  Fälle auf Intensivstation;Mittelwert Alter der verstorbenen COVID-19-Fälle
2020;10;45;51;69.5;79;;;;2020;10;898;43;50;66;77
2020;11;47;58;67;80;;;;2020;11;6431;45;57;66;76
2020;12;47;64;69;80;;;;2020;12;22393;45;63;67;77
2020;13;49;69;70;80;;;;2020;13;33972;48;65;68;78
2020;14;52;72;71;83;;;;2020;14;36054;51;68;68;81
2020;15;52;74;71;83;;;;2020;15;27136;52;69;69;81
2020;16;52;75;71;83;;;;2020;16;17335;51;69;68;81
2020;17;50;74.5;71;84;;;;2020;17;12345;50;67;68;81
2020;18;48;72;70;82;;;;2020;18;7435;48;66;68;80
2020;19;46;71;71;82;;;;2020;19;6238;47;66;69;81
2020;20;44;71;74;84;;;;2020;20;4764;45;64;70;81
2020;21;41;69;72;84;;;;2020;21;3598;44;65;72;81
2020;22;40;67.5;70;80;;;;2020;22;3204;42;63;65;78
2020;23;36;63;60;80;;;;2020;23;2351;39;59;58;77
2020;24;34;59;61.5;83;;;;2020;24;2341;37;56;60;77
2020;25;36;54;62.5;76;;;;2020;25;4191;36;56;65;75
2020;26;36;57;66;78;;;;2020;26;3153;37;56;63;76
2020;27;35;53;66;77.5;;;;2020;27;2688;36;54;63;72
2020;28;34;54;63;79;;;;2020;28;2427;36;54;60;75
2020;29;34;53;64;81;;;;2020;29;3021;36;53;63;77
2020;30;35;56;64;79;;;;2020;30;3926;36;54;60;77
2020;31;34;58;59;83;;;;2020;31;4831;36;57;60;80
2020;32;32;56;72;85;;;;2020;32;6058;34;54;68;81
2020;33;30;56;63;83;;;;2020;33;7951;32;53;61;81
2020;34;29;50.5;63;75;;;;2020;34;9597;32;50;62;70
2020;35;29;51;57.5;76.5;;;;2020;35;8823;32;51;58;74
2020;36;30;55;64;78.5;;;;2020;36;8618;33;53;64;75
2020;37;32;59;71;81;;;;2020;37;9763;35;57;65;79
2020;38;33;60;61;81;;;;2020;38;12289;36;59;60;79
2020;39;34;61;68.5;82;;;;2020;39;13061;37;59;65;80
2020;40;35;61;68;82;;;;2020;40;15924;38;58;67;78
2020;41;37;62;69;82;;;;2020;41;26108;39;59;67;80
2020;42;37;64;68.5;83;;;;2020;42;42061;39;61;66;81
2020;43;39;67;72;83;;;;2020;43;74866;40;62;68;81
2020;44;40;68;71;83;;;;2020;44;111032;41;63;68;80
2020;45;40;70;73;83;;;;2020;45;125769;41;64;69;81
2020;46;41;71;73;84;;;;2020;46;127781;42;66;70;82
2020;47;42;73;72;84;;;;2020;47;128379;43;67;69;82
2020;48;43;73;71;84;;;;2020;48;123213;44;67;69;82
2020;49;44;75;73;84;;;;2020;49;128396;45;69;70;82
2020;50;45;76;73;84;;;;2020;50;156303;46;69;70;82
2020;51;47;76;74;84;;;;2020;51;174745;46;69;71;82
2020;52;48;77;73;84;;;;2020;52;138996;48;70;71;82
2020;53;49;76;73;84;;;;2020;53;123086;49;70;70;82
2021;01;48;77;73;84;;;;2021;1;145470;48;70;71;82
2021;02;48;77;75;84;;;;2021;2;118926;48;70;72;83
2021;03;49;76;74;84;;;;2021;3;95541;48;71;71;82
2021;04;48;76;74;83;;;;2021;4;78118;48;70;70;82
2021;05;47;75;72.5;84;;;;2021;5;64571;46;69;70;81
2021;06;45;74;73;83;;;;2021;6;50801;45;68;70;81
2021;07;44;73;73;82;;;;2021;7;52404;44;67;69;80
2021;08;42;70;70;82;;;;2021;8;56361;42;66;67;79
2021;09;40;69;68;81;;;;2021;9;58372;40;64;66;78
2021;10;39;67;67;80;;;;2021;10;71308;39;63;65;77
2021;11;38;65;66;79;;;;2021;11;92598;39;62;65;76
2021;12;38;65;67;79;;;;2021;12;116271;38;61;64;76
2021;13;39;64;67;78;;;;2021;13;110102;39;61;64;76
2021;14;39;63;66;78;;;;2021;14;118258;39;60;64;75
2021;15;37;64;66;78;;;;2021;15;142032;38;60;64;75
2021;16;37;62;66;77;;;;2021;16;144768;37;60;63;74
2021;17;37;62;65;78;;;;2021;17;124851;37;59;63;75
2021;18;37;62;66;78;;;;2021;18;101013;37;59;64;75
2021;19;36;62;64;78;;;;2021;19;70862;37;59;62;76
2021;20;35;61;65;79;;;;2021;20;52745;36;58;63;76
2021;21;34;61;64.5;79;;;;2021;21;29898;35;58;61;76
2021;22;33;59;63;79;;;;2021;22;20713;34;57;62;75
2021;23;31;57;61;79;;;;2021;23;14035;33;55;60;75
2021;24;30;55;58;78;;;;2021;24;7254;32;53;56;74
2021;25;30;53;66;71.5;;;;2021;25;4809;32;50;60;72
2021;26;29;55;62;80;;;;2021;26;4344;32;52;63;77
2021;27;28;53;57;86;;;;2021;27;5562;32;52;57;78
2021;28;27;47;55;84;;;;2021;28;9070;30;49;54;82
2021;29;27;47;56;73;;;;2021;29;12577;30;48;57;74
2021;30;28;50;57;65;;;;2021;30;15222;31;49;58;70
