Altersmedian/-mittelwert für Hospitalisierte, Patienten auf Intensivstation und Verstorbene von an das RKI übermittelten COVID-19-Fällen für die Meldewochen KW 10 – 53/2020, KW 01 – 52/2021 und KW 01/2022;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Stand: 12.01.2022 07:32:01;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Meldejahr;Meldewoche;Alle_Altersmedian;Hosp_Altersmedian;ITS_Altersmedian;Verstorben_Altersmedian;;;Meldejahr;Meldewoche;Fälle gesamt;Alle_MW_Alter;Hosp_MW_Alter;ITS_MW_Alter;Verst_MW_Alter
2020;10;45;51;69.5;79;;;2020;10;899;43;50;66;77
2020;11;47;58;67;80;;;2020;11;6,429;45;57;66;76
2020;12;47;64;69;80;;;2020;12;22,386;45;63;67;77
2020;13;49;69;70;80;;;2020;13;33,968;48;65;68;78
2020;14;52;72;71;83;;;2020;14;36,052;51;68;68;81
2020;15;52;74;71.5;83;;;2020;15;27,131;52;69;69;81
2020;16;52;75;71;83;;;2020;16;17,323;51;69;68;81
2020;17;50;75;71;84;;;2020;17;12,349;50;67;68;81
2020;18;48;72;70;82;;;2020;18;7,427;48;66;68;80
2020;19;46;71;71;82;;;2020;19;6,235;47;66;69;81
2020;20;44;71;74;84;;;2020;20;4,757;45;64;70;81
2020;21;41;69;72;84;;;2020;21;3,598;44;65;72;81
2020;22;40;67;70;80;;;2020;22;3,204;42;63;65;78
2020;23;36;63;60;80;;;2020;23;2,353;39;59;58;77
2020;24;34;59;61.5;83;;;2020;24;2,342;37;56;60;77
2020;25;36;54;62.5;76;;;2020;25;4,190;36;56;65;75
2020;26;36;57;66;78.5;;;2020;26;3,155;37;56;63;76
2020;27;35;53;66;77.5;;;2020;27;2,687;36;54;63;72
2020;28;34;54;63;79;;;2020;28;2,421;36;53;60;75
2020;29;34;53;64;81;;;2020;29;3,026;36;53;63;77
2020;30;35;56;64;79;;;2020;30;3,927;36;54;60;77
2020;31;34;57.5;59;83;;;2020;31;4,833;36;57;60;79
2020;32;32;56;72;85;;;2020;32;6,058;34;54;68;81
2020;33;30;56;63;83;;;2020;33;7,952;32;54;61;81
2020;34;29;51;63;75;;;2020;34;9,597;32;50;62;70
2020;35;29;51.5;57.5;76.5;;;2020;35;8,827;32;51;58;74
2020;36;30;55;64;78.5;;;2020;36;8,611;33;53;63;75
2020;37;32;60;71;81;;;2020;37;9,758;35;57;65;79
2020;38;33;60;61;81;;;2020;38;12,292;36;59;60;79
2020;39;34;61;68.5;82.5;;;2020;39;13,064;37;59;65;80
2020;40;35;61;70;82;;;2020;40;15,924;38;58;67;78
2020;41;37;62;69;82;;;2020;41;26,119;39;59;67;80
2020;42;37;64;68;83;;;2020;42;42,062;39;61;66;81
2020;43;39;67;72;83;;;2020;43;74,864;40;63;68;81
2020;44;40;68;71;83;;;2020;44;111,007;41;63;68;80
2020;45;40;70;73;83;;;2020;45;125,727;41;64;69;81
2020;46;41;72;73;84;;;2020;46;127,783;42;66;70;82
2020;47;42;73;72;84;;;2020;47;128,367;43;67;69;82
2020;48;43;73;71;84;;;2020;48;123,151;44;67;69;82
2020;49;44;75;73;84;;;2020;49;128,355;45;69;70;82
2020;50;45;76;73;84;;;2020;50;156,294;46;69;70;82
2020;51;47;76;74;84;;;2020;51;174,703;46;69;71;82
2020;52;48;77;73;84;;;2020;52;138,927;48;70;71;82
2020;53;49;76;73;84;;;2020;53;123,088;49;70;70;82
2021;01;48;76;73;84;;;2021;1;145,475;48;70;71;82
2021;02;48;77;75;84;;;2021;2;118,874;48;70;72;83
2021;03;49;76;74;84;;;2021;3;95,510;48;70;72;82
2021;04;48;76;74;83;;;2021;4;78,121;48;70;70;82
2021;05;47;75;73;84;;;2021;5;64,553;46;69;70;81
2021;06;45;74;73;82;;;2021;6;50,799;45;68;70;80
2021;07;44;73;73;82;;;2021;7;52,390;44;67;69;80
2021;08;42;70;70;82;;;2021;8;56,339;42;66;67;79
2021;09;40;69;67;81;;;2021;9;58,369;40;64;65;78
2021;10;39;67;67;80;;;2021;10;71,319;39;63;65;77
2021;11;38;65;66;79;;;2021;11;92,579;39;62;65;76
2021;12;38;65;66;79;;;2021;12;116,258;38;61;64;76
2021;13;39;64;67;78;;;2021;13;110,102;39;61;64;76
