Sterbjahr;Sterbewoche;AG 0-9 Jahre;AG 10-19 Jahre;AG 20-29 Jahre;AG 30-39 Jahre;AG 40-49 Jahre;AG 50-59 Jahre;AG 60-69 Jahre;AG 70-79 Jahre;AG 80-89 Jahre;AG 90+ Jahre
2021;1;<4;0;0;6;15;122;366;967;2520;1284
2021;2;0;0;4;4;18;108;349;921;2197;1180
2021;3;0;0;0;7;24;102;345;817;2139;1041
2021;4;0;0;<4;<4;18;81;284;692;1728;911
2020;10;0;0;0;0;0;<4;<4;0;0;0
2020;11;0;0;0;0;0;0;<4;6;11;0
2020;12;0;0;0;0;<4;8;7;36;85;25
2020;13;0;0;<4;<4;7;20;60;144;292;75
2020;14;0;0;<4;5;9;54;127;321;593;259
2020;15;<4;0;<4;0;14;51;139;391;808;332
2020;16;0;0;0;<4;13;37;146;361;706;332
2020;17;0;<4;<4;5;4;37;112;237;533;239
2020;18;0;0;<4;<4;4;40;88;174;333;146
2020;19;0;0;<4;<4;5;13;48;121;221;105
2020;20;0;0;0;<4;4;22;54;81;133;60
2020;21;0;0;<4;0;6;10;25;62;118;52
2020;22;0;0;0;<4;<4;8;20;39;62;19
2020;23;0;0;0;<4;<4;7;13;17;55;21
2020;24;0;0;0;<4;<4;<4;12;22;25;10
2020;25;0;0;0;0;<4;4;6;13;16;10
2020;26;0;0;0;0;<4;6;12;9;17;7
2020;27;0;0;0;0;<4;<4;9;14;12;6
2020;28;0;0;0;0;<4;5;4;8;4;6
2020;29;0;0;0;0;0;<4;4;6;12;<4
2020;30;0;0;0;0;<4;<4;4;6;9;6
2020;31;0;0;0;0;<4;0;6;8;9;6
2020;32;0;0;<4;0;0;<4;<4;8;12;4
2020;33;0;0;0;0;0;<4;4;6;14;6
2020;34;0;0;0;0;<4;<4;5;8;15;9
2020;35;0;0;0;<4;0;7;7;10;10;<4
2020;36;0;0;0;<4;0;<4;<4;8;<4;<4
2020;37;0;0;0;0;0;<4;<4;9;15;<4
2020;38;0;0;0;<4;0;5;5;10;20;12
2020;39;0;0;0;0;<4;<4;4;15;25;16
2020;40;0;0;0;0;0;6;<4;17;39;15
2020;41;0;0;<4;0;<4;<4;16;34;46;20
2020;42;0;0;<4;<4;<4;7;15;42;122;46
2020;43;0;0;<4;<4;5;5;38;74;172;107
2020;44;0;<4;0;<4;6;26;56;145;351;196
2020;45;0;0;<4;<4;5;29;88;219;590;291
2020;46;0;0;0;6;16;45;98;314;775;374
2020;47;0;0;4;<4;17;48;157;402;955;497
2020;48;0;0;4;<4;17;68;197;551;1279;719
2020;49;<4;0;<4;5;17;59;238;624;1571;813
2020;50;<4;0;<4;<4;17;96;274;752;2024;1040
2020;51;0;0;<4;13;28;107;347;868;2474;1249
2020;52;0;0;<4;<4;17;118;376;1028;2711;1359
2020;53;<4;0;4;7;21;135;372;1031;2615;1373
