Sterbejahr;Sterbewoche;Männer, AG 0-19 Jahre;Männer, AG 20-39 Jahre;Männer, AG 40-59 Jahre;Männer, AG 60-79 Jahre;Männer, AG 80+ Jahre;Frauen, AG 0-19 Jahre;Frauen, AG 20-39 Jahre;Frauen, AG 40-59 Jahre;Frauen, AG 60-79 Jahre;Frauen, AG 80+ Jahre
2020;10;0;0;<4;<4;0;0;0;0;0;0
2020;11;0;0;0;6;6;0;0;0;<4;5
2020;12;0;0;7;30;61;0;0;<4;13;49
2020;13;0;<4;20;152;218;0;<4;6;51;150
2020;14;0;5;51;316;459;0;<4;13;130;393
2020;15;0;<4;48;359;498;<4;<4;17;174;644
2020;16;0;<4;38;355;478;0;<4;13;153;557
2020;17;<4;5;31;247;331;0;<4;10;103;444
2020;18;0;<4;26;177;222;0;<4;18;87;266
2020;19;0;4;14;118;147;0;0;4;51;178
2020;20;0;<4;21;92;89;0;0;5;43;104
2020;21;0;0;8;57;75;0;<4;6;30;98
2020;22;0;<4;7;40;33;0;0;<4;18;48
2020;23;0;<4;<4;18;34;0;0;5;12;42
2020;24;0;<4;<4;21;23;0;0;<4;12;12
2020;25;0;0;<4;17;12;0;0;<4;<4;15
2020;26;0;0;6;12;4;0;0;<4;9;21
2020;27;0;0;<4;11;5;0;0;<4;11;14
2020;28;0;0;6;7;6;0;0;0;5;4
2020;29;0;0;<4;9;5;0;0;0;<4;9
2020;30;0;0;5;9;8;0;0;<4;<4;7
2020;31;0;0;<4;13;8;0;0;0;<4;7
2020;32;0;<4;<4;7;11;0;0;<4;<4;5
2020;33;0;0;<4;8;11;0;0;0;<4;9
2020;34;0;0;<4;9;9;0;0;<4;4;15
2020;35;0;<4;5;12;4;0;0;<4;4;8
2020;36;0;0;<4;10;<4;0;<4;<4;<4;<4
2020;37;0;0;<4;6;10;0;0;<4;6;8
2020;38;0;0;4;8;17;0;<4;<4;7;15
2020;39;0;0;4;11;21;0;0;<4;9;20
2020;40;0;0;5;16;28;0;0;<4;4;27
2020;41;0;<4;<4;36;35;0;0;<4;13;32
2020;42;0;<4;5;38;89;0;0;4;20;82
2020;43;0;<4;10;72;132;0;<4;<4;42;151
2020;44;<4;<4;22;149;269;0;0;11;57;288
2020;45;0;<4;26;203;430;0;<4;8;110;474
2020;46;0;<4;39;266;578;0;<4;23;151;592
2020;47;0;<4;48;379;692;0;<4;17;190;795
2020;48;0;<4;58;478;882;0;<4;28;291;1177
2020;49;<4;<4;57;557;1081;<4;5;24;330;1376
2020;50;0;<4;81;694;1393;<4;<4;32;371;1755
2020;51;0;11;99;820;1694;0;<4;38;436;2151
2020;52;0;4;101;928;1849;0;<4;47;527;2385
2020;53;0;9;118;955;1811;<4;<4;46;508;2376
2021;1;<4;<4;95;948;1743;0;<4;50;448;2214
2021;2;0;5;94;861;1552;0;<4;35;463;2012
2021;3;0;5;91;785;1483;0;<4;43;443;1901
2021;4;0;<4;69;679;1245;0;<4;36;384;1641
2021;5;0;<4;78;594;1022;0;4;30;331;1243
2021;6;0;<4;65;504;840;0;<4;25;262;963
2021;7;<4;<4;58;400;573;0;<4;23;216;726
2021;8;0;5;50;340;514;0;4;25;187;563
2021;9;0;5;37;301;408;<4;6;15;162;403
2021;10;<4;10;33;268;359;<4;6;19;152;367
2021;11;0;6;44;261;296;0;<4;28;126;339
2021;12;0;4;51;282;346;0;0;32;145;304
2021;13;<4;13;79;328;371;<4;9;31;173;329
2021;14;0;7;74;382;403;0;<4;30;203;370
2021;15;0;6;80;456;337;0;<4;30;219;324
2021;16;0;9;98;474;346;<4;<4;34;237;328
2021;17;<4;4;94;439;306;<4;<4;37;260;335
2021;18;0;17;108;436;271;0;<4;41;195;283
2021;19;<4;6;81;339;210;<4;5;32;170;222
2021;20;0;6;79;266;146;<4;<4;31;146;151
2021;21;0;6;46;195;124;0;<4;21;97;113
