Bundesland;Sterbewoche;Sterbejahr;Anzahl verstorbene COVID-19 Fälle
BW;1;2021;561
BW;2;2021;466
BW;3;2021;430
BW;4;2021;331
BW;5;2021;246
BW;6;2021;223
BW;7;2021;129
BW;8;2021;97
BW;9;2021;125
BW;10;2020;<4
BW;10;2021;94
BW;11;2020;5
BW;11;2021;81
BW;12;2020;44
BW;12;2021;100
BW;13;2020;175
BW;14;2020;316
BW;15;2020;350
BW;16;2020;310
BW;17;2020;231
BW;18;2020;144
BW;19;2020;90
BW;20;2020;66
BW;21;2020;45
BW;22;2020;31
BW;23;2020;18
BW;24;2020;12
BW;25;2020;5
BW;26;2020;6
BW;27;2020;4
BW;28;2020;<4
BW;29;2020;<4
BW;30;2020;7
BW;31;2020;4
BW;32;2020;<4
BW;33;2020;<4
BW;34;2020;4
BW;35;2020;<4
BW;36;2020;<4
BW;37;2020;<4
BW;38;2020;7
BW;39;2020;9
BW;40;2020;12
BW;41;2020;15
BW;42;2020;47
BW;43;2020;54
BW;44;2020;110
BW;45;2020;155
BW;46;2020;192
BW;47;2020;256
BW;48;2020;374
BW;49;2020;419
BW;50;2020;538
BW;51;2020;600
BW;52;2020;611
BW;53;2020;570
BY;1;2021;840
BY;2;2021;807
BY;3;2021;740
BY;4;2021;544
BY;5;2021;440
BY;6;2021;324
BY;7;2021;244
BY;8;2021;200
BY;9;2021;172
BY;10;2020;0
BY;10;2021;141
BY;11;2020;5
BY;11;2021;150
BY;12;2020;40
BY;12;2021;125
BY;13;2020;184
BY;14;2020;435
BY;15;2020;524
BY;16;2020;482
BY;17;2020;317
BY;18;2020;232
BY;19;2020;139
BY;20;2020;87
BY;21;2020;77
BY;22;2020;37
BY;23;2020;27
BY;24;2020;13
BY;25;2020;14
BY;26;2020;6
BY;27;2020;6
BY;28;2020;10
BY;29;2020;4
BY;30;2020;<4
BY;31;2020;<4
BY;32;2020;<4
BY;33;2020;<4
BY;34;2020;<4
BY;35;2020;5
BY;36;2020;<4
BY;37;2020;8
BY;38;2020;10
BY;39;2020;9
BY;40;2020;16
BY;41;2020;16
BY;42;2020;36
BY;43;2020;56
BY;44;2020;83
BY;45;2020;179
BY;46;2020;285
BY;47;2020;349
BY;48;2020;488
BY;49;2020;652
BY;50;2020;770
BY;51;2020;890
BY;52;2020;927
BY;53;2020;885
BE;1;2021;239
BE;2;2021;206
BE;3;2021;199
BE;4;2021;150
BE;5;2021;100
BE;6;2021;87
BE;7;2021;79
BE;8;2021;57
BE;9;2021;54
BE;10;2020;0
BE;10;2021;36
BE;11;2020;0
BE;11;2021;43
BE;12;2020;<4
BE;12;2021;29
BE;13;2020;18
BE;14;2020;22
BE;15;2020;55
BE;16;2020;29
BE;17;2020;26
