Bundesland;Sterbejahr;Sterbewoche;Anzahl verstorbene COVID-19 Fälle
BW;2020;10;<4
BW;2020;11;5
BW;2020;12;44
BW;2020;13;175
BW;2020;14;318
BW;2020;15;352
BW;2020;16;315
BW;2020;17;233
BW;2020;18;144
BW;2020;19;89
BW;2020;20;66
BW;2020;21;46
BW;2020;22;31
BW;2020;23;19
BW;2020;24;12
BW;2020;25;5
BW;2020;26;6
BW;2020;27;4
BW;2020;28;<4
BW;2020;29;<4
BW;2020;30;8
BW;2020;31;5
BW;2020;32;<4
BW;2020;33;<4
BW;2020;34;4
BW;2020;35;<4
BW;2020;36;<4
BW;2020;37;<4
BW;2020;38;7
BW;2020;39;9
BW;2020;40;12
BW;2020;41;15
BW;2020;42;47
BW;2020;43;53
BW;2020;44;109
BW;2020;45;156
BW;2020;46;200
BW;2020;47;264
BW;2020;48;380
BW;2020;49;426
BW;2020;50;546
BW;2020;51;608
BW;2020;52;627
BW;2020;53;584
BW;2021;1;575
BW;2021;2;471
BW;2021;3;437
BW;2021;4;341
BW;2021;5;260
BW;2021;6;231
BW;2021;7;143
BW;2021;8;113
BW;2021;9;130
BW;2021;10;107
BW;2021;11;93
BW;2021;12;115
BW;2021;13;136
BW;2021;14;177
BW;2021;15;148
BW;2021;16;182
BW;2021;17;180
BW;2021;18;154
BW;2021;19;145
BW;2021;20;108
BW;2021;21;89
BW;2021;22;53
BW;2021;23;42
BW;2021;24;39
BW;2021;25;19
BW;2021;26;10
BW;2021;27;5
BW;2021;28;5
BW;2021;29;9
BW;2021;30;<4
BW;2021;31;7
BW;2021;32;5
BW;2021;33;13
BW;2021;34;28
BW;2021;35;41
BW;2021;36;54
BW;2021;37;67
BW;2021;38;44
BW;2021;39;54
BW;2021;40;65
BW;2021;41;77
BW;2021;42;88
BW;2021;43;139
BW;2021;44;157
BW;2021;45;188
BW;2021;46;232
BW;2021;47;308
BW;2021;48;333
BW;2021;49;323
BW;2021;50;301
BW;2021;51;243
BW;2021;52;209
BW;2022;1;131
BW;2022;2;115
BW;2022;3;82
BW;2022;4;102
BW;2022;5;139
BW;2022;6;141
BW;2022;7;184
BW;2022;8;172
BW;2022;9;164
BW;2022;10;168
BW;2022;11;164
BW;2022;12;175
BW;2022;13;146
BY;2020;10;0
BY;2020;11;5
BY;2020;12;40
BY;2020;13;183
BY;2020;14;434
BY;2020;15;522
BY;2020;16;480
BY;2020;17;316
BY;2020;18;231
BY;2020;19;137
BY;2020;20;86
BY;2020;21;75
BY;2020;22;37
BY;2020;23;28
BY;2020;24;15
BY;2020;25;14
BY;2020;26;10
BY;2020;27;6
BY;2020;28;10
BY;2020;29;5
BY;2020;30;<4
BY;2020;31;<4
BY;2020;32;<4
BY;2020;33;<4
BY;2020;34;<4
BY;2020;35;6
BY;2020;36;<4
BY;2020;37;8
BY;2020;38;10
BY;2020;39;9
BY;2020;40;16
BY;2020;41;16
BY;2020;42;37
BY;2020;43;57
BY;2020;44;84
BY;2020;45;185
BY;2020;46;287
BY;2020;47;356
BY;2020;48;499
BY;2020;49;676
BY;2020;50;773
BY;2020;51;916
BY;2020;52;957
BY;2020;53;913
BY;2021;1;865
BY;2021;2;840
BY;2021;3;763
BY;2021;4;558
BY;2021;5;460
BY;2021;6;345
BY;2021;7;252
BY;2021;8;216
BY;2021;9;179
BY;2021;10;156
BY;2021;11;166
BY;2021;12;136
BY;2021;13;188
BY;2021;14;212
BY;2021;15;242
BY;2021;16;219
BY;2021;17;220
BY;2021;18;213
BY;2021;19;159
BY;2021;20;138
BY;2021;21;97
BY;2021;22;62
BY;2021;23;39
BY;2021;24;36
BY;2021;25;20
BY;2021;26;14
BY;2021;27;12
BY;2021;28;8
BY;2021;29;12
BY;2021;30;6
BY;2021;31;9
BY;2021;32;13
BY;2021;33;18
BY;2021;34;21
BY;2021;35;38
BY;2021;36;59
BY;2021;37;71
BY;2021;38;80
BY;2021;39;83
BY;2021;40;92
BY;2021;41;116
BY;2021;42;129
BY;2021;43;160
BY;2021;44;288
BY;2021;45;392
BY;2021;46;519
BY;2021;47;628
BY;2021;48;633
BY;2021;49;511
BY;2021;50;416
BY;2021;51;322
BY;2021;52;232
BY;2022;1;159
BY;2022;2;110
BY;2022;3;130
BY;2022;4;130
BY;2022;5;182
BY;2022;6;215
BY;2022;7;225
BY;2022;8;271
BY;2022;9;258
BY;2022;10;217
BY;2022;11;233
BY;2022;12;290
BY;2022;13;204
BE;2020;10;0
BE;2020;11;0
BE;2020;12;<4
BE;2020;13;18
BE;2020;14;22
BE;2020;15;53
BE;2020;16;29
BE;2020;17;25
BE;2020;18;16
BE;2020;19;20
BE;2020;20;9
BE;2020;21;5
BE;2020;22;8
BE;2020;23;<4
BE;2020;24;<4
BE;2020;25;<4
BE;2020;26;<4
BE;2020;27;<4
BE;2020;28;<4
BE;2020;29;<4
BE;2020;30;<4
BE;2020;31;<4
BE;2020;32;<4
BE;2020;33;0
BE;2020;34;<4
BE;2020;35;<4
BE;2020;36;0
