publication	date	deaths
2020-05-08	2020-03-07	0
2020-05-08	2020-03-08	1
2020-05-08	2020-03-09	2
2020-05-08	2020-03-10	1
2020-05-08	2020-03-11	1
2020-05-08	2020-03-12	3
2020-05-08	2020-03-13	2
2020-05-08	2020-03-14	2
2020-05-08	2020-03-15	3
2020-05-08	2020-03-16	10
2020-05-08	2020-03-17	12
2020-05-08	2020-03-18	12
2020-05-08	2020-03-19	20
2020-05-08	2020-03-20	38
2020-05-08	2020-03-21	23
2020-05-08	2020-03-22	39
2020-05-08	2020-03-23	38
2020-05-08	2020-03-24	64
2020-05-08	2020-03-25	74
2020-05-08	2020-03-26	87
2020-05-08	2020-03-27	101
2020-05-08	2020-03-28	106
2020-05-08	2020-03-29	115
2020-05-08	2020-03-30	170
2020-05-08	2020-03-31	157
2020-05-08	2020-04-01	161
2020-05-08	2020-04-02	199
2020-05-08	2020-04-03	192
2020-05-08	2020-04-04	218
2020-05-08	2020-04-05	232
2020-05-08	2020-04-06	238
2020-05-08	2020-04-07	244
2020-05-08	2020-04-08	244
2020-05-08	2020-04-09	242
2020-05-08	2020-04-10	233
2020-05-08	2020-04-11	232
2020-05-08	2020-04-12	222
2020-05-08	2020-04-13	229
2020-05-08	2020-04-14	236
2020-05-08	2020-04-15	219
2020-05-08	2020-04-16	221
2020-05-08	2020-04-17	221
2020-05-08	2020-04-18	171
2020-05-08	2020-04-19	195
2020-05-08	2020-04-20	200
2020-05-08	2020-04-21	159
2020-05-08	2020-04-22	177
2020-05-08	2020-04-23	136
2020-05-08	2020-04-24	152
2020-05-08	2020-04-25	116
2020-05-08	2020-04-26	129
2020-05-08	2020-04-27	114
2020-05-08	2020-04-28	100
2020-05-08	2020-04-29	109
2020-05-08	2020-04-30	104
2020-05-08	2020-05-01	80
2020-05-08	2020-05-02	62
2020-05-08	2020-05-03	77
2020-05-08	2020-05-04	68
2020-05-08	2020-05-05	64
2020-05-08	2020-05-06	38
2020-05-08	2020-05-07	2
2020-05-09	2020-03-08	2
2020-05-09	2020-03-09	4
2020-05-09	2020-03-10	2
2020-05-09	2020-03-11	2
2020-05-09	2020-03-12	5
2020-05-09	2020-03-13	2
2020-05-09	2020-03-14	4
2020-05-09	2020-03-15	5
2020-05-09	2020-03-16	11
2020-05-09	2020-03-17	13
2020-05-09	2020-03-18	13
2020-05-09	2020-03-19	22
2020-05-09	2020-03-20	38
2020-05-09	2020-03-21	25
2020-05-09	2020-03-22	41
2020-05-09	2020-03-23	41
2020-05-09	2020-03-24	66
2020-05-09	2020-03-25	75
2020-05-09	2020-03-26	90
2020-05-09	2020-03-27	102
2020-05-09	2020-03-28	108
2020-05-09	2020-03-29	116
2020-05-09	2020-03-30	171
2020-05-09	2020-03-31	158
2020-05-09	2020-04-01	162
2020-05-09	2020-04-02	201
2020-05-09	2020-04-03	192
2020-05-09	2020-04-04	220
2020-05-09	2020-04-05	232
2020-05-09	2020-04-06	239
2020-05-09	2020-04-07	245
2020-05-09	2020-04-08	247
2020-05-09	2020-04-09	245
2020-05-09	2020-04-10	234
2020-05-09	2020-04-11	233
2020-05-09	2020-04-12	223
2020-05-09	2020-04-13	233
2020-05-09	2020-04-14	237
2020-05-09	2020-04-15	220
2020-05-09	2020-04-16	224
2020-05-09	2020-04-17	224
2020-05-09	2020-04-18	175
2020-05-09	2020-04-19	196
2020-05-09	2020-04-20	201
2020-05-09	2020-04-21	161
2020-05-09	2020-04-22	181
2020-05-09	2020-04-23	141
2020-05-09	2020-04-24	152
2020-05-09	2020-04-25	119
2020-05-09	2020-04-26	131
2020-05-09	2020-04-27	119
2020-05-09	2020-04-28	106
2020-05-09	2020-04-29	110
2020-05-09	2020-04-30	106
2020-05-09	2020-05-01	86
2020-05-09	2020-05-02	65
2020-05-09	2020-05-03	81
2020-05-09	2020-05-04	71
2020-05-09	2020-05-05	71
2020-05-09	2020-05-06	55
2020-05-09	2020-05-07	30
2020-05-09	2020-05-08	14
2020-05-10	2020-03-08	2
2020-05-10	2020-03-09	3
2020-05-10	2020-03-10	2
2020-05-10	2020-03-11	2
2020-05-10	2020-03-12	5
2020-05-10	2020-03-13	3
2020-05-10	2020-03-14	3
2020-05-10	2020-03-15	5
2020-05-10	2020-03-16	11
2020-05-10	2020-03-17	13
2020-05-10	2020-03-18	13
2020-05-10	2020-03-19	22
2020-05-10	2020-03-20	38
2020-05-10	2020-03-21	24
2020-05-10	2020-03-22	41
2020-05-10	2020-03-23	41
2020-05-10	2020-03-24	65
2020-05-10	2020-03-25	74
2020-05-10	2020-03-26	90
2020-05-10	2020-03-27	102
2020-05-10	2020-03-28	108
2020-05-10	2020-03-29	116
2020-05-10	2020-03-30	170
2020-05-10	2020-03-31	157
2020-05-10	2020-04-01	161
2020-05-10	2020-04-02	201
2020-05-10	2020-04-03	193
2020-05-10	2020-04-04	220
2020-05-10	2020-04-05	232
2020-05-10	2020-04-06	239
2020-05-10	2020-04-07	245
2020-05-10	2020-04-08	245
2020-05-10	2020-04-09	245
2020-05-10	2020-04-10	234
2020-05-10	2020-04-11	232
2020-05-10	2020-04-12	222
2020-05-10	2020-04-13	232
2020-05-10	2020-04-14	236
2020-05-10	2020-04-15	219
2020-05-10	2020-04-16	223
2020-05-10	2020-04-17	224
2020-05-10	2020-04-18	175
2020-05-10	2020-04-19	196
2020-05-10	2020-04-20	200
2020-05-10	2020-04-21	161
2020-05-10	2020-04-22	181
2020-05-10	2020-04-23	142
2020-05-10	2020-04-24	151
2020-05-10	2020-04-25	119
2020-05-10	2020-04-26	131
2020-05-10	2020-04-27	118
2020-05-10	2020-04-28	105
2020-05-10	2020-04-29	109
2020-05-10	2020-04-30	105
2020-05-10	2020-05-01	86
2020-05-10	2020-05-02	64
2020-05-10	2020-05-03	79
2020-05-10	2020-05-04	71
2020-05-10	2020-05-05	75
2020-05-10	2020-05-06	56
2020-05-10	2020-05-07	33
2020-05-10	2020-05-08	22
2020-05-10	2020-05-09	1
2020-05-11	2020-03-08	2
2020-05-11	2020-03-09	4
2020-05-11	2020-03-10	2
2020-05-11	2020-03-11	2
2020-05-11	2020-03-12	5
2020-05-11	2020-03-13	3
2020-05-11	2020-03-14	4
2020-05-11	2020-03-15	5
2020-05-11	2020-03-16	12
2020-05-11	2020-03-17	13
2020-05-11	2020-03-18	13
2020-05-11	2020-03-19	22
2020-05-11	2020-03-20	39
2020-05-11	2020-03-21	24
2020-05-11	2020-03-22	41
2020-05-11	2020-03-23	41
2020-05-11	2020-03-24	66
2020-05-11	2020-03-25	75
2020-05-11	2020-03-26	90
2020-05-11	2020-03-27	102
2020-05-11	2020-03-28	108
2020-05-11	2020-03-29	115
2020-05-11	2020-03-30	170
2020-05-11	2020-03-31	157
