date	00-17	18-29	30-39	40-49	50-59	60-69	70-79	80+	publication
2021-07-16	3	8	15	35	81	120	69	17	2021-08-19
2021-07-17	3	7	15	33	85	113	64	18	2021-08-19
2021-07-18	2	7	15	33	85	113	66	17	2021-08-19
2021-07-19	5	10	14	34	84	115	63	12	2021-08-19
2021-07-20	4	11	15	32	80	114	63	11	2021-08-19
2021-07-21	4	12	20	33	74	109	62	8	2021-08-19
2021-07-22	4	16	19	37	82	117	62	8	2021-08-19
2021-07-23	3	14	20	37	69	103	66	12	2021-08-19
2021-07-24	3	15	19	35	68	105	64	11	2021-08-19
2021-07-25	4	14	21	36	72	107	69	16	2021-08-19
2021-07-26	4	11	24	37	76	101	68	19	2021-08-19
2021-07-27	3	10	21	37	77	109	67	15	2021-08-19
2021-07-28	4	6	22	35	81	97	68	15	2021-08-19
2021-07-29	3	8	24	33	88	104	67	13	2021-08-19
2021-07-30	3	6	16	34	85	91	73	13	2021-08-19
2021-07-31	4	6	18	36	89	93	76	14	2021-08-19
2021-08-01	4	7	20	36	86	93	76	13	2021-08-19
2021-08-02	4	8	21	39	86	96	79	17	2021-08-19
2021-08-03	3	7	22	39	88	98	71	19	2021-08-19
2021-08-04	4	11	24	43	92	97	72	19	2021-08-19
2021-08-05	3	13	28	43	96	109	69	17	2021-08-19
2021-08-06	4	15	24	43	87	103	69	22	2021-08-19
2021-08-07	7	16	23	50	93	104	73	23	2021-08-19
2021-08-08	7	17	25	57	95	108	71	23	2021-08-19
2021-08-09	6	16	24	57	100	113	79	24	2021-08-19
2021-08-10	6	13	28	54	94	103	84	24	2021-08-19
2021-08-11	6	13	27	57	95	104	85	31	2021-08-19
2021-08-12	8	17	31	70	101	118	89	25	2021-08-19
2021-08-13	7	15	32	72	99	106	83	26	2021-08-19
2021-08-14	8	15	33	77	97	109	82	28	2021-08-19
2021-08-15	9	19	36	80	105	113	78	28	2021-08-19
2021-08-16	10	17	37	86	113	127	77	33	2021-08-19
2021-08-17	9	17	41	88	124	133	77	38	2021-08-19
2021-08-18	10	20	45	95	132	140	82	33	2021-08-19
2021-08-19	9	22	54	105	137	150	88	38	2021-08-19
