Vorausberechneter Bevölkerungsstand: Bundesländer, Stichtag,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Varianten der Bevölkerungsvorausberechnung, Geschlecht,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Altersjahre;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bevölkerungsvorausberechnungen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Vorausberechneter Bevölkerungsstand (1000);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag
;;;;;31.12.2019;31.12.2020;31.12.2021;31.12.2022;31.12.2023;31.12.2024;31.12.2025;31.12.2026;31.12.2027;31.12.2028;31.12.2029;31.12.2030;31.12.2031;31.12.2032;31.12.2033;31.12.2034;31.12.2035;31.12.2036;31.12.2037;31.12.2038;31.12.2039;31.12.2040;31.12.2041;31.12.2042;31.12.2043;31.12.2044;31.12.2045;31.12.2046;31.12.2047;31.12.2048;31.12.2049;31.12.2050;31.12.2051;31.12.2052;31.12.2053;31.12.2054;31.12.2055;31.12.2056;31.12.2057;31.12.2058;31.12.2059;31.12.2060
Baden-Württemberg;BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);männlich;unter 1 Jahr;56;56;57;57;56;56;56;55;55;54;53;52;51;51;50;49;48;47;47;46;46;46;45;45;45;46;46;46;46;47;47;47;48;48;48;48;48;48;48;48;47;47
Baden-Württemberg;BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);männlich;1-Jährige;56;56;57;57;57;57;56;56;55;55;54;53;52;51;51;50;49;48;48;47;46;46;46;46;46;46;46;46;46;47;47;47;48;48;48;48;48;48;48;48;48;48
Baden-Württemberg;BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);männlich;2-Jährige;56;56;57;57;57;57;57;57;56;56;55;54;53;52;52;51;50;49;48;48;47;47;46;46;46;46;46;46;46;46;47;47;48;48;48;48;48;48;48;48;48;48
Baden-Württemberg;BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);männlich;3-Jährige;56;56;57;57;57;57;57;57;57;56;56;55;54;53;52;52;51;50;49;48;48;47;47;46;46;46;46;46;46;46;47;47;47;48;48;48;48;49;49;49;48;48
Baden-Württemberg;BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);männlich;4-Jährige;54;57;56;57;57;57;57;57;57;57;56;56;55;54;53;52;52;51;50;49;49;48;47;47;46;46;46;46;46;46;46;47;47;47;48;48;48;48;49;49;49;49
Baden-Württemberg;BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);männlich;5-Jährige;53;54;57;56;57;57;57;58;57;57;57;56;56;55;54;53;53;52;51;50;49;49;48;47;47;46;46;46;46;46;46;46;47;47;47;48;48;48;49;49;49;49
Baden-Württemberg;BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);männlich;6-Jährige;52;54;54;57;57;57;57;58;58;57;57;57;56;56;55;54;53;53;52;51;50;49;49;48;47;47;46;46;46;46;46;46;46;47;47;47;48;48;48;49;49;49
Baden-Württemberg;BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);männlich;7-Jährige;51;52;54;54;57;57;57;58;58;58;57;57;57;56;56;55;54;53;53;52;51;50;49;49;48;47;47;47;46;46;46;46;46;46;47;47;47;48;48;48;49;49
Baden-Württemberg;BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);männlich;8-Jährige;50;51;52;54;55;57;57;57;58;58;58;58;57;57;56;56;55;54;54;53;52;51;50;49;49;48;47;47;47;46;46;46;46;46;47;47;47;48;48;48;48;49
Baden-Württemberg;BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);männlich;9-Jährige;52;50;51;52;54;55;57;57;58;58;58;58;58;57;57;56;56;55;54;54;53;52;51;50;50;49;48;48;47;47;46;46;46;46;46;47;47;47;48;48;48;48
Baden-Württemberg;BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);männlich;10-Jährige;51;52;50;51;52;54;55;58;57;58;58;58;58;58;57;57;56;56;55;54;54;53;52;51;50;50;49;48;48;47;47;46;46;46;46;46;47;47;47;48;48;48
Baden-Württemberg;BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);männlich;11-Jährige;52;51;52;51;52;53;54;55;58;57;58;58;58;58;58;57;57;57;56;55;55;54;53;52;51;50;50;49;48;48;47;47;47;46;46;46;47;47;47;47;48;48
Baden-Württemberg;BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);männlich;12-Jährige;52;52;51;52;51;52;53;55;55;58;57;58;58;58;58;58;58;57;57;56;55;55;54;53;52;51;51;50;49;48;48;47;47;47;46;46;46;47;47;47;48;48
Baden-Württemberg;BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);männlich;13-Jährige;52;52;53;51;52;51;52;53;55;55;58;57;58;58;58;58;58;58;57;57;56;55;55;54;53;52;51;51;50;49;48;48;47;47;47;47;47;47;47;47;47;48
Baden-Württemberg;BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);männlich;14-Jährige;53;52;53;53;52;52;51;52;53;55;55;58;57;58;58;58;58;58;58;57;57;56;56;55;54;53;52;52;51;50;49;49;48;47;47;47;47;47;47;47;47;47
Baden-Württemberg;BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);männlich;15-Jährige;54;53;52;53;53;52;53;51;52;53;55;55;58;58;58;58;58;58;58;58;57;57;56;56;55;54;53;52;52;51;50;49;49;48;48;47;47;47;47;47;47;47
Baden-Württemberg;BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);männlich;16-Jährige;55;55;53;53;53;53;52;53;51;52;53;55;56;58;58;58;58;58;58;58;58;58;57;56;56;55;54;53;53;52;51;50;50;49;48;48;47;47;47;47;47;47
